dataset,model,weighted_PU_concordance
C3_test,ipin_baseline,0.7892487658642553
C3_test,ipin_optimized,0.8079478806183649
C3_test,tuna_retrained,0.8158745071418083
C3_test,combo_55_45,0.8339444762462846
C3_test,historical_ef_selected,0.8079478837709501
C3_test,query_balanced,0.8019865931025544
C3_test,shortlist_weighted,0.8019865931025544
C2_test,ipin_baseline,0.8052990558630949
C2_test,ipin_optimized,0.8513012019472449
C2_test,tuna_retrained,0.8804013010037569
C2_test,combo_55_45,0.8837438736959489
C2_test,historical_ef_selected,0.8513012002738135
C2_test,query_balanced,0.801127156040359
C2_test,shortlist_weighted,0.801127156040359
C1_test,ipin_baseline,0.8434933190097726
C1_test,ipin_optimized,0.9160374988129414
C1_test,tuna_retrained,0.948619420857514
C1_test,combo_55_45,0.9427116446878663
C1_test,historical_ef_selected,0.9160374952052537
C1_test,query_balanced,0.842657972894318
C1_test,shortlist_weighted,0.842657972894318
