dataset,subgroup,variant,reference,K,primary_selected,queries,EF_delta,EF_delta_low,EF_delta_high,Hits_delta,Hits_delta_low,Hits_delta_high,Recall_delta,Recall_delta_low,Recall_delta_high,Known_positive_rate_delta,Known_positive_rate_delta_low,Known_positive_rate_delta_high,Any_hit_delta,Any_hit_delta_low,Any_hit_delta_high
C3_test,all,historical_ef_selected,ipin_baseline,10,False,842,2.367500354629815,0.8723524542320223,3.9871961364123623,0.07600950118764849,0.019996453900709237,0.1306893319212274,0.030301102166035973,0.011118558668388278,0.05130852317556356,0.0076009501187648265,0.00199964539007093,0.01306893319212271,0.027315914489311144,-0.003831909462470337,0.0605294797273543
C3_test,all,historical_ef_selected,ipin_baseline,20,False,842,1.3363775039596772,0.6192960738344272,2.1496191492178043,0.10570071258907365,0.039261316542926576,0.17179088267238093,0.03401496569699439,0.01574698187911735,0.05499915825811764,0.005285035629453615,0.001963065827146332,0.008589544133619046,0.02969121140142522,0.003740648379052358,0.058457232575036204
C3_test,all,historical_ef_selected,ipin_baseline,30,False,842,0.9572059283760481,0.37106822285001373,1.5594157966308992,0.13657957244655594,0.030243758434548053,0.24614967678072383,0.03636052378903559,0.013927782518086266,0.059228258663625334,0.0045526524148851305,0.0010081252811515846,0.008204989226024039,0.03562945368171028,0.006703536929429562,0.06483874463168879
C3_test,all,historical_ef_selected,ipin_optimized,10,False,842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3_test,all,historical_ef_selected,ipin_optimized,20,False,842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3_test,all,historical_ef_selected,ipin_optimized,30,False,842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3_test,all,historical_ef_selected,tuna_retrained,10,False,842,-1.7851056960131686,-3.820667003196031,-0.014425345825052782,-0.06413301662707838,-0.13382610090639294,0.005264557670772685,-0.022537302734120662,-0.04832938015693429,0.00010689341831688567,-0.006413301662707815,-0.013382610090639258,0.000526455767077256,-0.029691211401425166,-0.06737331259331053,0.005084062023302816
C3_test,all,historical_ef_selected,tuna_retrained,20,False,842,-1.4284975291975819,-2.533683649903979,-0.43198921601605905,-0.12232779097387159,-0.20326891283489554,-0.0413798852874484,-0.03606171250574303,-0.06426603678816138,-0.01054282776926186,-0.006116389548693563,-0.010163445641744737,-0.002068994264372403,-0.046318289786223266,-0.0843828715365239,-0.009212602028143065
C3_test,all,historical_ef_selected,tuna_retrained,30,False,842,-0.8124023453139264,-1.7168369638774175,-0.07268434733589772,-0.09263657957244642,-0.18309094384209074,-0.0013317662007624716,-0.030865214512995454,-0.06518097038499494,-0.002557038744075812,-0.0030878859857482732,-0.0061030314614030825,-4.43922066921004e-05,-0.041567695961995166,-0.0873025919228451,0.0
C3_test,all,historical_ef_selected,combo_55_45,10,False,842,-2.5285573210360166,-3.5489814064127874,-1.5703230902702023,-0.10213776722090262,-0.13709723072215424,-0.0665911692192969,-0.032009491987082195,-0.045049397135173405,-0.019785193624561027,-0.010213776722090215,-0.013709723072215421,-0.006659116921929685,-0.04869358669833729,-0.0710391030620171,-0.02622543342235163
C3_test,all,historical_ef_selected,combo_55_45,20,False,842,-1.252413913289427,-1.7331096854725452,-0.7680087098444731,-0.1116389548693586,-0.15056762516972894,-0.07238755581370028,-0.03156191761086985,-0.04376176700630689,-0.019326962871230934,-0.005581947743467916,-0.007528381258486382,-0.0036193777906850504,-0.04750593824228028,-0.06904761904761902,-0.027080850814551975
C3_test,all,historical_ef_selected,combo_55_45,30,False,842,-0.892307210156055,-1.3655529266664501,-0.4621557243108414,-0.11401425178147262,-0.16493917002537692,-0.061076017820817764,-0.03407386390513528,-0.0522597339756035,-0.017538711664626158,-0.003800475059382448,-0.005497972334179246,-0.0020358672606939237,-0.03681710213776723,-0.06219752977563151,-0.013041301787268847
C3_test,all,query_balanced,ipin_baseline,10,True,842,4.085754727865011,2.4965305740107673,5.967377892725339,0.10095011876484561,0.04527624376763394,0.15931932165929946,0.05218339989026245,0.03181646137221348,0.07624835858765718,0.010095011876484553,0.004527624376763456,0.01593193216592995,0.05819477434679332,0.02560904707884285,0.09503511852502187
C3_test,all,query_balanced,ipin_baseline,20,True,842,2.1668402638610056,1.3010046595352474,3.155668937989438,0.07719714964370539,0.006275520589647147,0.14875465425531906,0.054968138473420636,0.03300008379423393,0.08027092571006285,0.0038598574821852513,0.00031377602948233187,0.007437732712766011,0.05463182897862234,0.02404312863982095,0.08765482005034252
C3_test,all,query_balanced,ipin_baseline,30,True,842,1.2911237284147914,0.6620583002493576,1.9717875527696886,0.014251781472684133,-0.08871491770001316,0.10273018987543517,0.049271928002780574,0.025241587431021385,0.07504619034521622,0.0004750593824227739,-0.002957163923333765,0.003424339662514475,0.04750593824228028,0.016001343803067895,0.07932443767052648
C3_test,all,query_balanced,ipin_optimized,10,True,842,1.7182543732351956,0.5993129172461007,2.8818936023538733,0.02494061757719712,-0.017381148723869217,0.06775620574642344,0.02188229772422648,0.007904098740014567,0.03667684867981076,0.002494061757719726,-0.0017381148723869771,0.006775620574642375,0.030878859857482177,0.00615631973390596,0.05583158776707161
C3_test,all,query_balanced,ipin_optimized,20,True,842,0.8304627599013283,0.11638229357646142,1.506595168481033,-0.028503562945368266,-0.08345126854620341,0.02653684782670723,0.02095317277642625,0.002873716693156314,0.03821719303030959,-0.0014251781472683633,-0.0041725634273101445,0.0013268423913353397,0.02494061757719712,-0.002146387232224184,0.05140400778459761
C3_test,all,query_balanced,ipin_optimized,30,True,842,0.3339178000387433,-0.091192361783632,0.808511300578033,-0.12232779097387181,-0.20447396346806873,-0.04555842852732333,0.012911404213744981,-0.003325101113599638,0.030990330287873565,-0.004077593032462357,-0.0068157987822690235,-0.0015186142842440685,0.01187648456057,-0.013937834945789629,0.037615436792197754
C3_test,all,query_balanced,tuna_retrained,10,True,842,-0.06685132277797301,-2.0562677949922255,1.6575299929354654,-0.039192399049881255,-0.10825380535055348,0.029345823389021402,-0.0006550050098941829,-0.025919047455289286,0.021236647162790882,-0.003919239904988089,-0.0108253805350553,0.002934582338902123,0.001187648456057011,-0.03167650796023619,0.033479733263598266
C3_test,all,query_balanced,tuna_retrained,20,True,842,-0.5980347692962535,-1.6756668841789037,0.3569682549579667,-0.15083135391923985,-0.23821234099006214,-0.06574176016217541,-0.015108539729316778,-0.04244757555837851,0.009603157001468767,-0.007541567695961926,-0.011910617049503056,-0.0032870880081088054,-0.021377672209026144,-0.057672953091330484,0.012957184158597564
C3_test,all,query_balanced,tuna_retrained,30,True,842,-0.47848454527518314,-1.1847185244238587,0.18127024442935397,-0.21496437054631823,-0.31985772506677107,-0.10827277892407526,-0.017953810299250472,-0.04509399312997349,0.007338647258785946,-0.00716547901821063,-0.010661924168892292,-0.0036090926308025026,-0.029691211401425166,-0.06399347416943976,0.0034404319221967945
C3_test,all,query_balanced,combo_55_45,10,True,842,-0.810302947800821,-1.8347817677226348,0.17070419434168924,-0.0771971496437055,-0.11901982339799293,-0.03543701417655505,-0.010127194262855715,-0.023047672686623773,0.002417001969583022,-0.007719714964370489,-0.011901982339799224,-0.0035437014176555007,-0.01781472684085511,-0.04049425499923613,0.005182157579948848
