query_gene,query_uniprot,partner_gene,partner_uniprot,class
BCL2,P10415,BCL2L11,O43521,P
BCL2,P10415,BAD,Q92934,P
BCL2,P10415,BBC3,Q9BXH1,P
BCL2,P10415,NIPSNAP1,Q9BPW8,U
BCL2,P10415,AKR1B15,C9JRZ8,U
BCL2,P10415,MRPS11,P82912,U
BCL2,P10415,MRRF,Q96E11,U
BCL2,P10415,KLK6,Q92876,U
BCL2,P10415,RPS3,P23396,U
BCL2,P10415,MRPS12,O15235,U
BCL2,P10415,ECHDC2,Q86YB7,U
BCL2,P10415,CCN6,O95389,U
BCL2,P10415,NDUFA8,P51970,U
BCL2,P10415,PPP3R2,Q96LZ3,U
BCL2,P10415,COQ10B,Q9H8M1,U
BCL2,P10415,PDHA2,P29803,U
BCL2,P10415,GADD45GIP1,Q8TAE8,U
BCL2,P10415,NUDT13,Q86X67,U
BCL2,P10415,NDUFAB1,O14561,U
BCL2,P10415,TACO1,Q9BSH4,U
BCL2,P10415,MSRB2,Q9Y3D2,U
BCL2,P10415,PFDN4,Q9NQP4,U
BCL2,P10415,SIRT4,Q9Y6E7,U
BCL2,P10415,DUT,P33316,U
BCL2,P10415,MRPS34,P82930,U
BCL2,P10415,MPG,P29372,U
BCL2,P10415,RIDA,P52758,U
BCL2,P10415,PARK7,Q99497,U
BCL2,P10415,RBFA,Q8N0V3,U
BCL2,P10415,PUSL1,Q8N0Z8,U
BCL2,P10415,MRPL1,Q9BYD6,U
BCL2,P10415,COQ7,Q99807,U
BCL2,P10415,RPUSD3,Q6P087,U
BCL2,P10415,MRPS31,Q92665,U
BCL2,P10415,TRUB2,O95900,U
BCL2,P10415,SLIRP,Q9GZT3,U
BCL2,P10415,IBA57,Q5T440,U
BCL2,P10415,RAB32,Q13637,U
BCL2,P10415,NDUFA2,O43678,U
BCL2,P10415,MRPL36,Q9P0J6,U
BCL2,P10415,MTHFD2,P13995,U
BCL2,P10415,ATPAF1,Q5TC12,U
BCL2,P10415,UBB,P0CG47,U
BCL2,P10415,GSTP1,P09211,U
BCL2,P10415,PFDN2,Q9UHV9,U
BCL2,P10415,NDUFS4,O43181,U
BCL2,P10415,ATCAY,Q86WG3,U
BCL2,P10415,ALKBH1,Q13686,U
BCL2,P10415,TYMS,P04818,U
BCL2,P10415,CCDC127,Q96BQ5,U
BCL2,P10415,CHCHD6,Q9BRQ6,U
BCL2,P10415,DDAH2,O95865,U
BCL2,P10415,MRPS24,Q96EL2,U
BCL2,P10415,ANP32B,Q92688,U
BCL2,P10415,UTP11,Q9Y3A2,U
BCL2,P10415,GUCA2B,Q16661,U
BCL2,P10415,CD82,P27701,U
BCL2,P10415,TGIF2LY,Q8IUE0,U
BCL2,P10415,C9orf78,Q9NZ63,U
BCL2,P10415,UBE2QL1,A1L167,U
BCL2,P10415,SIAH3,Q8IW03,U
BCL2,P10415,CMTM3,Q96MX0,U
BCL2,P10415,PARD6A,Q9NPB6,U
BCL2,P10415,ELAC1,Q9H777,U
BCL2,P10415,LYZL4,Q96KX0,U
BCL2,P10415,METTL1,Q9UBP6,U
BCL2,P10415,RFPL4AL1,F8VTS6,U
BCL2,P10415,SPAG7,O75391,U
BCL2,P10415,CRYGC,P07315,U
BCL2,P10415,TM2D2,Q9BX73,U
BCL2,P10415,LAPTM5,Q13571,U
BCL2,P10415,KRTAP10-3,P60369,U
BCL2,P10415,TIPIN,Q9BVW5,U
BCL2,P10415,PSTK,Q8IV42,U
BCL2,P10415,TDP2,O95551,U
BCL2,P10415,NCR3,O14931,U
BCL2,P10415,CEBPE,Q15744,U
BCL2,P10415,TPK1,Q9H3S4,U
BCL2,P10415,DTWD1,Q8N5C7,U
BCL2,P10415,PRSS57,Q6UWY2,U
BCL2,P10415,CBX3,Q13185,U
BCL2,P10415,ARC,Q7LC44,U
BCL2,P10415,IGLV5-45,A0A087WSX0,U
BCL2,P10415,NIPAL2,Q9H841,U
BCL2,P10415,AIM2,O14862,U
BCL2,P10415,VASP,P50552,U
