query_gene,query_uniprot,partner_gene,partner_uniprot,class
BECN1,Q14457,ATG14,Q6ZNE5,P
BECN1,Q14457,UVRAG,Q9P2Y5,P
BECN1,Q14457,BCL2,P10415,P
BECN1,Q14457,OAS1,P00973,U
BECN1,Q14457,ASPSCR1,Q9BZE9,U
BECN1,Q14457,ALG2,Q9H553,U
BECN1,Q14457,GHDC,Q8N2G8,U
BECN1,Q14457,AUP1,Q9Y679,U
BECN1,Q14457,CYP2A13,Q16696,U
BECN1,Q14457,MYOC,Q99972,U
BECN1,Q14457,ARSA,P15289,U
BECN1,Q14457,TGDS,O95455,U
BECN1,Q14457,P3H2,Q8IVL5,U
BECN1,Q14457,PSMG1,O95456,U
BECN1,Q14457,PCSK9,Q8NBP7,U
BECN1,Q14457,CYP2C8,P10632,U
BECN1,Q14457,CYP3A43,Q9HB55,U
BECN1,Q14457,HSD17B3,P37058,U
BECN1,Q14457,CGRRF1,Q99675,U
BECN1,Q14457,SCFD1,Q8WVM8,U
BECN1,Q14457,KLHL41,O60662,U
BECN1,Q14457,USP17L2,Q6R6M4,U
BECN1,Q14457,LPIN1,Q14693,U
BECN1,Q14457,P3H4,Q92791,U
BECN1,Q14457,SULF2,Q8IWU5,U
BECN1,Q14457,HMGCLL1,Q8TB92,U
BECN1,Q14457,RASGRP1,O95267,U
BECN1,Q14457,NHLRC1,Q6VVB1,U
BECN1,Q14457,MTMR9,Q96QG7,U
BECN1,Q14457,PDE9A,O76083,U
BECN1,Q14457,ATG4B,Q9Y4P1,U
BECN1,Q14457,DHH,O43323,U
BECN1,Q14457,CHI3L1,P36222,U
BECN1,Q14457,MAPK8IP1,Q9UQF2,U
BECN1,Q14457,TREX1,Q9NSU2,U
BECN1,Q14457,RNASET2,O00584,U
BECN1,Q14457,CTSW,P56202,U
BECN1,Q14457,P3H3,Q8IVL6,U
BECN1,Q14457,OSBPL3,Q9H4L5,U
BECN1,Q14457,USP20,Q9Y2K6,U
BECN1,Q14457,SEC13,P55735,U
BECN1,Q14457,EOGT,Q5NDL2,U
BECN1,Q14457,PKMYT1,Q99640,U
BECN1,Q14457,RAP1GDS1,P52306,U
BECN1,Q14457,ULBP2,Q9BZM5,U
BECN1,Q14457,PLIN1,O60240,U
BECN1,Q14457,TP53,P04637,U
BECN1,Q14457,PAFAH2,Q99487,U
BECN1,Q14457,DDHD2,O94830,U
BECN1,Q14457,ZW10,O43264,U
BECN1,Q14457,PSMF1,Q92530,U
BECN1,Q14457,P4HA1,P13674,U
BECN1,Q14457,CYP26B1,Q9NR63,U
BECN1,Q14457,BSG,P35613,U
BECN1,Q14457,DOK6,Q6PKX4,U
BECN1,Q14457,PIGT,Q969N2,U
BECN1,Q14457,MARVELD3,Q96A59,U
BECN1,Q14457,GTF3C3,Q9Y5Q9,U
BECN1,Q14457,ACOX2,Q99424,U
BECN1,Q14457,MICA,Q29983,U
BECN1,Q14457,ALDH16A1,Q8IZ83,U
BECN1,Q14457,GID4,Q8IVV7,U
BECN1,Q14457,ARHGEF37,A1IGU5,U
BECN1,Q14457,HNRNPDL,O14979,U
BECN1,Q14457,KCNK16,Q96T55,U
BECN1,Q14457,SPATC1L,Q9H0A9,U
BECN1,Q14457,TRIM49B,A6NDI0,U
BECN1,Q14457,ENOSF1,Q7L5Y1,U
BECN1,Q14457,FBXO5,Q9UKT4,U
BECN1,Q14457,ZNF3,P17036,U
BECN1,Q14457,TBC1D3,Q8IZP1,U
BECN1,Q14457,KCNA5,P22460,U
BECN1,Q14457,HAT1,O14929,U
BECN1,Q14457,CA14,Q9ULX7,U
BECN1,Q14457,SPRYD3,Q8NCJ5,U
BECN1,Q14457,CNPPD1,Q9BV87,U
BECN1,Q14457,FOXR1,Q6PIV2,U
BECN1,Q14457,ZNF526,Q8TF50,U
BECN1,Q14457,POU3F1,Q03052,U
BECN1,Q14457,DDX51,Q8N8A6,U
BECN1,Q14457,PEX6,Q13608,U
BECN1,Q14457,ERVFC1-1,P60608,U
BECN1,Q14457,NECTIN3,Q9NQS3,U
BECN1,Q14457,HOXA11,P31270,U
BECN1,Q14457,COQ2,Q96H96,U
BECN1,Q14457,TRAM2,Q15035,U
BECN1,Q14457,HAPSTR2,A0A7P0TBJ1,U
BECN1,Q14457,FAM50B,Q9Y247,U
BECN1,Q14457,IRAK4,Q9NWZ3,U
BECN1,Q14457,PERCC1,A0A1W2PR82,U
BECN1,Q14457,TCN1,P20061,U
BECN1,Q14457,ZP2,Q05996,U
BECN1,Q14457,SPATA18,Q8TC71,U
