U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_original_rank,tuna_retrained_rank
,,P,False,False,1,BARD1,777,b18dec6bdbf2816e497af46d99ec2e0dc350ad21a307a8bb884b1ba54b9da7b2,Q99728,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-0.5525114337603251,-0.03799167275428772,0.6228072643280029,-5.73940372467041,-5.7537407875061035,-5.308932781219482,-5.600692431131999,16.0,15.0,8.0,26.0
,,P,False,False,2,PALB2,1186,848e1c837f05f81497688db39709751dda67d0c3c1044aad526d4341d64e5f6e,Q86YC2,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.759886344273885,-0.563131054242452,0.5864367485046387,-5.260611057281494,-4.507133960723877,-2.8872904777526855,-4.2183451652526855,132.0,38.0,32.0,3.0
,,P,False,False,3,BRIP1,1249,d496560feb8f0af54a38e759a5504311d6933453003afeaccccbf33240fe7079,Q9BX63,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.826077143351237,-1.0274316569169362,0.6213306188583374,-4.779009819030762,-5.953915596008301,-6.699885845184326,-5.81093708674113,145.0,82.0,10.0,33.0
context,Q99728,U,False,False,4,DCLK3,648,c4fd525d2e7e71194349aa5f6636f6a9ddba8470c53d5c2f86d936a694a075c2,Q9C098,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.206730922063192,-3.1370091438293457,0.48618844151496887,-7.975478649139404,-8.00963020324707,-8.068958282470703,-8.018022378285727,191.0,270.0,124.0,186.0
context,Q99728,U,False,False,5,RAP1GDS1,607,f6be30a4ec50bf1721dffa0a6dab34ec3800713df037a0dfcb214a7cfc4e2540,P52306,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.7715717951456706,-0.6974834601084391,0.45833101868629456,-5.366238594055176,-9.365340232849121,-5.637616157531738,-6.789731661478679,135.0,49.0,147.0,95.0
context,Q99728,U,False,False,6,IKZF4,585,36640543b4ad7492fdc19abbc3a765035ca1ff4cc0581a5389e2c3c9252e4012,Q9H2S9,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.460547924041748,-0.9278711477915446,0.46448951959609985,-6.141411304473877,-6.052767753601074,-6.089245319366455,-6.094474792480469,92.0,72.0,142.0,47.0
context,Q99728,U,False,False,7,ZNF639,485,c64c393e6bf2f05a09f4e14744ae1ca1c35b2b3a39d4f9df5e1b30679150a7f0,Q9UID6,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,0.752197782198588,0.507180412610372,0.5799671411514282,-6.142858505249023,-5.321937561035156,-5.999892711639404,-5.821562925974528,1.0,4.0,41.0,35.0
context,Q99728,U,False,False,8,DEPDC1,811,f267d3a9e03b0ed7e443f5e645d9e5118cef9184aff0a475ed2f27fdc08a8a69,Q5TB30,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.9204525152842205,-1.6507344643274944,0.3644651770591736,-6.118139743804932,-7.3582940101623535,-6.787799835205078,-6.754744529724121,154.0,147.0,223.0,92.0
context,Q99728,U,False,False,9,IRF9,393,fe68467d8f6eee4e47bb1aa02015ac87d9f23fd5b0459270244e2397c7d0f34d,Q00978,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-2.252784490585327,-1.2944082021713257,0.4804145097732544,-5.4450273513793945,-7.1573872566223145,-6.4648847579956055,-6.3557664553324384,192.0,110.0,132.0,62.0
context,Q99728,U,False,False,10,HASPIN,798,156a54656cbd089f3fa5dc90c7d33f1a96e549d5a7065e429a557db3a64d9e56,Q8TF76,BRCA1,1863,80d7199c8d1550a5ba8387043481c1acf0f070df410b47c2bc1375584b59bdf1,P38398,-1.0490223566691081,-2.158926844596863,0.529852569103241,-6.573652267456055,-8.929523468017578,-8.867169380187988,-8.123448371887207,41.0,204.0,83.0,193.0
