query_gene,query_uniprot,partner_gene,partner_uniprot,class
BRCA1,P38398,BARD1,Q99728,P
BRCA1,P38398,PALB2,Q86YC2,P
BRCA1,P38398,BRIP1,Q9BX63,P
BRCA1,P38398,DCLK3,Q9C098,U
BRCA1,P38398,RAP1GDS1,P52306,U
BRCA1,P38398,IKZF4,Q9H2S9,U
BRCA1,P38398,ZNF639,Q9UID6,U
BRCA1,P38398,DEPDC1,Q5TB30,U
BRCA1,P38398,IRF9,Q00978,U
BRCA1,P38398,HASPIN,Q8TF76,U
BRCA1,P38398,TOP1,P11387,U
BRCA1,P38398,STAT5B,P51692,U
BRCA1,P38398,FBXW7,Q969H0,U
BRCA1,P38398,INTS12,Q96CB8,U
BRCA1,P38398,DDX56,Q9NY93,U
BRCA1,P38398,SFMBT1,Q9UHJ3,U
BRCA1,P38398,ARRB1,P49407,U
BRCA1,P38398,GTF3C5,Q9Y5Q8,U
BRCA1,P38398,ACSS2,Q9NR19,U
BRCA1,P38398,BCL9L,Q86UU0,U
BRCA1,P38398,SAXO6,Q8TC05,U
BRCA1,P38398,ZNF382,Q96SR6,U
BRCA1,P38398,MED23,Q9ULK4,U
BRCA1,P38398,ZIC5,Q96T25,U
BRCA1,P38398,BAHD1,Q8TBE0,U
BRCA1,P38398,MAK,P20794,U
BRCA1,P38398,FOXI3,A8MTJ6,U
BRCA1,P38398,PHC3,Q8NDX5,U
BRCA1,P38398,ZNF385D,Q9H6B1,U
BRCA1,P38398,PHF8,Q9UPP1,U
BRCA1,P38398,NUAK1,O60285,U
BRCA1,P38398,ADAR,P55265,U
BRCA1,P38398,ZNF18,P17022,U
BRCA1,P38398,CSTF1,Q05048,U
BRCA1,P38398,DOT1L,Q8TEK3,U
BRCA1,P38398,LRR1,Q96L50,U
BRCA1,P38398,ZNF687,Q8N1G0,U
BRCA1,P38398,WTIP,A6NIX2,U
BRCA1,P38398,MX2,P20592,U
BRCA1,P38398,HSF1,Q00613,U
BRCA1,P38398,ZNF222,Q9UK12,U
BRCA1,P38398,THOC1,Q96FV9,U
BRCA1,P38398,FBXO38,Q6PIJ6,U
BRCA1,P38398,INPPL1,O15357,U
BRCA1,P38398,DTL,Q9NZJ0,U
BRCA1,P38398,CDK11A,Q9UQ88,U
BRCA1,P38398,GCM2,O75603,U
BRCA1,P38398,MYBL1,P10243,U
BRCA1,P38398,USP25,Q9UHP3,U
BRCA1,P38398,USP8,P40818,U
BRCA1,P38398,LHX5,Q9H2C1,U
BRCA1,P38398,POLD3,Q15054,U
