query_gene,query_uniprot,partner_gene,partner_uniprot,class
CDK2,P24941,CCNA2,P20248,P
CDK2,P24941,CCNE1,P24864,P
CDK2,P24941,CDKN1B,P46527,P
CDK2,P24941,ZNF525,Q8N782,U
CDK2,P24941,PSMB10,P40306,U
CDK2,P24941,ZFP92,A6NM28,U
CDK2,P24941,CDKN2AIP,Q9NXV6,U
CDK2,P24941,ZNF780B,Q9Y6R6,U
CDK2,P24941,ZSCAN31,Q96LW9,U
CDK2,P24941,ZNF514,Q96K75,U
CDK2,P24941,DXO,O77932,U
CDK2,P24941,DMRT2,Q9Y5R5,U
CDK2,P24941,PSMA1,P25786,U
CDK2,P24941,CACYBP,Q9HB71,U
CDK2,P24941,STYX,Q8WUJ0,U
CDK2,P24941,SPAG7,O75391,U
CDK2,P24941,ZFP64,Q9NTW7,U
CDK2,P24941,CRTC1,Q6UUV9,U
CDK2,P24941,CGRRF1,Q99675,U
CDK2,P24941,AURKC,Q9UQB9,U
CDK2,P24941,LPIN3,Q9BQK8,U
CDK2,P24941,GATA3,P23771,U
CDK2,P24941,ZSCAN22,P10073,U
CDK2,P24941,ARPC1A,Q92747,U
CDK2,P24941,POLM,Q9NP87,U
CDK2,P24941,ZSCAN1,Q8NBB4,U
CDK2,P24941,CENPL,Q8N0S6,U
CDK2,P24941,ZFP90,Q8TF47,U
CDK2,P24941,DDX59,Q5T1V6,U
CDK2,P24941,RPS6KA5,O75582,U
CDK2,P24941,ZC3H12A,Q5D1E8,U
CDK2,P24941,PSMA5,P28066,U
CDK2,P24941,PAFAH1B1,P43034,U
CDK2,P24941,DUSP11,O75319,U
CDK2,P24941,CDCA7L,Q96GN5,U
CDK2,P24941,OSR1,Q8TAX0,U
CDK2,P24941,SP8,Q8IXZ3,U
CDK2,P24941,DCAF16,Q9NXF7,U
CDK2,P24941,PAPOLG,Q9BWT3,U
CDK2,P24941,INO80B,Q9C086,U
CDK2,P24941,POLA2,Q14181,U
CDK2,P24941,MAP3K20,Q9NYL2,U
CDK2,P24941,ZBTB12,Q9Y330,U
CDK2,P24941,ZNF426,Q9BUY5,U
CDK2,P24941,LCORL,Q8N3X6,U
CDK2,P24941,HSF2,Q03933,U
CDK2,P24941,DDX19B,Q9UMR2,U
CDK2,P24941,FRG1,Q14331,U
CDK2,P24941,DSCC1,Q9BVC3,U
CDK2,P24941,GABPB1,Q06547,U
CDK2,P24941,MPG,P29372,U
CDK2,P24941,TRIM41,Q8WV44,U
CDK2,P24941,NFKBIB,Q15653,U
CDK2,P24941,STARD6,P59095,U
CDK2,P24941,POGK,Q9P215,U
CDK2,P24941,AOC1,P19801,U
CDK2,P24941,FAM76B,Q5HYJ3,U
CDK2,P24941,RIMOC1,A6NDU8,U
CDK2,P24941,RND1,Q92730,U
CDK2,P24941,TMEM201,Q5SNT2,U
CDK2,P24941,TTC39A,Q5SRH9,U
CDK2,P24941,SELENBP1,Q13228,U
CDK2,P24941,TRIM13,O60858,U
CDK2,P24941,SPINT1,O43278,U
CDK2,P24941,FOXL1,Q12952,U
CDK2,P24941,TMEM45B,Q96B21,U
CDK2,P24941,DEK,P35659,U
CDK2,P24941,FZD4,Q9ULV1,U
CDK2,P24941,XKR8,Q9H6D3,U
CDK2,P24941,UMOD,P07911,U
CDK2,P24941,RCE1,Q9Y256,U
CDK2,P24941,CALD1,Q05682,U
CDK2,P24941,TLCD2,A6NGC4,U
CDK2,P24941,HOXB8,P17481,U
CDK2,P24941,GLS2,Q9UI32,U
CDK2,P24941,HSD17B12,Q53GQ0,U
CDK2,P24941,SMAD4,Q13485,U
CDK2,P24941,CD2,P06729,U
CDK2,P24941,SETSIP,P0DME0,U
CDK2,P24941,WFDC1,Q9HC57,U
CDK2,P24941,PARP8,Q8N3A8,U
CDK2,P24941,ZBTB33,Q86T24,U
CDK2,P24941,IL1B,P01584,U
CDK2,P24941,QTGAL,Q67FW5,U
CDK2,P24941,ASB14,A6NK59,U
CDK2,P24941,CPVL,Q9H3G5,U
CDK2,P24941,MAGEB2,O15479,U
CDK2,P24941,SAMD15,Q9P1V8,U
CDK2,P24941,CTIF,O43310,U
CDK2,P24941,GEMIN8,Q9NWZ8,U
CDK2,P24941,FCN1,O00602,U
CDK2,P24941,DHRS7B,Q6IAN0,U
CDK2,P24941,AGPAT1,Q99943,U
CDK2,P24941,FASTKD5,Q7L8L6,U
CDK2,P24941,LRCH4,O75427,U
CDK2,P24941,PIP4P2,Q8N4L2,U
CDK2,P24941,ESS2,Q96DF8,U
CDK2,P24941,C1R,P00736,U
CDK2,P24941,ORC5,O43913,U
CDK2,P24941,C2CD2,Q9Y426,U
CDK2,P24941,SLC25A22,Q9H936,U
CDK2,P24941,ATPAF1,Q5TC12,U
CDK2,P24941,IRF2BP1,Q8IU81,U
CDK2,P24941,TRMT1L,Q7Z2T5,U
CDK2,P24941,PDCD2L,Q9BRP1,U
CDK2,P24941,RBM7,Q9Y580,U
CDK2,P24941,RNF2,Q99496,U
CDK2,P24941,HOXC5,Q00444,U
CDK2,P24941,RDM1,Q8NG50,U
CDK2,P24941,ZNF691,Q5VV52,U
CDK2,P24941,GTF2H4,Q92759,U
CDK2,P24941,RPSA,P08865,U
CDK2,P24941,KIF22,Q14807,U
CDK2,P24941,ZNF205,O95201,U
CDK2,P24941,CCDC89,Q8N998,U
CDK2,P24941,TEX55,Q96M34,U
CDK2,P24941,SSUH2,Q9Y2M2,U
CDK2,P24941,TRIM55,Q9BYV6,U
CDK2,P24941,PPP2R3B,Q9Y5P8,U
CDK2,P24941,NAA10,P41227,U
CDK2,P24941,WAC,Q9BTA9,U
CDK2,P24941,EAPP,Q56P03,U
CDK2,P24941,CUL2,Q13617,U
CDK2,P24941,NGDN,Q8NEJ9,U
CDK2,P24941,ZNF148,Q9UQR1,U
CDK2,P24941,CDK8,P49336,U
CDK2,P24941,NSUN2,Q08J23,U
CDK2,P24941,TATDN1,Q6P1N9,U
CDK2,P24941,MAF1,Q9H063,U
CDK2,P24941,DBP,Q10586,U
CDK2,P24941,ZNF101,Q8IZC7,U
CDK2,P24941,ESR2,Q92731,U
CDK2,P24941,SRSF8,Q9BRL6,U
CDK2,P24941,EXOSC4,Q9NPD3,U
CDK2,P24941,MKNK1,Q9BUB5,U
CDK2,P24941,GCFC2,P16383,U
CDK2,P24941,BRIX1,Q8TDN6,U
CDK2,P24941,ZNF630,Q2M218,U
CDK2,P24941,NEK11,Q8NG66,U
CDK2,P24941,ZBTB9,Q96C00,U
CDK2,P24941,FANCC,Q00597,U
CDK2,P24941,DVL2,O14641,U
CDK2,P24941,ECSIT,Q9BQ95,U
CDK2,P24941,ZNF605,Q86T29,U
CDK2,P24941,UPF3A,Q9H1J1,U
CDK2,P24941,PRDM13,Q9H4Q3,U
