query_gene,query_uniprot,partner_gene,partner_uniprot,class
CTNNB1,P35222,CDH1,P12830,P
CTNNB1,P35222,CTNNA1,P35221,P
CTNNB1,P35222,TCF7L2,Q9NQB0,P
CTNNB1,P35222,LRRC8A,Q8IWT6,U
CTNNB1,P35222,ERVW-1,Q9UQF0,U
CTNNB1,P35222,ERVFC1,P60507,U
CTNNB1,P35222,SLC9A7,Q96T83,U
CTNNB1,P35222,PLXDC1,Q8IUK5,U
CTNNB1,P35222,GSDMA,Q96QA5,U
CTNNB1,P35222,MPL,P40238,U
CTNNB1,P35222,ANTXR2,P58335,U
CTNNB1,P35222,KCNQ4,P56696,U
CTNNB1,P35222,KIRREL2,Q6UWL6,U
CTNNB1,P35222,ADCY6,O43306,U
CTNNB1,P35222,CDH9,Q9ULB4,U
CTNNB1,P35222,SLC2A13,Q96QE2,U
CTNNB1,P35222,SLC2A5,P22732,U
CTNNB1,P35222,SLC30A10,Q6XR72,U
CTNNB1,P35222,APLP1,P51693,U
CTNNB1,P35222,CDH7,Q9ULB5,U
CTNNB1,P35222,ADRA1D,P25100,U
CTNNB1,P35222,TRPC3,Q13507,U
CTNNB1,P35222,MEGF11,A6BM72,U
CTNNB1,P35222,NRG1,Q02297,U
CTNNB1,P35222,ADGRG1,Q9Y653,U
CTNNB1,P35222,TEK,Q02763,U
CTNNB1,P35222,GLDN,Q6ZMI3,U
CTNNB1,P35222,CHRNA1,P02708,U
CTNNB1,P35222,CD163,Q86VB7,U
CTNNB1,P35222,ASIC2,Q16515,U
CTNNB1,P35222,PTCHD1,Q96NR3,U
CTNNB1,P35222,SLC9A2,Q9UBY0,U
CTNNB1,P35222,ADCY5,O95622,U
CTNNB1,P35222,GUCY2C,P25092,U
CTNNB1,P35222,CASR,P41180,U
CTNNB1,P35222,SMO,Q99835,U
CTNNB1,P35222,ATP11C,Q8NB49,U
CTNNB1,P35222,FOLH1,Q04609,U
CTNNB1,P35222,ENTPD8,Q5MY95,U
CTNNB1,P35222,CSF3R,Q99062,U
CTNNB1,P35222,SLCO2A1,Q92959,U
CTNNB1,P35222,LRRC8C,Q8TDW0,U
CTNNB1,P35222,TTYH2,Q9BSA4,U
CTNNB1,P35222,NECTIN3,Q9NQS3,U
CTNNB1,P35222,PCDH17,O14917,U
CTNNB1,P35222,TNFRSF10A,O00220,U
CTNNB1,P35222,SLC9A8,Q9Y2E8,U
CTNNB1,P35222,SLC1A6,P48664,U
CTNNB1,P35222,SLC46A1,Q96NT5,U
CTNNB1,P35222,SLC2A14,Q8TDB8,U
CTNNB1,P35222,RNF43,Q68DV7,U
CTNNB1,P35222,SLC28A3,Q9HAS3,U
CTNNB1,P35222,NRXN3,Q9HDB5,U
CTNNB1,P35222,PCDHB1,Q9Y5F3,U
CTNNB1,P35222,NLGN1,Q8N2Q7,U
CTNNB1,P35222,PODXL,O00592,U
CTNNB1,P35222,CPN1,P15169,U
CTNNB1,P35222,SEMA5A,Q13591,U
CTNNB1,P35222,TUBA8,Q9NY65,U
CTNNB1,P35222,THOC5,Q13769,U
CTNNB1,P35222,YY1AP1,Q9H869,U
CTNNB1,P35222,ZRSR2P1,Q15695,U
CTNNB1,P35222,ZNF226,Q9NYT6,U
CTNNB1,P35222,FSD2,A1L4K1,U
CTNNB1,P35222,ZNF649,Q9BS31,U
CTNNB1,P35222,ZNF397,Q8NF99,U
CTNNB1,P35222,CXorf49C,A0A1B0GWI6,U
CTNNB1,P35222,AKT3,Q9Y243,U
CTNNB1,P35222,GPR61,Q9BZJ8,U
CTNNB1,P35222,TBL2,Q9Y4P3,U
CTNNB1,P35222,GBP4,Q96PP9,U
CTNNB1,P35222,TMC6,Q7Z403,U
CTNNB1,P35222,CHKA,P35790,U
CTNNB1,P35222,ZNF66,Q6ZN08,U
CTNNB1,P35222,ITFG1,Q8TB96,U
CTNNB1,P35222,TRMT44,Q8IYL2,U
CTNNB1,P35222,PARG,Q86W56,U
CTNNB1,P35222,ZNF627,Q7L945,U
CTNNB1,P35222,SLMAP,Q14BN4,U
CTNNB1,P35222,PUS3,Q9BZE2,U
CTNNB1,P35222,IRX3,P78415,U
CTNNB1,P35222,TUB,P50607,U
CTNNB1,P35222,CEMIP2,Q9UHN6,U
CTNNB1,P35222,PRODH2,Q9UF12,U
CTNNB1,P35222,PRDM7,Q9NQW5,U
CTNNB1,P35222,TMCO4,Q5TGY1,U
CTNNB1,P35222,TUFM,P49411,U
CTNNB1,P35222,SNX17,Q15036,U
CTNNB1,P35222,PGBD5,Q8N414,U
CTNNB1,P35222,ANKLE1,Q8NAG6,U
CTNNB1,P35222,GPRIN2,O60269,U
CTNNB1,P35222,LRRC14B,A6NHZ5,U
CTNNB1,P35222,KANSL1,Q7Z3B3,U
CTNNB1,P35222,ERLEC1,Q96DZ1,U
CTNNB1,P35222,SEMA4A,Q9H3S1,U
CTNNB1,P35222,ANKS1B,Q7Z6G8,U
CTNNB1,P35222,COX10,Q12887,U
CTNNB1,P35222,TRPV6,Q9H1D0,U
CTNNB1,P35222,GDAP2,Q9NXN4,U
CTNNB1,P35222,CCNK,O75909,U
CTNNB1,P35222,DTHD1,Q6ZMT9,U
CTNNB1,P35222,PIK3C2B,O00750,U
CTNNB1,P35222,LAG3,P18627,U
CTNNB1,P35222,MTMR4,Q9NYA4,U
CTNNB1,P35222,ASAP1,Q9ULH1,U
CTNNB1,P35222,SIAE,Q9HAT2,U
CTNNB1,P35222,ZNF274,Q96GC6,U
CTNNB1,P35222,PKP3,Q9Y446,U
CTNNB1,P35222,LPO,P22079,U
CTNNB1,P35222,CEP76,Q8TAP6,U
CTNNB1,P35222,RANBP10,Q6VN20,U
CTNNB1,P35222,ENGASE,Q8NFI3,U
CTNNB1,P35222,CAMKK1,Q8N5S9,U
CTNNB1,P35222,PDLIM7,Q9NR12,U
CTNNB1,P35222,CPEB3,Q8NE35,U
CTNNB1,P35222,NEK9,Q8TD19,U
CTNNB1,P35222,ADD1,P35611,U
CTNNB1,P35222,DGKZ,Q13574,U
CTNNB1,P35222,RANBP3,Q9H6Z4,U
CTNNB1,P35222,SLC4A1AP,Q9BWU0,U
CTNNB1,P35222,ZW10,O43264,U
CTNNB1,P35222,DNAJC2,Q99543,U
