query_gene,query_uniprot,partner_gene,partner_uniprot,class
ERN1,O75460,ERN1,O75460,P
ERN1,O75460,HSPA5,P11021,P
ERN1,O75460,PDIA6,Q15084,P
ERN1,O75460,SEC61A1,P61619,P
ERN1,O75460,CFTR,P13569,U
ERN1,O75460,TLR7,Q9NYK1,U
ERN1,O75460,STT3B,Q8TCJ2,U
ERN1,O75460,NRROS,Q86YC3,U
ERN1,O75460,B3GALNT2,Q8NCR0,U
ERN1,O75460,ABCG1,P45844,U
ERN1,O75460,EXTL3,O43909,U
ERN1,O75460,PIGS,Q96S52,U
ERN1,O75460,CDKAL1,Q5VV42,U
ERN1,O75460,PDZD8,Q8NEN9,U
ERN1,O75460,PIGN,O95427,U
ERN1,O75460,SACM1L,Q9NTJ5,U
ERN1,O75460,STIM2,Q9P246,U
ERN1,O75460,POM121,Q96HA1,U
ERN1,O75460,CYP4F11,Q9HBI6,U
ERN1,O75460,CLPTM1L,Q96KA5,U
ERN1,O75460,PKD2,Q13563,U
ERN1,O75460,TMEM151B,Q8IW70,U
ERN1,O75460,ESYT1,Q9BSJ8,U
ERN1,O75460,RNF103,O00237,U
ERN1,O75460,AMFR,Q9UKV5,U
ERN1,O75460,RNF145,Q96MT1,U
ERN1,O75460,SLC37A2,Q8TED4,U
ERN1,O75460,SEZ6L,Q9BYH1,U
ERN1,O75460,CANX,P27824,U
ERN1,O75460,CLSTN2,Q9H4D0,U
ERN1,O75460,CYP7A1,P22680,U
ERN1,O75460,ATP2A2,P16615,U
ERN1,O75460,PNPLA8,Q9NP80,U
ERN1,O75460,CREB3L1,Q96BA8,U
ERN1,O75460,ATP8B1,O43520,U
ERN1,O75460,HHATL,Q9HCP6,U
ERN1,O75460,TRPM8,Q7Z2W7,U
ERN1,O75460,JPH1,Q9HDC5,U
ERN1,O75460,ROBO1,Q9Y6N7,U
ERN1,O75460,WLS,Q5T9L3,U
ERN1,O75460,SLC27A4,Q6P1M0,U
ERN1,O75460,RFT1,Q96AA3,U
ERN1,O75460,DHCR24,Q15392,U
ERN1,O75460,CLGN,O14967,U
ERN1,O75460,LBR,Q14739,U
ERN1,O75460,GRAMD1A,Q96CP6,U
ERN1,O75460,ERMP1,Q7Z2K6,U
ERN1,O75460,SLC30A1,Q9Y6M5,U
ERN1,O75460,ANO5,Q75V66,U
ERN1,O75460,DSE,Q9UL01,U
ERN1,O75460,CSPG5,O95196,U
ERN1,O75460,RHBDF2,Q6PJF5,U
ERN1,O75460,TMEM67,Q5HYA8,U
ERN1,O75460,ANKLE2,Q86XL3,U
ERN1,O75460,SEMA4B,Q9NPR2,U
ERN1,O75460,ARCN1,P48444,U
ERN1,O75460,INTS3,Q68E01,U
ERN1,O75460,DCAF8L2,P0C7V8,U
ERN1,O75460,DCLRE1C,Q96SD1,U
ERN1,O75460,SYN1,P17600,U
ERN1,O75460,TGM1,P22735,U
ERN1,O75460,NLRP10,Q86W26,U
ERN1,O75460,LGALS3BP,Q08380,U
ERN1,O75460,NCOA2,Q15596,U
ERN1,O75460,CTNND1,O60716,U
ERN1,O75460,FLYWCH1,Q4VC44,U
ERN1,O75460,ANO8,Q9HCE9,U
ERN1,O75460,PRKD1,Q15139,U
ERN1,O75460,ZNF546,Q86UE3,U
ERN1,O75460,NPHP4,O75161,U
ERN1,O75460,DENND1A,Q8TEH3,U
ERN1,O75460,ENTPD2,Q9Y5L3,U
ERN1,O75460,EXO1,Q9UQ84,U
ERN1,O75460,ITGA6,P23229,U
ERN1,O75460,DLL4,Q9NR61,U
ERN1,O75460,ANKRD13C,Q8N6S4,U
ERN1,O75460,EPHA6,Q9UF33,U
ERN1,O75460,CYP1B1,Q16678,U
ERN1,O75460,SESN3,P58005,U
ERN1,O75460,AP1G2,O75843,U
ERN1,O75460,MARK4,Q96L34,U
ERN1,O75460,ZSWIM6,Q9HCJ5,U
ERN1,O75460,MAP3K11,Q16584,U
ERN1,O75460,SLC22A10,Q63ZE4,U
ERN1,O75460,STK31,Q9BXU1,U
ERN1,O75460,FAM91A1,Q658Y4,U
ERN1,O75460,DLAT,P10515,U
ERN1,O75460,SLC6A4,P31645,U
ERN1,O75460,CCDC14,Q49A88,U
ERN1,O75460,EIF4G3,O43432,U
ERN1,O75460,NUP160,Q12769,U
ERN1,O75460,ADAM11,O75078,U
ERN1,O75460,PLAG1,Q6DJT9,U
ERN1,O75460,REXO1,Q8N1G1,U
ERN1,O75460,ACVRL1,P37023,U
ERN1,O75460,ZNF287,Q9HBT7,U
ERN1,O75460,TFRC,P02786,U
ERN1,O75460,KCNH1,O95259,U
ERN1,O75460,DIAPH1,O60610,U
ERN1,O75460,PHTF2,Q8N3S3,U
ERN1,O75460,PGLYRP2,Q96PD5,U
ERN1,O75460,PHACTR4,Q8IZ21,U
ERN1,O75460,KANK1,Q14678,U
ERN1,O75460,ROCK2,O75116,U
ERN1,O75460,POGLUT1,Q8NBL1,U
ERN1,O75460,SIRT6,Q8N6T7,U
ERN1,O75460,ATG14,Q6ZNE5,U
ERN1,O75460,MTMR9,Q96QG7,U
ERN1,O75460,PRSS50,Q9UI38,U
ERN1,O75460,SCYL1,Q96KG9,U
ERN1,O75460,TRIM32,Q13049,U
ERN1,O75460,NHLRC1,Q6VVB1,U
ERN1,O75460,SULF2,Q8IWU5,U
ERN1,O75460,CYP2C18,P33260,U
ERN1,O75460,TESPA1,A2RU30,U
ERN1,O75460,CYP26A1,O43174,U
ERN1,O75460,CYP2F1,P24903,U
ERN1,O75460,NPHS2,Q9NP85,U
ERN1,O75460,CYP2J2,P51589,U
ERN1,O75460,ASPSCR1,Q9BZE9,U
ERN1,O75460,PDIA4,P13667,U
ERN1,O75460,RSAD2,Q8WXG1,U
ERN1,O75460,RCN3,Q96D15,U
ERN1,O75460,KLHL14,Q9P2G3,U
ERN1,O75460,CALR,P27797,U
ERN1,O75460,SEC24D,O94855,U
ERN1,O75460,PLOD3,O60568,U
ERN1,O75460,SRP68,Q9UHB9,U
ERN1,O75460,LGI1,O95970,U
ERN1,O75460,GASK1A,Q9UFP1,U
ERN1,O75460,RASGRP1,O95267,U
ERN1,O75460,AZIN2,Q96A70,U
ERN1,O75460,DDN,O94850,U
ERN1,O75460,COLGALT1,Q8NBJ5,U
ERN1,O75460,P3H1,Q32P28,U
ERN1,O75460,CTTN,Q14247,U
ERN1,O75460,MMP27,Q9H306,U
ERN1,O75460,CYP26B1,Q9NR63,U
ERN1,O75460,PIP4K2C,Q8TBX8,U
ERN1,O75460,CYP3A43,Q9HB55,U
ERN1,O75460,LSG1,Q9H089,U
ERN1,O75460,AHCY,P23526,U
ERN1,O75460,NCK2,O43639,U
ERN1,O75460,UBA5,Q9GZZ9,U
ERN1,O75460,CYP2W1,Q8TAV3,U
ERN1,O75460,SQSTM1,Q13501,U
ERN1,O75460,UFL1,O94874,U
ERN1,O75460,POFUT1,Q9H488,U
ERN1,O75460,ZC3H12A,Q5D1E8,U
ERN1,O75460,CLEC18A,A5D8T8,U
ERN1,O75460,GORASP2,Q9H8Y8,U
ERN1,O75460,HYAL3,O43820,U
ERN1,O75460,CYP1A1,P04798,U
ERN1,O75460,LPIN1,Q14693,U
ERN1,O75460,TMC8,Q8IU68,U
ERN1,O75460,DLX2,Q07687,U
ERN1,O75460,ETV6,P41212,U
ERN1,O75460,OSBPL10,Q9BXB5,U
ERN1,O75460,HLX,Q14774,U
ERN1,O75460,MMP15,P51511,U
ERN1,O75460,PELI2,Q9HAT8,U
ERN1,O75460,TEKT3,Q9BXF9,U
ERN1,O75460,NFKBIZ,Q9BYH8,U
ERN1,O75460,HAPLN1,P10915,U
ERN1,O75460,CATSPERG,Q6ZRH7,U
ERN1,O75460,CASS4,Q9NQ75,U
ERN1,O75460,CPNE2,Q96FN4,U
ERN1,O75460,ZBTB49,Q6ZSB9,U
ERN1,O75460,ITGAM,P11215,U
ERN1,O75460,ZNF687,Q8N1G0,U
ERN1,O75460,GNAQ,P50148,U
ERN1,O75460,QKI,Q96PU8,U
ERN1,O75460,FOLH1,Q04609,U
ERN1,O75460,POLRMT,O00411,U
ERN1,O75460,TTLL2,Q9BWV7,U
ERN1,O75460,ADAM22,Q9P0K1,U
ERN1,O75460,CPB2,Q96IY4,U
ERN1,O75460,ODAD4,Q96NG3,U
ERN1,O75460,PPM1B,O75688,U
ERN1,O75460,GPC4,O75487,U
ERN1,O75460,OTOP1,Q7RTM1,U
ERN1,O75460,ERVS71-1,P61550,U
ERN1,O75460,TGFBRAP1,Q8WUH2,U
ERN1,O75460,CA12,O43570,U
ERN1,O75460,CAMK1,Q14012,U
ERN1,O75460,RABEPK,Q7Z6M1,U
ERN1,O75460,LRRC8B,Q6P9F7,U
ERN1,O75460,TTC39A,Q5SRH9,U
ERN1,O75460,ARK2C,Q6ZSG1,U
ERN1,O75460,BEND7,Q8N7W2,U
ERN1,O75460,TOB1,P50616,U
ERN1,O75460,CDC37,Q16543,U
ERN1,O75460,CCDC39,Q9UFE4,U
ERN1,O75460,TRPS1,Q9UHF7,U
ERN1,O75460,RFX6,Q8HWS3,U
ERN1,O75460,TEX11,Q8IYF3,U
ERN1,O75460,COL23A1,Q86Y22,U
ERN1,O75460,SNX9,Q9Y5X1,U
ERN1,O75460,SLC6A7,Q99884,U
ERN1,O75460,RARG,P13631,U
ERN1,O75460,EPM2A,B3EWF7,U
ERN1,O75460,POU3F3,P20264,U
ERN1,O75460,PNMA3,Q9UL41,U
ERN1,O75460,TJAP1,Q5JTD0,U
ERN1,O75460,HMGCLL1,Q8TB92,U
ERN1,O75460,PDIA5,Q14554,U
ERN1,O75460,ATG4B,Q9Y4P1,U
ERN1,O75460,PSMF1,Q92530,U
ERN1,O75460,UBXN4,Q92575,U
ERN1,O75460,HSD17B3,P37058,U
ERN1,O75460,LOXL2,Q9Y4K0,U
ERN1,O75460,RINT1,Q6NUQ1,U
ERN1,O75460,JMJD8,Q96S16,U
ERN1,O75460,CES3,Q6UWW8,U
ERN1,O75460,TP53,P04637,U
ERN1,O75460,FKBP10,Q96AY3,U
ERN1,O75460,ZFYVE1,Q9HBF4,U
ERN1,O75460,MAPK8IP1,Q9UQF2,U
ERN1,O75460,PNKD,Q8N490,U
ERN1,O75460,AUP1,Q9Y679,U
ERN1,O75460,GIMAP8,Q8ND71,U
ERN1,O75460,DNASE1L3,Q13609,U
ERN1,O75460,HSPA13,P48723,U
ERN1,O75460,HSP90B1,P14625,U
ERN1,O75460,RAP1GDS1,P52306,U
ERN1,O75460,PRDX4,Q13162,U
ERN1,O75460,CALU,O43852,U
ERN1,O75460,PLCD4,Q9BRC7,U
ERN1,O75460,CERCAM,Q5T4B2,U
ERN1,O75460,PKMYT1,Q99640,U
ERN1,O75460,CYP2C9,P11712,U
ERN1,O75460,SCP2,P22307,U
ERN1,O75460,ERP44,Q9BS26,U
ERN1,O75460,POGLUT2,Q6UW63,U
ERN1,O75460,HAP1,P54257,U
ERN1,O75460,EOGT,Q5NDL2,U
ERN1,O75460,CRELD2,Q6UXH1,U
ERN1,O75460,TRAPPC12,Q8WVT3,U
ERN1,O75460,MAPKAP1,Q9BPZ7,U
ERN1,O75460,CYP2B6,P20813,U
ERN1,O75460,NPLOC4,Q8TAT6,U
ERN1,O75460,SPAST,Q9UBP0,U
ERN1,O75460,PPT1,P50897,U
ERN1,O75460,PROC,P04070,U
ERN1,O75460,TREX1,Q9NSU2,U
ERN1,O75460,CHI3L1,P36222,U
ERN1,O75460,ASB11,Q8WXH4,U
ERN1,O75460,TXNDC5,Q8NBS9,U
ERN1,O75460,TXNDC16,Q9P2K2,U
ERN1,O75460,DHDDS,Q86SQ9,U
ERN1,O75460,CYP4F2,P78329,U
ERN1,O75460,FKBP9,O95302,U
ERN1,O75460,P4HA3,Q7Z4N8,U
ERN1,O75460,CASQ1,P31415,U
ERN1,O75460,LRRC8A,Q8IWT6,U
ERN1,O75460,MRPL1,Q9BYD6,U
ERN1,O75460,MAMLD1,Q13495,U
ERN1,O75460,GALE,Q14376,U
ERN1,O75460,CHRDL1,Q9BU40,U
ERN1,O75460,TRAIP,Q9BWF2,U
ERN1,O75460,CLOCK,O15516,U
ERN1,O75460,CCDC154,A6NI56,U
ERN1,O75460,C1QBP,Q07021,U
ERN1,O75460,BLZF1,Q9H2G9,U
ERN1,O75460,KLF10,Q13118,U
ERN1,O75460,FBXL5,Q9UKA1,U
ERN1,O75460,HEXD,Q8WVB3,U
ERN1,O75460,LYPLA1,O75608,U
ERN1,O75460,EPHX2,P34913,U
ERN1,O75460,HSF2BP,O75031,U
ERN1,O75460,STT3A,P46977,U
ERN1,O75460,WIF1,Q9Y5W5,U
ERN1,O75460,PDE1B,Q01064,U
ERN1,O75460,ALDH9A1,P49189,U
ERN1,O75460,CASP9,P55211,U
ERN1,O75460,OSCAR,Q8IYS5,U
ERN1,O75460,FSHR,P23945,U
ERN1,O75460,PLPP1,O14494,U
ERN1,O75460,CD1C,P29017,U
ERN1,O75460,HTR1A,P08908,U
ERN1,O75460,RECQL,P46063,U
ERN1,O75460,C1QC,P02747,U
ERN1,O75460,STK38L,Q9Y2H1,U
ERN1,O75460,RUBCNL,Q9H714,U
ERN1,O75460,MEIS3P2,A8K0S8,U
ERN1,O75460,GORAB,Q5T7V8,U
ERN1,O75460,ZNF724,A8MTY0,U
ERN1,O75460,PLEKHA3,Q9HB20,U
ERN1,O75460,CXCR6,O00574,U
ERN1,O75460,ITGB5,P18084,U
ERN1,O75460,PARS2,Q7L3T8,U
ERN1,O75460,AJUBA,Q96IF1,U
ERN1,O75460,RNF169,Q8NCN4,U
ERN1,O75460,CFAP263,Q9H0I3,U
ERN1,O75460,PITX1,P78337,U
ERN1,O75460,EEF1A1,P68104,U
ERN1,O75460,GHSR,Q92847,U
ERN1,O75460,MS4A10,Q96PG2,U
ERN1,O75460,CILK1,Q9UPZ9,U
ERN1,O75460,RAB21,Q9UL25,U
ERN1,O75460,RTP1,P59025,U
ERN1,O75460,LDLRAD3,Q86YD5,U
ERN1,O75460,PSG7,Q13046,U
ERN1,O75460,MMP17,Q9ULZ9,U
ERN1,O75460,UBE2J2,Q8N2K1,U
ERN1,O75460,UGT1A8,Q9HAW9,U
ERN1,O75460,JPH2,Q9BR39,U
ERN1,O75460,DOLK,Q9UPQ8,U
ERN1,O75460,HLA-DQB2,P05538,U
ERN1,O75460,EMC3,Q9P0I2,U
ERN1,O75460,PIGT,Q969N2,U
ERN1,O75460,RCE1,Q9Y256,U
ERN1,O75460,TLR3,O15455,U
ERN1,O75460,SLC39A7,Q92504,U
ERN1,O75460,SHISA2,Q6UWI4,U
ERN1,O75460,SLC37A3,Q8NCC5,U
ERN1,O75460,ATL1,Q8WXF7,U
ERN1,O75460,TMEM174,Q8WUU8,U
ERN1,O75460,DPY19L3,Q6ZPD9,U
ERN1,O75460,MOXD1,Q6UVY6,U
ERN1,O75460,UGT1A10,Q9HAW8,U
ERN1,O75460,RNF43,Q68DV7,U
ERN1,O75460,CTDNEP1,O95476,U
ERN1,O75460,TAAR1,Q96RJ0,U
ERN1,O75460,HLA-DRB1,P01911,U
ERN1,O75460,RNF139,Q8WU17,U
ERN1,O75460,GRAMD1C,Q8IYS0,U
ERN1,O75460,LPCAT2,Q7L5N7,U
ERN1,O75460,FICD,Q9BVA6,U
ERN1,O75460,MSMO1,Q15800,U
ERN1,O75460,ACSL3,O95573,U
ERN1,O75460,HSD11B1,P28845,U
ERN1,O75460,ALG9,Q9H6U8,U
ERN1,O75460,PIGZ,Q86VD9,U
ERN1,O75460,DMPK,Q09013,U
ERN1,O75460,UGT2B7,P16662,U
ERN1,O75460,SARAF,Q96BY9,U
ERN1,O75460,CYP4F22,Q6NT55,U
ERN1,O75460,ATP6AP2,O75787,U
ERN1,O75460,KCNK2,O95069,U
ERN1,O75460,DEGS2,Q6QHC5,U
ERN1,O75460,VMP1,Q96GC9,U
ERN1,O75460,TMC6,Q7Z403,U
ERN1,O75460,HSD17B7,P56937,U
ERN1,O75460,ATF6B,Q99941,U
ERN1,O75460,YIF1A,O95070,U
ERN1,O75460,TRIM59,Q8IWR1,U
ERN1,O75460,DOLPP1,Q86YN1,U
ERN1,O75460,TMCC3,Q9ULS5,U
ERN1,O75460,ELOVL4,Q9GZR5,U
ERN1,O75460,CYP19A1,P11511,U
ERN1,O75460,TEX264,Q9Y6I9,U
ERN1,O75460,LMAN1,P49257,U
ERN1,O75460,SLC35D3,Q5M8T2,U
ERN1,O75460,CAP2,P40123,U
ERN1,O75460,GRIA2,P42262,U
ERN1,O75460,PICK1,Q9NRD5,U
ERN1,O75460,AHCYL1,O43865,U
ERN1,O75460,RABEP1,Q15276,U
ERN1,O75460,EBF3,Q9H4W6,U
ERN1,O75460,LHX2,P50458,U
ERN1,O75460,PAK1IP1,Q9NWT1,U
ERN1,O75460,ANXA11,P50995,U
ERN1,O75460,PSMC1,P62191,U
ERN1,O75460,EFHD2,Q96C19,U
ERN1,O75460,MCM6,Q14566,U
ERN1,O75460,DNAJB5,O75953,U
ERN1,O75460,SLC5A4,Q9NY91,U
ERN1,O75460,GLRX3,O76003,U
ERN1,O75460,GPR88,Q9GZN0,U
ERN1,O75460,DAW1,Q8N136,U
ERN1,O75460,DERA,Q9Y315,U
ERN1,O75460,POGLUT3,Q7Z4H8,U
ERN1,O75460,SAGE1,Q9NXZ1,U
ERN1,O75460,CYP4F12,Q9HCS2,U
ERN1,O75460,SYDE1,Q6ZW31,U
ERN1,O75460,PLEKHA1,Q9HB21,U
ERN1,O75460,CNST,Q6PJW8,U
ERN1,O75460,KCNA7,Q96RP8,U
ERN1,O75460,ZYG11B,Q9C0D3,U
ERN1,O75460,STOML2,Q9UJZ1,U
ERN1,O75460,MAPK14,Q16539,U
ERN1,O75460,MS4A14,Q96JA4,U
ERN1,O75460,WTIP,A6NIX2,U
ERN1,O75460,MTF1,Q14872,U
ERN1,O75460,KCNC1,P48547,U
ERN1,O75460,ZNF443,Q9Y2A4,U
ERN1,O75460,SPMIP4,Q8N865,U
ERN1,O75460,DNAJC17,Q9NVM6,U
ERN1,O75460,TRAF1,Q13077,U
ERN1,O75460,SP9,P0CG40,U
ERN1,O75460,SLCO4A1,Q96BD0,U
ERN1,O75460,FGFRL1,Q8N441,U
ERN1,O75460,EOMES,O95936,U
ERN1,O75460,EYA1,Q99502,U
ERN1,O75460,SIM2,Q14190,U
ERN1,O75460,GBA1,P04062,U
ERN1,O75460,SIRT2,Q8IXJ6,U
ERN1,O75460,SPIDR,Q14159,U
ERN1,O75460,SLC35A3,Q9Y2D2,U
ERN1,O75460,PURA,Q00577,U
ERN1,O75460,PKD2L1,Q9P0L9,U
ERN1,O75460,METAP1,P53582,U
ERN1,O75460,SFRP5,Q5T4F7,U
