query_gene,query_uniprot,partner_gene,partner_uniprot,class
HIF1A,Q16665,ARNT,P27540,P
HIF1A,Q16665,VHL,P40337,P
HIF1A,Q16665,EP300,Q09472,P
HIF1A,Q16665,ZNF502,Q8TBZ5,U
HIF1A,Q16665,THEMIS2,Q5TEJ8,U
HIF1A,Q16665,MITF,O75030,U
HIF1A,Q16665,NARF,Q9UHQ1,U
HIF1A,Q16665,ZNF615,Q8N8J6,U
HIF1A,Q16665,LMX1B,O60663,U
HIF1A,Q16665,TAF6L,Q9Y6J9,U
HIF1A,Q16665,SLFN11,Q7Z7L1,U
HIF1A,Q16665,REXO4,Q9GZR2,U
HIF1A,Q16665,XRCC5,P13010,U
HIF1A,Q16665,ZNF680,Q8NEM1,U
HIF1A,Q16665,CUL3,Q13618,U
HIF1A,Q16665,ZNF703,Q9H7S9,U
HIF1A,Q16665,FSD1,Q9BTV5,U
HIF1A,Q16665,MPHOSPH10,O00566,U
HIF1A,Q16665,ZNF197,O14709,U
HIF1A,Q16665,KPNB1,Q14974,U
HIF1A,Q16665,GLIS1,Q8NBF1,U
HIF1A,Q16665,APPBP2,Q92624,U
HIF1A,Q16665,HELB,Q8NG08,U
HIF1A,Q16665,A1CF,Q9NQ94,U
HIF1A,Q16665,RBM22,Q9NW64,U
HIF1A,Q16665,OGA,O60502,U
HIF1A,Q16665,UBE4B,O95155,U
HIF1A,Q16665,ZNF471,Q9BX82,U
HIF1A,Q16665,DUS1L,Q6P1R4,U
HIF1A,Q16665,NFIL3,Q16649,U
HIF1A,Q16665,MNX1,P50219,U
HIF1A,Q16665,PRC1,O43663,U
HIF1A,Q16665,MPO,P05164,U
HIF1A,Q16665,TBX18,O95935,U
HIF1A,Q16665,CPEB1,Q9BZB8,U
HIF1A,Q16665,ZBTB49,Q6ZSB9,U
HIF1A,Q16665,TBX5,Q99593,U
HIF1A,Q16665,FIRRM,Q9NSG2,U
HIF1A,Q16665,RBM14,Q96PK6,U
HIF1A,Q16665,TPX2,Q9ULW0,U
HIF1A,Q16665,NCOA4,Q13772,U
HIF1A,Q16665,ZFX,P17010,U
HIF1A,Q16665,ECD,O95905,U
HIF1A,Q16665,ZNF547,Q8IVP9,U
HIF1A,Q16665,SP9,P0CG40,U
HIF1A,Q16665,INTS11,Q5TA45,U
HIF1A,Q16665,NOLC1,Q14978,U
HIF1A,Q16665,BUD13,Q9BRD0,U
HIF1A,Q16665,NAB1,Q13506,U
HIF1A,Q16665,SP5,Q6BEB4,U
HIF1A,Q16665,ZNF800,Q2TB10,U
HIF1A,Q16665,SPATA2,Q9UM82,U
HIF1A,Q16665,CLK1,P49759,U
HIF1A,Q16665,HS3ST4,Q9Y661,U
HIF1A,Q16665,SLC22A3,O75751,U
HIF1A,Q16665,CPT1A,P50416,U
HIF1A,Q16665,MARK1,Q9P0L2,U
HIF1A,Q16665,KIF18B,Q86Y91,U
HIF1A,Q16665,ADAMTS18,Q8TE60,U
HIF1A,Q16665,RNFT1,Q5M7Z0,U
HIF1A,Q16665,EPC2,Q52LR7,U
HIF1A,Q16665,SYTL3,Q4VX76,U
HIF1A,Q16665,XPO7,Q9UIA9,U
HIF1A,Q16665,LAMP1,P11279,U
HIF1A,Q16665,TUBA3C,P0DPH7,U
HIF1A,Q16665,TRPC3,Q13507,U
HIF1A,Q16665,ARHGEF6,Q15052,U
HIF1A,Q16665,INTS15,Q96N11,U
HIF1A,Q16665,KLHL41,O60662,U
HIF1A,Q16665,POM121,Q96HA1,U
HIF1A,Q16665,MROH9,Q5TGP6,U
HIF1A,Q16665,NR1H3,Q13133,U
HIF1A,Q16665,MAPK7,Q13164,U
HIF1A,Q16665,ZNF865,P0CJ78,U
HIF1A,Q16665,PRRT4,C9JH25,U
HIF1A,Q16665,ZBED4,O75132,U
HIF1A,Q16665,INPP5D,Q92835,U
HIF1A,Q16665,KRT6C,P48668,U
HIF1A,Q16665,TRHDE,Q9UKU6,U
HIF1A,Q16665,GCDH,Q92947,U
HIF1A,Q16665,GK3,Q14409,U
HIF1A,Q16665,SPOCD1,Q6ZMY3,U
HIF1A,Q16665,ERVK-10,P87889,U
HIF1A,Q16665,BCS1L,Q9Y276,U
HIF1A,Q16665,GDF7,Q7Z4P5,U
HIF1A,Q16665,MDGA1,Q8NFP4,U
HIF1A,Q16665,ZNF44,P15621,U
HIF1A,Q16665,SOX10,P56693,U
HIF1A,Q16665,SPATA31F1,Q6ZU69,U
HIF1A,Q16665,DNAJC6,O75061,U
HIF1A,Q16665,FAM222A,Q5U5X8,U
HIF1A,Q16665,DNAJC7,Q99615,U
HIF1A,Q16665,RTKN2,Q8IZC4,U
HIF1A,Q16665,GNAS,P84996,U
HIF1A,Q16665,TUBB2B,Q9BVA1,U
HIF1A,Q16665,SLC49A4,Q96SL1,U
HIF1A,Q16665,NLGN2,Q8NFZ4,U
HIF1A,Q16665,PDE7A,Q13946,U
HIF1A,Q16665,IRX5,P78411,U
HIF1A,Q16665,ARHGAP39,Q9C0H5,U
HIF1A,Q16665,TERB1,Q8NA31,U
HIF1A,Q16665,YTHDF2,Q9Y5A9,U
HIF1A,Q16665,CCDC15,Q0P6D6,U
HIF1A,Q16665,APOL2,Q9BQE5,U
HIF1A,Q16665,NSFL1C,Q9UNZ2,U
HIF1A,Q16665,PIP4K2A,P48426,U
HIF1A,Q16665,DIRAS2,Q96HU8,U
HIF1A,Q16665,SKP2,Q13309,U
HIF1A,Q16665,ASB1,Q9Y576,U
HIF1A,Q16665,ARPC5,O15511,U
HIF1A,Q16665,PANK3,Q9H999,U
HIF1A,Q16665,ZFAND5,O76080,U
HIF1A,Q16665,SIVA1,O15304,U
HIF1A,Q16665,ENOPH1,Q9UHY7,U
HIF1A,Q16665,NUDT11,Q96G61,U
HIF1A,Q16665,SMYD5,Q6GMV2,U
HIF1A,Q16665,TYMS,P04818,U
HIF1A,Q16665,CD5L,O43866,U
HIF1A,Q16665,ACOT7,O00154,U
HIF1A,Q16665,TIPIN,Q9BVW5,U
HIF1A,Q16665,RAN,P62826,U
HIF1A,Q16665,STAP1,Q9ULZ2,U
HIF1A,Q16665,ADA,P00813,U
HIF1A,Q16665,SPMIP6,Q8NCR6,U
HIF1A,Q16665,POU4F3,Q15319,U
HIF1A,Q16665,LANCL1,O43813,U
HIF1A,Q16665,ACTL7B,Q9Y614,U
HIF1A,Q16665,TMOD4,Q9NZQ9,U
HIF1A,Q16665,APOBEC3C,Q9NRW3,U
HIF1A,Q16665,KIAA1191,Q96A73,U
HIF1A,Q16665,DUSP6,Q16828,U
HIF1A,Q16665,STOML2,Q9UJZ1,U
HIF1A,Q16665,SH3BGRL,O75368,U
HIF1A,Q16665,NME3,Q13232,U
HIF1A,Q16665,PARD6G,Q9BYG4,U
HIF1A,Q16665,PIDD1,C0HMD6,U
HIF1A,Q16665,FGF1,P05230,U
HIF1A,Q16665,SNX24,Q9Y343,U
HIF1A,Q16665,USP12,O75317,U
HIF1A,Q16665,YAE1,Q9NRH1,U
HIF1A,Q16665,SOHLH2,Q9NX45,U
HIF1A,Q16665,EEF1AKMT3,Q96AZ1,U
HIF1A,Q16665,CITED4,Q96RK1,U
HIF1A,Q16665,PHLDA2,Q53GA4,U
HIF1A,Q16665,ATG10,Q9H0Y0,U
HIF1A,Q16665,ZC3H15,Q8WU90,U
HIF1A,Q16665,SH3GL3,Q99963,U
HIF1A,Q16665,JMJD6,Q6NYC1,U
HIF1A,Q16665,HYPK,Q9NX55,U
HIF1A,Q16665,ATP6V0D1,P61421,U
HIF1A,Q16665,SHARPIN,Q9H0F6,U
HIF1A,Q16665,RGS17,Q9UGC6,U
HIF1A,Q16665,MSI2,Q96DH6,U
HIF1A,Q16665,LINC01559,Q495D7,U
HIF1A,Q16665,RASSF6,Q6ZTQ3,U
HIF1A,Q16665,HMBOX1,Q6NT76,U
HIF1A,Q16665,WFDC6,Q9BQY6,U
HIF1A,Q16665,EMC7,Q9NPA0,U
HIF1A,Q16665,GSG1L,Q6UXU4,U
HIF1A,Q16665,TAF13,Q15543,U
HIF1A,Q16665,PIGM,Q9H3S5,U
HIF1A,Q16665,C2CD4B,A6NLJ0,U
HIF1A,Q16665,IFNK,Q9P0W0,U
HIF1A,Q16665,CCDC134,Q9H6E4,U
HIF1A,Q16665,IGLV3-21,P80748,U
HIF1A,Q16665,MMGT1,Q8N4V1,U
HIF1A,Q16665,PSMB1,P20618,U
HIF1A,Q16665,CST8,O60676,U
HIF1A,Q16665,ADPRHL1,Q8NDY3,U
HIF1A,Q16665,CYS1,Q717R9,U
HIF1A,Q16665,HNRNPA3,P51991,U
HIF1A,Q16665,HOXB9,P17482,U
HIF1A,Q16665,WIF1,Q9Y5W5,U
HIF1A,Q16665,AP3M2,P53677,U
HIF1A,Q16665,CERS2,Q96G23,U
HIF1A,Q16665,SPRR3,Q9UBC9,U
HIF1A,Q16665,TEFM,Q96QE5,U
HIF1A,Q16665,XAGE5,Q8WWM1,U
HIF1A,Q16665,MAGEB10,Q96LZ2,U
HIF1A,Q16665,PRR4,Q16378,U
HIF1A,Q16665,H2BC14,Q99879,U
HIF1A,Q16665,NANOS2,P60321,U
HIF1A,Q16665,YIPF2,Q9BWQ6,U
HIF1A,Q16665,RASSF5,Q8WWW0,U
HIF1A,Q16665,LPAR5,Q9H1C0,U
HIF1A,Q16665,ZNF821,O75541,U
HIF1A,Q16665,TLDC2,A0PJX2,U
HIF1A,Q16665,PRSS38,A1L453,U
HIF1A,Q16665,LRRC61,Q9BV99,U
HIF1A,Q16665,HSD17B11,Q8NBQ5,U
HIF1A,Q16665,EIF4E1B,A6NMX2,U
HIF1A,Q16665,TIMM50,Q3ZCQ8,U
HIF1A,Q16665,MTCH2,Q9Y6C9,U
HIF1A,Q16665,TMIGD3,P0DMS9,U
HIF1A,Q16665,UBE2S,Q16763,U
HIF1A,Q16665,FNDC8,Q8TC99,U
HIF1A,Q16665,IGLV3-25,P01717,U
HIF1A,Q16665,FCGR3A,P08637,U
HIF1A,Q16665,IL36B,Q9NZH7,U
HIF1A,Q16665,GPR55,Q9Y2T6,U
HIF1A,Q16665,FGF20,Q9NP95,U
HIF1A,Q16665,DUSP21,Q9H596,U
HIF1A,Q16665,CENPK,Q9BS16,U
HIF1A,Q16665,STK36,Q9NRP7,U
HIF1A,Q16665,BRCA2,P51587,U
HIF1A,Q16665,ATR,Q13535,U
HIF1A,Q16665,TEX15,Q9BXT5,U
HIF1A,Q16665,ATAD2,Q6PL18,U
HIF1A,Q16665,ACIN1,Q9UKV3,U
HIF1A,Q16665,DCAF1,Q9Y4B6,U
HIF1A,Q16665,KIF4A,O95239,U
