U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
,,P,False,False,1,RAF1,648,cccfc1d98eae3098eabc4172a1261029642e3f31e5bbc317cc8a820a75086f1d,P04049,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.1705057621002197,0.6731463670730591,-6.406756401062012,-5.358791828155518,-4.7285308837890625,-5.498026371002197,74.0,15.0,21.0
,,P,False,False,2,BRAF,766,1a1d669b0622fbe831f52ddb1be8e99ed35c39eea791b55b52db12a80811e274,P15056,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.3491066296895344,0.502097045381864,-6.989221096038818,-5.755869388580322,-5.667314529418945,-6.137468338012695,99.0,22.0,48.0
,,P,False,False,3,ARAF,606,39ad43cf31421ee66dcea16ed6c270c50e9b75b9984e56a6806f208b39ce4fe8,P10398,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.4294844071070354,0.0836472362279892,-6.2506489753723145,-5.872865200042725,-5.562870979309082,-5.895461718241374,111.0,44.0,33.0
context,P04049,U,False,False,4,MKLN1,735,7dde3e4859ece8c79c51f62c4a2d9483066874a867412dfb646e074dae7879d2,Q9UL63,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-3.0350612799326577,-2.766869227091471,-8.258810997009277,-7.875919342041016,-7.789964199066162,-7.974898179372151,270.0,254.0,161.0
context,P04049,U,False,False,5,MEIOB,442,130ef1daef49448523d4ffc8ef50ad362a706c9bfa47f5213b7e8e485be00999,Q8N635,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.6200471719106038,-1.8939213355382283,-6.764008522033691,-8.392796516418457,-9.094755172729492,-8.083853403727213,135.0,196.0,171.0
context,P04049,U,False,False,6,RABGAP1,1069,9249267ca9dff3ccc4088cb24fe45166c2b2a0a3220da91fb4c40108fff6d59d,Q9Y3P9,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.015308399995168,1.0817764202753704,-3.8925366401672363,-4.521440505981445,-4.037411689758301,-4.150462945302327,62.0,5.0,1.0
context,P04049,U,False,False,7,G6PD,515,0725c9221fe1fd935ede4a747d0678459ca0e367b238a1dea22fc4874335cf8f,P11413,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.0379906495412192,-3.3187171618143716,-10.430419921875,-9.163458824157715,-8.784504890441895,-9.459461212158203,188.0,278.0,244.0
context,P04049,U,False,False,8,PIWIL2,973,f26a1301b4745efea3923791be1e58f985ef15422371da61856f5abe9f80dfe6,Q8TC59,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.757585088411967,-1.872117519378662,-8.641060829162598,-7.150975704193115,-9.296310424804688,-8.3627823193868,151.0,194.0,185.0
context,P04049,U,False,False,9,CAMKV,501,05bc38b39ec51739a68d039992f2eb6fc40539c069307cab3138dfddb2255bdf,Q8NCB2,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.9520676136016846,-2.519538084665934,-8.440043449401855,-7.251145362854004,-7.800711154937744,-7.830633322397868,265.0,241.0,151.0
context,P04049,U,False,False,10,TRIM6,488,6db31839bf4ff6ad8f407b3363dc8ce76e715bc469008724b098665de1881563,Q9C030,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.100307861963908,0.3763339122136434,-8.814047813415527,-5.431337833404541,-8.727149963378906,-7.657511870066325,69.0,29.0,134.0
context,P04049,U,False,False,11,SEPTIN10,454,24253579b6d2e95726b6e5b10bdfbe1a5e60d9b93abae05260fbc54f7028df05,Q9P0V9,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.4864094257354736,-0.6073076923688253,-9.321245193481445,-7.986841201782227,-6.908299922943115,-8.072128772735596,120.0,98.0,170.0
context,P04049,U,False,False,12,CDC123,336,6921e2791e838528ed7ef351dc2cc4843395240b80b7505e3056b212c4271e3e,O75794,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-3.098330020904541,-2.9406391779581704,-9.293309211730957,-8.215596199035645,-9.788334846496582,-9.099080085754395,273.0,261.0,224.0
context,P04049,U,False,False,13,CARS1,748,aaec77bda46be5ed3afd6b9d7a537e1900ace52b24463bd403dce512c9dea9ea,P49589,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.394868850708008,-2.904659907023112,-8.102614402770996,-8.091150283813477,-5.555974006652832,-7.2499128977457685,221.0,259.0,102.0
context,P04049,U,False,False,14,GAS2L1,681,bf3139cc546e7dc498de139039f36d0102f707f2c7e0b9dc39ac471779ee2a8a,Q99501,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.2386879920959473,0.2268314560254415,-8.070833206176758,-9.651095390319824,-4.148139476776123,-7.290022691090901,85.0,38.0,106.0
context,P04049,U,False,False,15,GORAB,369,d440000f92ccee82b69ac296f1b7a9696d4b22b87df22c536d873b516329b757,Q5T7V8,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.3995877504348755,-0.5510698556900024,-8.251382827758789,-8.52452564239502,-9.767354965209961,-8.84775447845459,110.0,93.0,213.0
context,P04049,U,False,False,16,PFKL,780,48c2be0a43633acbf432ae16566864a8402e0d66b711cab6ca0fbb2759a6dbbf,P17858,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.1916751861572266,-2.0104605158170066,-9.858838081359863,-10.080819129943848,-8.433927536010742,-9.45786158243815,200.0,210.0,243.0
context,P04049,U,False,False,17,EIF4A3,411,b8d9424649e6338232cbd11956a20dc129570325944185ed15a1e60cfb3c2add,P38919,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.3495675722757976,-1.713535984357198,-8.107352256774902,-6.90840482711792,-6.126967906951904,-7.047574996948242,100.0,179.0,95.0
context,P04049,U,False,False,18,FGD1,961,faf70124802312c3a4edb0107c27bade50bf744b16376caf8398d82539d0a7fe,P98174,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-0.9556117455164591,-0.07226018110911052,-7.084315776824951,-6.421019554138184,-4.071533679962158,-5.858956336975098,55.0,54.0,32.0
context,P04049,U,False,False,19,CDC20,499,bad437a417a184a712dc35dd65c7178f5671e77cc8a22b2f2c547b14e215d08a,Q12834,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.966248353322347,-3.1093661785125732,-10.613436698913574,-6.417551517486572,-7.081823348999023,-8.037603855133057,266.0,269.0,168.0
context,P04049,U,False,False,20,HENMT1,393,5ba0443e04f17b78dad950c43f0843c626961332335f1edcd0d905f5e3317869,Q5T8I9,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-0.7750519315401713,-0.8020104964574178,-9.877854347229004,-7.996870517730713,-7.322333812713623,-8.399019559224447,37.0,117.0,188.0
context,P04049,U,False,False,21,EPN1,576,29defcccf3407df7660392068d598c7499fb428be9ceefaa9a31a6e72cee515a,Q9Y6I3,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-0.3692350188891093,0.27505528926849365,-5.4363579750061035,-6.062176704406738,-4.759568214416504,-5.419367631276448,20.0,34.0,14.0
context,P04049,U,False,False,22,DRC9,443,77f914d8698e20862b4c15837df0936df62186b31a5956c37a9eba8b4e1cf137,Q9H095,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-0.7623145977656046,-0.12334215641021729,-7.148841381072998,-5.6578288078308105,-9.467916488647461,-7.424862225850423,36.0,58.0,116.0
context,P04049,U,False,False,23,NOCT,431,f7dbf1f8a1ead786e8ab1d17bba161f6e0f09b8a924061e230e733a710beeaa8,Q9UK39,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-0.9242190718650818,-1.0552340745925903,-10.998672485351562,-8.871828079223633,-7.472700119018555,-9.114400227864584,53.0,138.0,226.0
context,P04049,U,False,False,24,INCENP,918,cc4191ee04ad1c066df56a7d7d8d28a100ecdf74205d848043782e37d26c84f5,Q9NQS7,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.2681934436162312,-0.16791239380836487,-8.2177734375,-6.763987064361572,-7.386330604553223,-7.456030368804932,87.0,66.0,120.0
context,P04049,U,False,False,25,SYNPO2L,977,5be2df853117b557e1a990953f754154563f6dd1b8e0ae5ddfee86d6b1c2951d,Q9H987,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.9089068571726482,-0.1473389764626821,-8.1404390335083,-6.014031410217285,-5.0521016120910645,-6.402190685272217,168.0,63.0,58.0
context,P04049,U,False,False,26,M1AP,530,5f6dd667bd3f81e948e005f7860f9afe97568cd4a9938337d0c5cbc2ca5010c9,Q8TC57,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-2.5407052834828696,-0.6054174900054932,-6.6622185707092285,-5.7153496742248535,-5.957029342651367,-6.111532529195149,238.0,96.0,46.0
context,P04049,U,False,False,27,RBMS3,437,47b49c4892fd20f0a966e4e7de8d3eda3d07ac6a70ca4d06842295103ee8a8fa,Q6XE24,False,KRAS,189,1d5a9ab11f64cb886d8ffa08a153c412b2d190fcf70e5690cd4b4c7efcdee53a,P01116,additional_six,False,-1.728603720664978,-2.291366219520569,-12.009980201721191,-10.913527488708496,-8.99916934967041,-10.640892346700033,144.0,227.0,272.0
