U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
,,P,False,False,1,TNF,233,8625b8e5664220caffd8c457d023faa6156bab712d487986eaeab87c99b668e5,P01375,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-0.7483862042427063,1.23443599541982,-7.60060977935791,-3.4283995628356934,-3.2599966526031494,-4.763001998265584,33.0,2.0,6.0
,,P,False,False,2,LTA,205,a6b9c5f9518591b9e3cac86b3bbb79db73a05898cbdc8e43f367343248e2e3be,P01374,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-1.4332315524419148,-0.6288055578867594,-10.40412425994873,-8.878718376159668,-10.784577369689941,-10.022473335266113,81.0,55.0,139.0
,,P,False,False,3,TRADD,312,74154fd61322261763725138826e1471b488e5d6736086d2f5ee4eb302a5a429,Q15628,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.8718372186024985,-2.0964779059092202,-13.149941444396973,-16.769506454467773,-12.50715160369873,-14.142199834187826,243.0,165.0,283.0
context,P01375,U,False,False,4,TMPRSS11B,416,f9e95c6de604258303bf521790c38446eac2324bee837d725911f6cbf6a8d5ff,Q86T26,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.1047807137171426,-2.0899742046991983,-8.341800689697266,-6.628551006317139,-6.248958587646484,-7.073103427886963,163.0,164.0,53.0
context,P01375,U,False,False,5,MRAP,172,393ead1bb0d4fdb49be5304d387dda60315c2920296a5c162d1099e681794d8d,Q8TCY5,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.0257623195648193,-1.0758111874262493,-9.675737380981445,-6.06235933303833,-2.966542959213257,-6.234879891077678,153.0,81.0,27.0
context,P01375,U,False,False,6,ORAI2,254,37972edaf1f9ac21af40c12ad2623dffe2a359deda11585427ae6fd333060150,Q96SN7,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-0.77499920129776,0.10095888376235962,-8.860612869262695,-2.4461910724639893,-6.652094841003418,-5.986299594243367,35.0,18.0,20.0
context,P01375,U,False,False,7,HCAR3,387,0176c827199dd0c3578186e27853eb5a3befae2b2bff7944a3886e3061ab4462,P49019,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.2532992362976074,-2.0486502647399902,-11.399798393249512,-9.118548393249512,-6.724588394165039,-9.080978393554688,184.0,159.0,114.0
context,P01375,U,False,False,8,CD1A,327,6827b627d0986ff77ed914ec06a746b1429144021a6ff402af5cf9e817bb1612,P06126,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-0.8559563755989075,-2.2833025058110556,-7.415285110473633,-6.479331016540527,-6.825305461883545,-6.906640529632568,41.0,180.0,44.0
context,P01375,U,False,False,9,SYT7,403,94903cc6d1261a206a8e101ba208f00a958d0e11195c6077519851c507ae9dcb,O43581,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.580535570780436,-2.9025357166926065,-10.486672401428223,-10.048470497131348,-8.474943161010742,-9.670028686523438,214.0,235.0,129.0
context,P01375,U,False,False,10,GPR35,309,8e5803b7e221fed0b1390e5cdbc4950f73d35c1058a7d077052ba16d63646602,Q9HC97,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-0.7364100615183512,0.655413806438446,-11.528043746948242,-8.876774787902832,-4.970862865447998,-8.458560466766357,32.0,5.0,98.0
context,P01375,U,False,False,11,IFNGR2,337,39f1023222b5396289e6b79ccc0bc7c99505cd46757ec2cb2a00f94d07521e2c,P38484,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-1.8414900700251262,-3.064412832260132,-8.694499969482422,-6.734322547912598,-4.411032199859619,-6.613284905751546,133.0,249.0,33.0
context,P01375,U,False,False,12,CRTAM,393,a2878b89ecbe0e5b08012dc37be636724a36f9b13828eeccb3e0f38647077bc4,O95727,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-1.9122710227966309,-1.4498647451400757,-8.546422004699707,-6.431271553039551,-6.712918281555176,-7.230203946431478,144.0,101.0,56.0
context,P01375,U,False,False,13,CD47,323,caa66c8069880514fd225b7c8673a1f4877dbfc3e15d10e69400cb453a226918,Q08722,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-0.02976457526286443,0.9275709589322408,-9.674127578735352,-5.582223415374756,-4.77434778213501,-6.676899592081706,11.0,3.0,37.0
context,P01375,U,False,False,14,GPR25,361,fe488629acdd126c8bfd82f2a374fbd1b92b792fd9375ad220d046a7c2adc664,O00155,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-1.6497459411621094,-0.18474032481511435,-7.11742639541626,-4.256192684173584,-3.0599541664123535,-4.811191082000732,106.0,29.0,7.0
context,P01375,U,False,False,15,CCRL2,344,d840712ed2c46605656a0e143ae4ba234dc75d5c8d26c6be3dfee5a07d8d443d,O00421,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-2.1041370232899985,-0.9793795148531595,-9.977612495422363,-5.572521686553955,-7.457508563995361,-7.669214248657227,162.0,76.0,70.0
context,P01375,U,False,False,16,CCR4,360,382beaef4182aa309b904efca62ac33f8554b3ed85ecaa3bc3c3fa250f563ea2,P51679,False,TNFRSF1A,455,67798edab4531e17cdc23203459a594909edf57e9e01653fba722356c72ef5aa,P19438,additional_six,False,-3.440450588862101,-3.1384056409200034,-12.10427474975586,-8.60254192352295,-6.986631393432617,-9.231149355570475,278.0,254.0,119.0
