query_gene,query_uniprot,partner_gene,partner_uniprot,class
ERN1,O75460,ERN1,O75460,P
ERN1,O75460,HSPA5,P11021,P
ERN1,O75460,PDIA6,Q15084,P
ERN1,O75460,TRAF2,Q12933,P
ERN1,O75460,TAOK3,Q9H2K8,P
ERN1,O75460,BAX,Q07812,P
ERN1,O75460,RACK1,P63244,P
ERN1,O75460,HSP90AA1,P07900,P
ERN1,O75460,P4HB,P07237,P
ERN1,O75460,TMBIM6,P55061,P
ERN1,O75460,MANF,P55145,P
ERN1,O75460,ALB,P02768,U
ERN1,O75460,HBB,P68871,U
ERN1,O75460,ACTN3,Q08043,U
ERN1,O75460,OPN1LW,P04000,U
ERN1,O75460,KRT31,Q15323,U
ERN1,O75460,MYL2,P10916,U
ERN1,O75460,TNNI3,P19429,U
ERN1,O75460,CA1,P00915,U
ERN1,O75460,RHO,P08100,U
ERN1,O75460,SLC25A14,O95258,U
