query_gene,query_uniprot,partner_gene,partner_uniprot,class
ERN1,O75460,BAX,Q07812,P
ERN1,O75460,HSP90AA1,P07900,P
ERN1,O75460,HSPA5,P11021,P
ERN1,O75460,MANF,P55145,P
ERN1,O75460,P4HB,P07237,P
ERN1,O75460,PDIA6,Q15084,P
ERN1,O75460,RACK1,P63244,P
ERN1,O75460,TAOK3,Q9H2K8,P
ERN1,O75460,TMBIM6,P55061,P
ERN1,O75460,TRAF2,Q12933,P
ERN1,O75460,ERN1,O75460,P
ERN1,O75460,AARS1,P49588,U
ERN1,O75460,ACE2,Q9BYF1,U
ERN1,O75460,ACOX3,O15254,U
ERN1,O75460,ACTB,P60709,U
ERN1,O75460,AKT1,P31749,U
ERN1,O75460,AKT2,P31751,U
ERN1,O75460,ALOX12,P18054,U
ERN1,O75460,APELA,P0DMC3,U
ERN1,O75460,ARF4,P18085,U
ERN1,O75460,ARHGAP35,Q9NRY4,U
ERN1,O75460,ARPC1A,Q92747,U
ERN1,O75460,ARPC1B,O15143,U
ERN1,O75460,AZIN2,Q96A70,U
ERN1,O75460,B3GAT1,Q9P2W7,U
ERN1,O75460,BAG6,P46379,U
ERN1,O75460,BGN,P21810,U
ERN1,O75460,BLTP2,Q14667,U
ERN1,O75460,BMP2,P12643,U
ERN1,O75460,BMP2K,Q9NSY1,U
ERN1,O75460,BMP4,P12644,U
ERN1,O75460,BMP5,P22003,U
ERN1,O75460,BPNT1,O95861,U
ERN1,O75460,BRD4,O60885,U
ERN1,O75460,BTN1A1,Q13410,U
ERN1,O75460,C12orf4,Q9NQ89,U
ERN1,O75460,C12orf57,Q99622,U
ERN1,O75460,C15orf48,Q9C002,U
ERN1,O75460,CALB2,P22676,U
ERN1,O75460,CARMIL2,Q6F5E8,U
ERN1,O75460,CCDC115,Q96NT0,U
ERN1,O75460,CCNT1,O60563,U
ERN1,O75460,CD274,Q9NZQ7,U
ERN1,O75460,CD4,P01730,U
ERN1,O75460,CD68,P34810,U
ERN1,O75460,CDKN2C,P42773,U
ERN1,O75460,CDS1,Q92903,U
ERN1,O75460,CDS2,O95674,U
ERN1,O75460,CDSN,Q15517,U
ERN1,O75460,CELA1,Q9UNI1,U
ERN1,O75460,CELA2A,P08217,U
ERN1,O75460,CELA2B,P08218,U
ERN1,O75460,CELA3A,P09093,U
ERN1,O75460,CELA3B,P08861,U
ERN1,O75460,CEP170,Q5SW79,U
