query_gene,query_uniprot,partner_gene,partner_uniprot,class,query_primary_uniprot,query_sequence_length,query_sequence_sha256,partner_primary_uniprot,partner_sequence_length,partner_sequence_sha256,uniprot_release,uniprot_release_date,optimized_score,baseline_score
ERN1,O75460,BAX,Q07812,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q07812,192,e2c7433b9cb73feb2daabeaa7e841d359b30313e06d8c084f3787ca45ac692fa,2026_03,02-September-2026,-1.0036149223645527,-2.2195819218953452
ERN1,O75460,HSP90AA1,P07900,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P07900,732,b04020d6a298b87e7e20c83b346f59825468dc2001355b699e4b91d67d9bea6c,2026_03,02-September-2026,-2.4873850345611572,-1.7128747304280598
ERN1,O75460,HSPA5,P11021,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P11021,654,22346d98b5064074ee969402d2f39701db9f0863a11012fe68ccb67f8f538d10,2026_03,02-September-2026,-3.2363541920979819,-3.1607515017191568
ERN1,O75460,MANF,P55145,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P55145,182,20215e53bbe69c7895ac733f8a630d2b4ed34391cc8df235545c9edbb5a52af4,2026_03,02-September-2026,-1.5923833449681599,-1.4453707933425903
ERN1,O75460,P4HB,P07237,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P07237,508,f7378b5dc0b49c20b4c87182c12ba200840536589ae654e756720eaf78a88977,2026_03,02-September-2026,-1.7518867651621501,-1.3777486483256023
ERN1,O75460,PDIA6,Q15084,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q15084,440,60e38ebb2b4f2b6fae9d4278c1f4e556521cc11499b311a753af8ef062ca6dc9,2026_03,02-September-2026,-3.3788619041442871,-2.2562062740325928
ERN1,O75460,RACK1,P63244,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P63244,317,0fb9c278b1ae511c34c9c7808619afe5fe75fa69340fbf90bcc27b05d4715686,2026_03,02-September-2026,-2.1818591356277466,-2.1217212677001953
ERN1,O75460,TAOK3,Q9H2K8,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9H2K8,898,59e4adea359919975e185ece55fafd31fbb24739704cf348b1826261cd0189fd,2026_03,02-September-2026,-3.0715619723002114,-2.3054296175638833
ERN1,O75460,TMBIM6,P55061,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P55061,237,09a42c462cbc7bcf6075806df223dc50973cfb6241867ab956def2a4f117b366,2026_03,02-September-2026,-0.61969739198684692,-2.1300942897796631
ERN1,O75460,TRAF2,Q12933,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q12933,501,c7292916fa6aa68b7dd5e3d6182e1acd4d2586c7b8bfa1107d882b3ed3f2d54d,2026_03,02-September-2026,-2.2219674587249756,-1.7681444883346558
ERN1,O75460,ERN1,O75460,P,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,2026_03,02-September-2026,-0.97297430038452148,-1.0177426338195801
ERN1,O75460,AARS1,P49588,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P49588,968,59c41a6d039baca066f5751d5d7e0789a011cef987e5c1c07bd8fd307e074a2d,2026_03,02-September-2026,-2.8277861277262368,-2.7490204970041909
ERN1,O75460,ACE2,Q9BYF1,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9BYF1,805,87630d0ccd9e8de7f77cb47c03fd56d745d66fbdceb8a2149b3518b04d71e1ea,2026_03,02-September-2026,-3.3041550318400064,-3.0960730711619058
ERN1,O75460,ACOX3,O15254,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O15254,700,e0ca3b05940e809895145e94e3188fbe82c7eb70a48e0491c617e4bbdbe89e5c,2026_03,02-September-2026,-3.4509032567342124,-2.8841746648152671
ERN1,O75460,ACTB,P60709,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P60709,375,d498c40159d7c993d9e7e36afbe2f4921d5e81e6ab08d5388cbab47cc0234a92,2026_03,02-September-2026,-1.9571783343950908,-3.9447571436564126
ERN1,O75460,AKT1,P31749,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P31749,480,51db38ca000f0471707445dbc6e933598ffa1311b809a8da10aaf05174e5182d,2026_03,02-September-2026,-3.0149945418039956,-2.4180902640024819
ERN1,O75460,AKT2,P31751,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P31751,481,31df09ee54136584c9d22b78c72cb3401adeedaa4ef3491b7618f82c9f676527,2026_03,02-September-2026,-3.252000093460083,-2.62072483698527
ERN1,O75460,ALOX12,P18054,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P18054,663,b8c0da372cb95f619176f62b3fc72e6e5d9f61e414d27b8729e4cf94beee0cf4,2026_03,02-September-2026,-4.5381082693735761,-3.4117606480916343
ERN1,O75460,APELA,P0DMC3,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P0DMC3,54,920eeebbaf9c68fc65c20f0f293e359ceb709b59c70afda27509587918561b95,2026_03,02-September-2026,-5.3326985041300459,-4.3144834836324053
ERN1,O75460,ARF4,P18085,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,P18085,180,81a3cf97387028e365e690f2d6b36c3e351780d2ae2e0907240384e371e16642,2026_03,02-September-2026,-1.2971038420995076,-1.1738921403884888
ERN1,O75460,ARHGAP35,Q9NRY4,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q9NRY4,1499,60e25cfd78cbf00220089c27be72064388370f90f0d740937421aac2f2e34ebe,2026_03,02-September-2026,-4.0159789721171064,-2.318816820780436
ERN1,O75460,ARPC1A,Q92747,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q92747,370,84be723f772771cf30c7f7c631a3a7b2ac8bc5c04b78ecbd21a355074b35e089,2026_03,02-September-2026,-3.0736738046010337,-3.136427640914917
ERN1,O75460,ARPC1B,O15143,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,O15143,372,b3cc7bb11a8ab28f27b0bf8b55e3f0e899d2608ca3452e961e814dd0cb1e1186,2026_03,02-September-2026,-2.8431959946950278,-3.1709373792012534
ERN1,O75460,AZIN2,Q96A70,U,O75460,977,22c28aa52b53dd8141c2770fa4a08a2acda67e6a17447dc5281cf52e0528390f,Q96A70,460,2f394645aafda19996487ea7278df71a30e34f0ce3f6821956b5965ccd1c5bcc,2026_03,02-September-2026,-2.6548179785410562,-2.9655898412068686
