query_gene,query_uniprot,partner_gene,partner_uniprot,class,optimized_score,baseline_score
ERN1,O75460,ERN1,O75460,P,-0.97297430038452148,-1.0177426338195801
ERN1,O75460,HSPA5,P11021,P,-3.2363541920979819,-3.1607515017191568
ERN1,O75460,PDIA6,Q15084,P,-3.3788619041442871,-2.2562062740325928
ERN1,O75460,TRAF2,Q12933,P,-2.2219674587249756,-1.7681444883346558
ERN1,O75460,TAOK3,Q9H2K8,P,-3.0715619723002114,-2.3054296175638833
ERN1,O75460,BAX,Q07812,P,-1.0036149223645527,-2.2195819218953452
ERN1,O75460,RACK1,P63244,P,-2.1818591356277466,-2.1217212677001953
ERN1,O75460,HSP90AA1,P07900,P,-2.4873850345611572,-1.7128747304280598
ERN1,O75460,P4HB,P07237,P,-1.7518867651621501,-1.3777486483256023
ERN1,O75460,TMBIM6,P55061,P,-0.61969739198684692,-2.1300942897796631
ERN1,O75460,MANF,P55145,P,-1.5923833449681599,-1.4453707933425903
ERN1,O75460,ALB,P02768,U,-1.5735490520795186,-1.297777811686198
ERN1,O75460,HBB,P68871,U,-3.0129578113555908,-2.8219785690307617
ERN1,O75460,ACTN3,Q08043,U,-2.5946940581003823,-2.1918694972991943
ERN1,O75460,OPN1LW,P04000,U,-2.9949995676676431,-3.6105656623840332
ERN1,O75460,KRT31,Q15323,U,-2.2646981875101724,-2.6193478902180991
ERN1,O75460,MYL2,P10916,U,-2.1863972345987954,-3.0157130559285483
ERN1,O75460,TNNI3,P19429,U,-3.1430679957071939,-2.4071757793426514
ERN1,O75460,CA1,P00915,U,-3.3075244426727295,-2.3031426270802817
ERN1,O75460,RHO,P08100,U,-2.7759577433268228,-4.030215660730998
ERN1,O75460,SLC25A14,O95258,U,-4.2347348531087237,-3.4732728004455566
