target,group,endpoint,source,pairs,seen,seen_fraction,mean_positive_degree,median_positive_degree
ERN1,P,query,training,4,4,1.0,24.0,24.0
ERN1,P,query,validation,4,0,0.0,0.0,0.0
ERN1,P,partner,training,4,1,0.25,6.0,0.0
ERN1,P,partner,validation,4,0,0.0,0.0,0.0
ERN1,context,query,training,200,200,1.0,24.0,24.0
ERN1,context,query,validation,200,0,0.0,0.0,0.0
ERN1,context,partner,training,200,51,0.255,11.67,0.0
ERN1,context,partner,validation,200,45,0.225,5.35,0.0
ERN1,background,query,training,200,200,1.0,24.0,24.0
ERN1,background,query,validation,200,0,0.0,0.0,0.0
ERN1,background,partner,training,200,48,0.24,8.385,0.0
ERN1,background,partner,validation,200,35,0.175,2.78,0.0
ERN1,low_plausibility,query,training,200,200,1.0,24.0,24.0
ERN1,low_plausibility,query,validation,200,0,0.0,0.0,0.0
ERN1,low_plausibility,partner,training,200,56,0.28,13.99,0.0
ERN1,low_plausibility,partner,validation,200,40,0.2,4.31,0.0
TP53,P,query,training,3,0,0.0,0.0,0.0
TP53,P,query,validation,3,0,0.0,0.0,0.0
TP53,P,partner,training,3,2,0.6666666666666666,100.66666666666667,24.0
TP53,P,partner,validation,3,0,0.0,0.0,0.0
TP53,context,query,training,150,0,0.0,0.0,0.0
TP53,context,query,validation,150,0,0.0,0.0,0.0
TP53,context,partner,training,150,33,0.22,11.246666666666666,0.0
TP53,context,partner,validation,150,16,0.10666666666666667,2.46,0.0
TP53,background,query,training,150,0,0.0,0.0,0.0
TP53,background,query,validation,150,0,0.0,0.0,0.0
TP53,background,partner,training,150,29,0.19333333333333333,6.706666666666667,0.0
TP53,background,partner,validation,150,22,0.14666666666666667,2.1133333333333333,0.0
TP53,low_plausibility,query,training,150,0,0.0,0.0,0.0
TP53,low_plausibility,query,validation,150,0,0.0,0.0,0.0
TP53,low_plausibility,partner,training,150,13,0.08666666666666667,0.88,0.0
TP53,low_plausibility,partner,validation,150,50,0.3333333333333333,4.8133333333333335,0.0
EGFR,P,query,training,3,0,0.0,0.0,0.0
EGFR,P,query,validation,3,0,0.0,0.0,0.0
EGFR,P,partner,training,3,0,0.0,0.0,0.0
EGFR,P,partner,validation,3,0,0.0,0.0,0.0
EGFR,context,query,training,150,0,0.0,0.0,0.0
EGFR,context,query,validation,150,0,0.0,0.0,0.0
EGFR,context,partner,training,150,53,0.35333333333333333,14.3,0.0
EGFR,context,partner,validation,150,28,0.18666666666666668,3.0933333333333333,0.0
EGFR,background,query,training,150,0,0.0,0.0,0.0
EGFR,background,query,validation,150,0,0.0,0.0,0.0
EGFR,background,partner,training,150,34,0.22666666666666666,4.96,0.0
EGFR,background,partner,validation,150,24,0.16,2.5733333333333333,0.0
EGFR,low_plausibility,query,training,150,0,0.0,0.0,0.0
EGFR,low_plausibility,query,validation,150,0,0.0,0.0,0.0
EGFR,low_plausibility,partner,training,150,47,0.31333333333333335,15.093333333333334,0.0
EGFR,low_plausibility,partner,validation,150,38,0.25333333333333335,9.606666666666667,0.0
BCL2,P,query,training,3,0,0.0,0.0,0.0
BCL2,P,query,validation,3,3,1.0,33.0,33.0
BCL2,P,partner,training,3,0,0.0,0.0,0.0
BCL2,P,partner,validation,3,3,1.0,17.666666666666668,21.0
BCL2,context,query,training,150,0,0.0,0.0,0.0
BCL2,context,query,validation,150,150,1.0,33.0,33.0
BCL2,context,partner,training,150,41,0.2733333333333333,10.786666666666667,0.0
BCL2,context,partner,validation,150,32,0.21333333333333335,7.1466666666666665,0.0
BCL2,background,query,training,150,0,0.0,0.0,0.0
BCL2,background,query,validation,150,150,1.0,33.0,33.0
BCL2,background,partner,training,150,24,0.16,6.006666666666667,0.0
BCL2,background,partner,validation,150,36,0.24,3.8533333333333335,0.0
BCL2,low_plausibility,query,training,150,0,0.0,0.0,0.0
BCL2,low_plausibility,query,validation,150,150,1.0,33.0,33.0
BCL2,low_plausibility,partner,training,150,17,0.11333333333333333,2.1133333333333333,0.0
BCL2,low_plausibility,partner,validation,150,41,0.2733333333333333,4.36,0.0
KEAP1,P,query,training,3,0,0.0,0.0,0.0
KEAP1,P,query,validation,3,0,0.0,0.0,0.0
KEAP1,P,partner,training,3,2,0.6666666666666666,231.0,316.0
KEAP1,P,partner,validation,3,0,0.0,0.0,0.0
KEAP1,context,query,training,150,0,0.0,0.0,0.0
KEAP1,context,query,validation,150,0,0.0,0.0,0.0
KEAP1,context,partner,training,150,64,0.4266666666666667,23.913333333333334,0.0
KEAP1,context,partner,validation,150,27,0.18,2.9266666666666667,0.0
KEAP1,background,query,training,150,0,0.0,0.0,0.0
KEAP1,background,query,validation,150,0,0.0,0.0,0.0
KEAP1,background,partner,training,150,30,0.2,12.033333333333333,0.0
KEAP1,background,partner,validation,150,29,0.19333333333333333,2.06,0.0
KEAP1,low_plausibility,query,training,150,0,0.0,0.0,0.0
KEAP1,low_plausibility,query,validation,150,0,0.0,0.0,0.0
KEAP1,low_plausibility,partner,training,150,26,0.17333333333333334,6.28,0.0
KEAP1,low_plausibility,partner,validation,150,65,0.43333333333333335,8.66,0.0
BRCA1,P,query,training,3,0,0.0,0.0,0.0
BRCA1,P,query,validation,3,0,0.0,0.0,0.0
BRCA1,P,partner,training,3,3,1.0,48.333333333333336,23.0
BRCA1,P,partner,validation,3,0,0.0,0.0,0.0
BRCA1,context,query,training,150,0,0.0,0.0,0.0
BRCA1,context,query,validation,150,0,0.0,0.0,0.0
BRCA1,context,partner,training,150,48,0.32,19.64666666666667,0.0
