accession,basis,sequence_catalogue_entries,TRAIN_P_rows,TRAIN_U_rows
O15016,accession,0,0,0
O15151,accession,1,5,860
O43521,accession,1,5,858
O75460,accession,1,0,0
O75791,accession,1,5,878
P00533,accession,1,0,0
P01116,accession,1,0,0
P01374,accession,1,1,844
P01375,accession,1,22,875
P04049,accession,1,1,827
P04637,accession,0,0,0
P10398,accession,1,3,851
P10415,accession,1,0,0
P11021,accession,1,0,0
P12830,accession,0,0,0
P15056,accession,1,0,0
P19438,accession,1,0,0
P20248,accession,1,0,0
P21860,accession,1,0,0
P22681,accession,0,0,0
P24864,accession,1,0,0
P24941,accession,1,0,0
P26232,accession,1,0,0
P27540,accession,1,0,0
P29353,accession,1,0,0
P35221,accession,1,0,0
P35222,accession,1,0,0
P38398,accession,0,0,0
P40337,accession,1,0,0
P46527,accession,1,1,865
P61619,accession,1,0,0
P62993,accession,1,26,894
Q00537,accession,1,3,870
Q00987,accession,1,0,0
Q09472,accession,1,0,0
Q13191,accession,1,5,894
Q13501,accession,1,3,834
Q13618,accession,1,0,0
Q14145,accession,1,0,0
Q14457,accession,1,2,806
Q15084,accession,1,2,829
Q15628,accession,1,1,845
Q16236,accession,1,2,842
Q16665,accession,1,1,905
Q5TZF3,accession,1,0,0
Q6PKC3,accession,1,3,860
Q6S5L8,accession,1,0,0
Q6ZNE5,accession,1,2,810
Q86YC2,accession,1,0,0
Q92934,accession,1,2,854
Q92963,accession,1,1,821
Q99728,accession,1,4,828
Q9BX63,accession,1,0,0
Q9BXH1,accession,0,0,0
Q9BZY9,accession,1,2,823
Q9NQB0,accession,1,9,892
Q9P2D0,accession,1,0,0
Q9P2Y5,accession,1,1,848
