omitted_target,candidate_set,comparator,metric,original_mean,comparator_mean,difference,targets
ERN1,context,ipin_baseline,P_vs_U_concordance,0.7406060606060606,0.6620202020202021,0.0785858585858586,11
TP53,context,ipin_baseline,P_vs_U_concordance,0.7236111111111112,0.6636363636363636,0.05997474747474749,11
EGFR,context,ipin_baseline,P_vs_U_concordance,0.7042171717171718,0.6468686868686869,0.057348484848484864,11
BCL2,context,ipin_baseline,P_vs_U_concordance,0.7236111111111112,0.615959595959596,0.10765151515151515,11
KEAP1,context,ipin_baseline,P_vs_U_concordance,0.7339141414141414,0.6567676767676768,0.07714646464646467,11
BRCA1,context,ipin_baseline,P_vs_U_concordance,0.7100757575757576,0.6468686868686869,0.06320707070707073,11
KRAS,context,ipin_baseline,P_vs_U_concordance,0.708459595959596,0.6474747474747475,0.0609848484848485,11
CDK2,context,ipin_baseline,P_vs_U_concordance,0.7547222222222222,0.6478787878787879,0.10684343434343437,11
HIF1A,context,ipin_baseline,P_vs_U_concordance,0.741590909090909,0.6426262626262628,0.09896464646464648,11
CTNNB1,context,ipin_baseline,P_vs_U_concordance,0.7314898989898989,0.6250505050505052,0.10643939393939394,11
TNFRSF1A,context,ipin_baseline,P_vs_U_concordance,0.7508838383838383,0.6515151515151516,0.09936868686868686,11
BECN1,context,ipin_baseline,P_vs_U_concordance,0.7209848484848485,0.6355555555555557,0.08542929292929292,11
ERN1,context,ipin_baseline,average_precision,0.2511924155178681,0.114793710643587,0.13639870487428107,11
TP53,context,ipin_baseline,average_precision,0.26971232555951724,0.11587903287515428,0.15383329268436297,11
EGFR,context,ipin_baseline,average_precision,0.19243284175829434,0.11473188490150962,0.07770095685678467,11
BCL2,context,ipin_baseline,average_precision,0.26386426121602957,0.07202200606358203,0.19184225515244754,11
KEAP1,context,ipin_baseline,average_precision,0.2636756816057853,0.10650963278421846,0.1571660488215669,11
BRCA1,context,ipin_baseline,average_precision,0.25900768106040634,0.11278480087406595,0.1462228801863404,11
KRAS,context,ipin_baseline,average_precision,0.2566464059718585,0.11500269525290129,0.14164371071895723,11
CDK2,context,ipin_baseline,average_precision,0.2737204159408376,0.11316672277009646,0.16055369317074114,11
HIF1A,context,ipin_baseline,average_precision,0.24386250875564183,0.11378216064207275,0.13008034811356906,11
CTNNB1,context,ipin_baseline,average_precision,0.2716605246445138,0.10307909861261005,0.16858142603190374,11
TNFRSF1A,context,ipin_baseline,average_precision,0.2735376815709993,0.114493552604896,0.1590441289661033,11
BECN1,context,ipin_baseline,average_precision,0.2141151824061522,0.10149127416921376,0.11262390823693845,11
ERN1,context,ipin_optimized,P_vs_U_concordance,0.7406060606060606,0.7175757575757576,0.023030303030303033,11
TP53,context,ipin_optimized,P_vs_U_concordance,0.7236111111111112,0.7257575757575757,-0.002146464646464644,11
EGFR,context,ipin_optimized,P_vs_U_concordance,0.7042171717171718,0.7015151515151516,0.0027020202020202055,11
BCL2,context,ipin_optimized,P_vs_U_concordance,0.7236111111111112,0.6736363636363637,0.049974747474747484,11
KEAP1,context,ipin_optimized,P_vs_U_concordance,0.7339141414141414,0.7110101010101011,0.022904040404040406,11
BRCA1,context,ipin_optimized,P_vs_U_concordance,0.7100757575757576,0.687979797979798,0.022095959595959603,11
KRAS,context,ipin_optimized,P_vs_U_concordance,0.708459595959596,0.6801010101010102,0.02835858585858586,11
CDK2,context,ipin_optimized,P_vs_U_concordance,0.7547222222222222,0.6851515151515153,0.06957070707070707,11
HIF1A,context,ipin_optimized,P_vs_U_concordance,0.741590909090909,0.7051515151515152,0.03643939393939395,11
CTNNB1,context,ipin_optimized,P_vs_U_concordance,0.7314898989898989,0.7097979797979799,0.021691919191919203,11
TNFRSF1A,context,ipin_optimized,P_vs_U_concordance,0.7508838383838383,0.6960606060606062,0.054823232323232336,11
BECN1,context,ipin_optimized,P_vs_U_concordance,0.7209848484848485,0.6895959595959597,0.031388888888888904,11
ERN1,context,ipin_optimized,average_precision,0.2511924155178681,0.18849509861785646,0.06269731690001161,11
TP53,context,ipin_optimized,average_precision,0.26971232555951724,0.1918689404254773,0.07784338513403996,11
EGFR,context,ipin_optimized,average_precision,0.19243284175829434,0.1904093702774209,0.002023471480873441,11
BCL2,context,ipin_optimized,average_precision,0.26386426121602957,0.16396027501681187,0.0999039861992177,11
KEAP1,context,ipin_optimized,average_precision,0.2636756816057853,0.18458922393612714,0.07908645766965818,11
BRCA1,context,ipin_optimized,average_precision,0.25900768106040634,0.1859864811339271,0.07302119992647925,11
KRAS,context,ipin_optimized,average_precision,0.2566464059718585,0.1814461941156342,0.07520021185622433,11
CDK2,context,ipin_optimized,average_precision,0.2737204159408376,0.15450205646768425,0.11921835947315337,11
HIF1A,context,ipin_optimized,average_precision,0.24386250875564183,0.18787225987920994,0.05599024887643187,11
CTNNB1,context,ipin_optimized,average_precision,0.2716605246445138,0.19109231116524147,0.08056821347927232,11
TNFRSF1A,context,ipin_optimized,average_precision,0.2735376815709993,0.16078358053576958,0.11275410103522972,11
BECN1,context,ipin_optimized,average_precision,0.2141151824061522,0.15033501139154826,0.06378017101460397,11
ERN1,context,tuna_retrained,P_vs_U_concordance,0.7406060606060606,0.7355555555555555,0.005050505050505068,11
TP53,context,tuna_retrained,P_vs_U_concordance,0.7236111111111112,0.7190277777777777,0.004583333333333348,11
EGFR,context,tuna_retrained,P_vs_U_concordance,0.7042171717171718,0.7170075757575757,-0.012790404040404017,11
BCL2,context,tuna_retrained,P_vs_U_concordance,0.7236111111111112,0.7073106060606059,0.016300505050505076,11
KEAP1,context,tuna_retrained,P_vs_U_concordance,0.7339141414141414,0.7543813131313132,-0.020467171717171696,11
BRCA1,context,tuna_retrained,P_vs_U_concordance,0.7100757575757576,0.7020580808080807,0.008017676767676785,11
KRAS,context,tuna_retrained,P_vs_U_concordance,0.708459595959596,0.7097348484848485,-0.0012752525252525077,11
CDK2,context,tuna_retrained,P_vs_U_concordance,0.7547222222222222,0.7054924242424242,0.04922979797979801,11
HIF1A,context,tuna_retrained,P_vs_U_concordance,0.741590909090909,0.7297348484848485,0.011856060606060632,11
CTNNB1,context,tuna_retrained,P_vs_U_concordance,0.7314898989898989,0.7329671717171717,-0.0014772727272727058,11
TNFRSF1A,context,tuna_retrained,P_vs_U_concordance,0.7508838383838383,0.7422601010101011,0.0086237373737374,11
BECN1,context,tuna_retrained,P_vs_U_concordance,0.7209848484848485,0.7093308080808082,0.011654040404040429,11
ERN1,context,tuna_retrained,average_precision,0.2511924155178681,0.15622369071629638,0.09496872480157173,11
TP53,context,tuna_retrained,average_precision,0.26971232555951724,0.17621781875664827,0.09349450680286901,11
EGFR,context,tuna_retrained,average_precision,0.19243284175829434,0.1738353243994222,0.01859751735887212,11
BCL2,context,tuna_retrained,average_precision,0.26386426121602957,0.16707898973015542,0.09678527148587418,11
KEAP1,context,tuna_retrained,average_precision,0.2636756816057853,0.17899700887188794,0.08467867273389741,11
BRCA1,context,tuna_retrained,average_precision,0.25900768106040634,0.1408341116136195,0.11817356944678684,11
KRAS,context,tuna_retrained,average_precision,0.2566464059718585,0.17325937061409358,0.08338703535776495,11
CDK2,context,tuna_retrained,average_precision,0.2737204159408376,0.1665641005789026,0.10715631536193503,11
HIF1A,context,tuna_retrained,average_precision,0.24386250875564183,0.1729239127606326,0.07093859599500925,11
CTNNB1,context,tuna_retrained,average_precision,0.2716605246445138,0.17724405082690067,0.0944164738176131,11
TNFRSF1A,context,tuna_retrained,average_precision,0.2735376815709993,0.1718565663144063,0.10168111525659299,11
BECN1,context,tuna_retrained,average_precision,0.2141151824061522,0.13391619293099497,0.08019898947515726,11
ERN1,background,ipin_baseline,P_vs_U_concordance,0.8030303030303029,0.7416161616161616,0.06141414141414141,11
TP53,background,ipin_baseline,P_vs_U_concordance,0.7986363636363635,0.7326262626262626,0.066010101010101,11
EGFR,background,ipin_baseline,P_vs_U_concordance,0.7891414141414141,0.7273737373737373,0.061767676767676756,11
BCL2,background,ipin_baseline,P_vs_U_concordance,0.8133838383838383,0.6994949494949496,0.11388888888888887,11
KEAP1,background,ipin_baseline,P_vs_U_concordance,0.8125757575757575,0.7283838383838384,0.08419191919191917,11
BRCA1,background,ipin_baseline,P_vs_U_concordance,0.7917676767676767,0.7192929292929294,0.07247474747474746,11
KRAS,background,ipin_baseline,P_vs_U_concordance,0.7954040404040404,0.716868686868687,0.07853535353535351,11
CDK2,background,ipin_baseline,P_vs_U_concordance,0.8198484848484848,0.7186868686868687,0.10116161616161615,11
HIF1A,background,ipin_baseline,P_vs_U_concordance,0.8069191919191919,0.7146464646464646,0.09227272727272727,11
CTNNB1,background,ipin_baseline,P_vs_U_concordance,0.816010101010101,0.703939393939394,0.11207070707070707,11
