target,partner_gene,pair_kind,query_accession,partner_accession,original_training_labels,original_validation_labels,ipin_TRAIN_P,ipin_TRAIN_U,ipin_DEV_P,ipin_DEV_U
ERN1,ERN1,nominated,O75460,O75460,,,False,False,False,False
ERN1,ERN1,best_training_local_match,O75460,O75460,,,False,False,False,False
ERN1,HSPA5,nominated,O75460,P11021,,,False,False,False,False
ERN1,HSPA5,best_training_local_match,O75460,Q5TZF3,,,False,False,False,False
ERN1,PDIA6,nominated,O75460,Q15084,,,False,False,False,False
ERN1,PDIA6,best_training_local_match,O75460,Q6PKC3,,,False,False,False,False
ERN1,SEC61A1,nominated,O75460,P61619,,,False,False,False,False
ERN1,SEC61A1,best_training_local_match,O75460,,,,False,False,False,False
TP53,MDM2,nominated,P04637,Q00987,,,False,False,False,False
TP53,MDM2,best_training_local_match,,Q00987,,,False,False,False,False
TP53,MDM4,nominated,P04637,O15151,,,False,False,False,False
TP53,MDM4,best_training_local_match,,O15151,,,False,False,False,False
TP53,EP300,nominated,P04637,Q09472,,,False,False,False,False
TP53,EP300,best_training_local_match,,O15016,,,False,False,False,False
EGFR,GRB2,nominated,P00533,P62993,,,False,False,False,False
EGFR,GRB2,best_training_local_match,P21860,O75791,1,,False,False,False,False
EGFR,SHC1,nominated,P00533,P29353,,,False,False,False,False
EGFR,SHC1,best_training_local_match,P21860,Q6S5L8,1,,False,False,False,False
EGFR,CBL,nominated,P00533,P22681,,,False,False,False,False
EGFR,CBL,best_training_local_match,P21860,Q13191,1,,False,False,False,False
BCL2,BCL2L11,nominated,P10415,O43521,,1,False,False,False,False
BCL2,BCL2L11,best_training_local_match,,,,,False,False,False,False
BCL2,BAD,nominated,P10415,Q92934,,1,False,False,False,False
BCL2,BAD,best_training_local_match,,,,,False,False,False,False
BCL2,BBC3,nominated,P10415,Q9BXH1,,1,False,False,False,False
BCL2,BBC3,best_training_local_match,,,,,False,False,False,False
KEAP1,NFE2L2,nominated,Q14145,Q16236,,,False,False,False,False
KEAP1,NFE2L2,best_training_local_match,Q9P2D0,,,,False,False,False,False
KEAP1,CUL3,nominated,Q14145,Q13618,,,False,False,False,False
KEAP1,CUL3,best_training_local_match,Q9P2D0,Q13618,1,,False,False,False,False
KEAP1,SQSTM1,nominated,Q14145,Q13501,,,False,False,True,False
KEAP1,SQSTM1,best_training_local_match,Q9P2D0,Q13501,,,False,False,False,False
BRCA1,BARD1,nominated,P38398,Q99728,,,False,False,False,False
BRCA1,BARD1,best_training_local_match,Q9BZY9,Q99728,,,False,False,False,False
BRCA1,PALB2,nominated,P38398,Q86YC2,,,False,False,False,False
BRCA1,PALB2,best_training_local_match,Q9BZY9,Q86YC2,,,False,False,False,False
BRCA1,BRIP1,nominated,P38398,Q9BX63,,,False,False,False,False
BRCA1,BRIP1,best_training_local_match,Q9BZY9,Q9BX63,,,False,False,False,False
KRAS,RAF1,nominated,P01116,P04049,,,False,False,False,False
KRAS,RAF1,best_training_local_match,Q92963,P15056,,,False,False,False,False
KRAS,BRAF,nominated,P01116,P15056,,,False,False,False,False
KRAS,BRAF,best_training_local_match,Q92963,P15056,,,False,False,False,False
KRAS,ARAF,nominated,P01116,P10398,,,False,False,False,False
KRAS,ARAF,best_training_local_match,Q92963,P15056,,,False,False,False,False
CDK2,CCNA2,nominated,P24941,P20248,,,False,False,False,False
CDK2,CCNA2,best_training_local_match,Q00537,,,,False,False,False,False
CDK2,CCNE1,nominated,P24941,P24864,,,False,False,False,False
CDK2,CCNE1,best_training_local_match,Q00537,,,,False,False,False,False
CDK2,CDKN1B,nominated,P24941,P46527,,,False,False,False,False
CDK2,CDKN1B,best_training_local_match,Q00537,,,,False,False,False,False
HIF1A,ARNT,nominated,Q16665,P27540,,,False,False,False,False
HIF1A,ARNT,best_training_local_match,,,,,False,False,False,False
HIF1A,VHL,nominated,Q16665,P40337,,,False,False,False,False
HIF1A,VHL,best_training_local_match,,,,,False,False,False,False
HIF1A,EP300,nominated,Q16665,Q09472,,,False,False,False,False
HIF1A,EP300,best_training_local_match,,O15016,,,False,False,False,False
CTNNB1,CDH1,nominated,P35222,P12830,,,False,False,False,False
CTNNB1,CDH1,best_training_local_match,P35222,,,,False,False,False,False
CTNNB1,CTNNA1,nominated,P35222,P35221,,,False,False,False,False
CTNNB1,CTNNA1,best_training_local_match,P35222,P26232,1,,False,False,False,False
CTNNB1,TCF7L2,nominated,P35222,Q9NQB0,1,,False,False,False,False
CTNNB1,TCF7L2,best_training_local_match,P35222,Q9NQB0,1,,False,False,False,False
TNFRSF1A,TNF,nominated,P19438,P01375,,,False,False,False,False
TNFRSF1A,TNF,best_training_local_match,,P01375,,,False,False,False,False
TNFRSF1A,LTA,nominated,P19438,P01374,,,False,False,False,False
TNFRSF1A,LTA,best_training_local_match,,P01374,,,False,False,False,False
TNFRSF1A,TRADD,nominated,P19438,Q15628,,,False,False,False,False
TNFRSF1A,TRADD,best_training_local_match,,Q15628,,,False,False,False,False
BECN1,ATG14,nominated,Q14457,Q6ZNE5,1,,True,False,False,False
BECN1,ATG14,best_training_local_match,Q14457,Q6ZNE5,1,,True,False,False,False
BECN1,UVRAG,nominated,Q14457,Q9P2Y5,1,,True,False,False,False
BECN1,UVRAG,best_training_local_match,Q14457,Q9P2Y5,1,,True,False,False,False
BECN1,BCL2,nominated,Q14457,P10415,,,False,False,False,False
BECN1,BCL2,best_training_local_match,Q14457,,,,False,False,False,False
