query_gene,partner_gene,query_uniprot,partner_uniprot,class,U_stratum,original_tuna_prior_pair,prior_train_development_pair,query_training_accession_positive_degree,query_training_accession_sampled_negative_degree,query_training_exact_sequence_positive_degree,query_training_exact_sequence_sampled_negative_degree,query_validation_accession_positive_degree,query_validation_accession_sampled_negative_degree,query_validation_exact_sequence_positive_degree,query_validation_exact_sequence_sampled_negative_degree,partner_training_accession_positive_degree,partner_training_accession_sampled_negative_degree,partner_training_exact_sequence_positive_degree,partner_training_exact_sequence_sampled_negative_degree,partner_validation_accession_positive_degree,partner_validation_accession_sampled_negative_degree,partner_validation_exact_sequence_positive_degree,partner_validation_exact_sequence_sampled_negative_degree,partner_training_seen,partner_positive_degree,partner_positive_degree_fraction
ERN1,ERN1,O75460,O75460,P,,False,False,24,26,24,26,0,0,0,0,24,26,24,26,0,0,0,0,1,24,0.4807692307692308
ERN1,HSPA5,O75460,P11021,P,,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PDIA6,O75460,Q15084,P,,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SEC61A1,O75460,P61619,P,,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CFTR,O75460,P13569,U,context,False,False,24,26,24,26,0,0,0,0,333,315,333,315,0,0,0,0,1,333,0.5138461538461538
ERN1,TLR7,O75460,Q9NYK1,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0.5
ERN1,STT3B,O75460,Q8TCJ2,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,35,29,35,29,0,0,0.5
ERN1,NRROS,O75460,Q86YC3,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,B3GALNT2,O75460,Q8NCR0,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,ABCG1,O75460,P45844,U,context,False,False,24,26,24,26,0,0,0,0,7,7,7,7,0,0,0,0,1,7,0.5
ERN1,EXTL3,O75460,O43909,U,context,False,False,24,26,24,26,0,0,0,0,14,16,14,16,0,0,0,0,1,14,0.46875
ERN1,PIGS,O75460,Q96S52,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CDKAL1,O75460,Q5VV42,U,context,False,False,24,26,24,26,0,0,0,0,47,49,47,49,0,0,0,0,1,47,0.4897959183673469
ERN1,PDZD8,O75460,Q8NEN9,U,context,False,False,24,26,24,26,0,0,0,0,31,33,31,33,0,0,0,0,1,31,0.48484848484848486
ERN1,PIGN,O75460,O95427,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,SACM1L,O75460,Q9NTJ5,U,context,False,False,24,26,24,26,0,0,0,0,22,35,22,35,0,0,0,0,1,22,0.3898305084745763
ERN1,STIM2,O75460,Q9P246,U,context,False,False,24,26,24,26,0,0,0,0,26,28,26,28,0,0,0,0,1,26,0.48214285714285715
ERN1,POM121,O75460,Q96HA1,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CYP4F11,O75460,Q9HBI6,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,CLPTM1L,O75460,Q96KA5,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
ERN1,PKD2,O75460,Q13563,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,15,28,15,28,0,0,0.5
ERN1,TMEM151B,O75460,Q8IW70,U,context,False,False,24,26,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
