candidate_set,comparator,metric,original_mean,comparator_mean,difference,target_bootstrap_2_5_percentile,target_bootstrap_97_5_percentile,original_wins,ties,comparator_wins,targets,draws
context,ipin_baseline,P_vs_U_concordance,0.7286805555555556,0.6451851851851853,0.08349537037037036,-0.03428298611111109,0.2020138888888889,7,0,5,12,100000
context,ipin_baseline,average_precision,0.2527856605006587,0.1081447143494923,0.14464094615116638,-0.018827107914654986,0.3260882670725678,8,0,4,12,100000
context,ipin_optimized,P_vs_U_concordance,0.7286805555555556,0.6986111111111112,0.030069444444444454,-0.09518518518518519,0.15009374999999972,8,0,4,12,100000
context,ipin_optimized,average_precision,0.2527856605006587,0.17761173358022572,0.07517392692043297,-0.09440078137871194,0.2659014959983374,9,0,3,12,100000
context,tuna_retrained,P_vs_U_concordance,0.7286805555555556,0.7220717592592593,0.006608796296296321,-0.10295138888888884,0.1014814814814815,6,0,6,12,100000
context,tuna_retrained,average_precision,0.2527856605006587,0.16574592817616338,0.08703973232449531,-0.04072489954140199,0.2520122843207117,7,0,5,12,100000
background,ipin_baseline,P_vs_U_concordance,0.8065277777777778,0.7206481481481481,0.08587962962962963,-0.023333333333333345,0.19273148148148148,8,0,4,12,100000
background,ipin_baseline,average_precision,0.2564991002591574,0.10715044692087004,0.14934865333828737,0.00799617644819183,0.3172356566456268,8,0,4,12,100000
background,ipin_optimized,P_vs_U_concordance,0.8065277777777778,0.7475925925925927,0.05893518518518517,-0.05606481481481481,0.17588078703703672,7,0,5,12,100000
background,ipin_optimized,average_precision,0.2564991002591574,0.15826675710119403,0.09823234315796336,-0.06922879087141359,0.28585524989084654,9,0,3,12,100000
background,tuna_retrained,P_vs_U_concordance,0.8065277777777778,0.7710300925925927,0.03549768518518518,-0.045925925925925926,0.1151273148148148,7,2,3,12,100000
background,tuna_retrained,average_precision,0.2564991002591574,0.17493568215856856,0.08156341810058888,-0.06773666983980596,0.2612217107230392,7,0,5,12,100000
low_plausibility,ipin_baseline,P_vs_U_concordance,0.8774537037037038,0.8095023148148147,0.06795138888888891,-0.0698148148148148,0.20646990740740742,6,0,6,12,100000
low_plausibility,ipin_baseline,average_precision,0.4748231882259489,0.24805413963176584,0.22676904859418312,-0.009080140208206917,0.46830831261563416,8,0,4,12,100000
low_plausibility,ipin_optimized,P_vs_U_concordance,0.8774537037037038,0.8170254629629631,0.06042824074074074,-0.07537355324074073,0.19376157407407413,7,0,5,12,100000
low_plausibility,ipin_optimized,average_precision,0.4748231882259489,0.3972464231377814,0.07757676508816752,-0.2195840797665679,0.3672770939137111,8,0,4,12,100000
low_plausibility,tuna_retrained,P_vs_U_concordance,0.8774537037037038,0.8478125,0.029641203703703694,-0.06259259259259259,0.12723379629629628,7,0,5,12,100000
low_plausibility,tuna_retrained,average_precision,0.4748231882259489,0.36879412910536463,0.1060290591205843,-0.1375647070304779,0.3374274478592917,7,0,5,12,100000
context_background,ipin_baseline,P_vs_U_concordance,0.7676041666666666,0.6829166666666667,0.08468749999999999,-0.02620370370370371,0.19326446759259244,7,0,5,12,100000
context_background,ipin_baseline,average_precision,0.1902909819813899,0.05755871362070399,0.1327322683606859,0.010332140687431856,0.2899944382993083,8,0,4,12,100000
context_background,ipin_optimized,P_vs_U_concordance,0.7676041666666666,0.7231018518518518,0.044502314814814786,-0.07207175925925928,0.15974537037037037,8,0,4,12,100000
context_background,ipin_optimized,average_precision,0.1902909819813899,0.10970554835857287,0.08058543362281706,-0.06931369055541933,0.2573711730379987,9,0,3,12,100000
context_background,tuna_retrained,P_vs_U_concordance,0.7676041666666666,0.7465509259259259,0.02105324074074071,-0.07250057870370373,0.10535908564814804,8,0,4,12,100000
context_background,tuna_retrained,average_precision,0.1902909819813899,0.11319923223053567,0.07709174975085424,-0.039627436074204575,0.2382602848557439,6,0,6,12,100000
all_U,ipin_baseline,P_vs_U_concordance,0.8042206790123457,0.7251118827160493,0.0791087962962963,-0.0321266396604938,0.18707175925925923,8,0,4,12,100000
all_U,ipin_baseline,average_precision,0.18358856395766174,0.048140281035888764,0.13544828292177297,0.01620924734109602,0.2929622036424043,8,0,4,12,100000
all_U,ipin_optimized,P_vs_U_concordance,0.8042206790123457,0.7544097222222222,0.049810956790123456,-0.06346064814814813,0.16338734567901234,7,0,5,12,100000
all_U,ipin_optimized,average_precision,0.18358856395766174,0.1047344775064279,0.07885408645123382,-0.07153647747659023,0.2570623894774882,8,0,4,12,100000
all_U,tuna_retrained,P_vs_U_concordance,0.8042206790123457,0.7803047839506173,0.023915895061728396,-0.059788001543209866,0.10623456790123458,8,0,4,12,100000
all_U,tuna_retrained,average_precision,0.18358856395766174,0.10610512426829666,0.07748343968936507,-0.039329946312629774,0.2395441246779649,6,0,6,12,100000
