target,replacement_query,model,candidate_set,actual_query,rank_spearman_to_actual,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,ERN1,tuna_original,context,True,1.0,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,TP53,tuna_original,context,False,-0.5314302676495325,4,200,204,0.445,0.02153253886394585,48,48,48.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,EGFR,tuna_original,context,False,-0.1389275642973758,4,200,204,0.39125,0.019083598575144273,81,81,81.0,0.012345679012345678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BCL2,tuna_original,context,False,0.7558911874253487,4,200,204,0.71,0.04858076892960614,20,20,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,2.5500000000000003,0.08887792306803073,1.0
ERN1,KEAP1,tuna_original,context,False,-0.350500031804143,4,200,204,0.4425,0.02188283851093953,67,67,67.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BRCA1,tuna_original,context,False,-0.4285488122919479,4,200,204,0.2925,0.016841567913501262,126,126,126.0,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,KRAS,tuna_original,context,False,0.48275579365472004,4,200,204,0.6025,0.049014306740507906,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,CDK2,tuna_original,context,False,-0.3285919245747079,4,200,204,0.5625,0.05007561620555394,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,HIF1A,tuna_original,context,False,-0.4799428938943113,4,200,204,0.515,0.027717951386479797,28,28,28.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,CTNNB1,tuna_original,context,False,-0.36009781540875396,4,200,204,0.56,0.03092119960673969,38,38,38.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,TNFRSF1A,tuna_original,context,False,0.4669583224374695,4,200,204,0.3925,0.019150835139614943,69,69,69.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BECN1,tuna_original,context,False,-0.3952208974422402,4,200,204,0.30625,0.016953264718229107,87,87,87.0,0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,tuna_original,background,True,1.0,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,TP53,tuna_original,background,False,-0.4282477330713614,4,200,204,0.20125,0.014627138591891225,111,111,111.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,EGFR,tuna_original,background,False,0.580897724943636,4,200,204,0.51375,0.023822932120955535,71,71,71.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BCL2,tuna_original,background,False,0.8685753864203377,4,200,204,0.91125,0.21029693486590037,4,4,4.0,0.25,1.0,0.25,0.2,10.200000000000001,0.16812753627111746,1.0,3.0,0.75,0.3,15.299999999999999,0.3984887823764799,1.0,3.0,0.75,0.15,7.6499999999999995,0.3984887823764799,1.0
ERN1,KEAP1,tuna_original,background,False,-0.2190245315956492,4,200,204,0.2525,0.015664087505001405,117,117,117.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BRCA1,tuna_original,background,False,-0.667645291926695,4,200,204,0.16875,0.014507797165609362,157,157,157.0,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,KRAS,tuna_original,background,False,0.8017697238693627,4,200,204,0.77875,0.06082107843137255,12,12,12.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,2.5500000000000003,0.10549558423511038,1.0
ERN1,CDK2,tuna_original,background,False,-0.181385388469938,4,200,204,0.425,0.026691282573635514,22,22,22.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,HIF1A,tuna_original,background,False,-0.6181255344862925,4,200,204,0.2725,0.01597008022437646,90,90,90.0,0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,CTNNB1,tuna_original,background,False,-0.20721176611939982,4,200,204,0.36875,0.019563723205964587,74,74,74.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,TNFRSF1A,tuna_original,background,False,0.7434296174314975,4,200,204,0.675,0.0350971250971251,39,39,39.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,BECN1,tuna_original,background,False,-0.7088097476164562,4,200,204,0.13875,0.013694529972515046,143,143,143.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,ERN1,tuna_original,low_plausibility,True,1.0,4,200,204,0.985,0.5798611111111112,1,1,1.0,1.0,2.0,0.5,0.4,20.400000000000002,0.5585075862632192,1.0,4.0,1.0,0.4,20.400000000000002,0.7991748853900112,1.0,4.0,1.0,0.2,10.200000000000001,0.7991748853900112,1.0
ERN1,TP53,tuna_original,low_plausibility,False,0.056354114395968644,4,200,204,0.04,0.012646299225489214,180,180,180.0,0.005555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERN1,EGFR,tuna_original,low_plausibility,False,0.7430564488200663,4,200,204,0.8925,0.1826086956521739,3,3,3.0,0.3333333333333333,1.0,0.25,0.2,10.200000000000001,0.19519002499605084,1.0,2.0,0.5,0.2,10.200000000000001,0.3080351663449861,1.0,2.0,0.5,0.1,5.1000000000000005,0.3080351663449861,1.0
ERN1,BCL2,tuna_original,low_plausibility,False,0.8031705196796969,4,200,204,0.99125,0.6041666666666666,2,2,2.0,0.5,3.0,0.75,0.6,30.599999999999998,0.6096199500078984,1.0,4.0,1.0,0.4,20.400000000000002,0.7327711443782634,1.0,4.0,1.0,0.2,10.200000000000001,0.7327711443782634,1.0
