target,model,candidate_set,actual_P_vs_U,actual_AP,mean_replacement_P_vs_U,mean_replacement_AP,mean_replacement_rank_spearman,query_specific_P_vs_U_lift,query_specific_AP_lift,replacement_consensus_P_vs_U,replacement_consensus_AP,replacement_consensus_recovered_P_at_10
ERN1,tuna_original,context,0.5975,0.2703113553113553,0.4745454545454546,0.029250407871842042,-0.11887771853140676,0.12295454545454543,0.24106094743951326,0.4575,0.026829916645709558,0.0
ERN1,tuna_original,background,0.845,0.30049130763416476,0.42784090909090905,0.040977882704940655,-0.003252503692814369,0.4171590909090909,0.25951342492922413,0.343125,0.01855746785678039,0.0
ERN1,tuna_original,low_plausibility,0.985,0.5798611111111112,0.4534090909090909,0.21222237909515218,0.33732939004793755,0.5315909090909091,0.367638732015959,0.406875,0.019632776342697233,0.0
ERN1,tuna_original,context_background,0.72125,0.26477038960387345,0.4511931818181818,0.014842296369611612,-0.09854386596641461,0.27005681818181815,0.24992809323426182,0.408125,0.011335646680441076,0.0
ERN1,tuna_original,all_U,0.8091666666666667,0.26440459830290336,0.4519318181818182,0.012034701182212311,-0.028966130087146436,0.3572348484848485,0.252369897120691,0.4008333333333333,0.007190671288844745,0.0
TP53,tuna_original,context,0.7844444444444445,0.06659234485321441,0.5622222222222223,0.04343618487331388,0.07719316521737012,0.2222222222222222,0.02315615997990053,0.6511111111111111,0.07146464646464645,0.0
TP53,tuna_original,background,0.8933333333333333,0.12831286360698124,0.517979797979798,0.06307472160702482,0.07437833767695855,0.37535353535353533,0.06523814199995642,0.5777777777777777,0.0458709106984969,0.0
TP53,tuna_original,low_plausibility,0.9866666666666667,0.7777777777777777,0.46909090909090917,0.28971662796503056,0.2780955792495336,0.5175757575757576,0.4880611498127471,0.43555555555555553,0.02244133340023751,0.0
TP53,tuna_original,context_background,0.8388888888888889,0.04589752567693744,0.5401010101010101,0.02602371422141493,0.057144342876253446,0.2987878787878788,0.019873811455522507,0.6244444444444445,0.03248790425261013,0.0
TP53,tuna_original,all_U,0.8881481481481481,0.045284780578898225,0.5164309764309764,0.02244040707184504,0.08432722560749277,0.3717171717171718,0.022844373507053185,0.5755555555555556,0.014789463839171442,0.0
EGFR,tuna_original,context,0.9977777777777778,0.9166666666666666,0.4359595959595959,0.11617407997819482,0.2829216941234954,0.5618181818181819,0.8004925866884718,0.3466666666666667,0.01921384257832856,0.0
EGFR,tuna_original,background,0.9977777777777778,0.9166666666666666,0.5420202020202021,0.07553946974555369,0.078528540602844,0.4557575757575757,0.8411271969211129,0.6166666666666667,0.0354421768707483,0.0
EGFR,tuna_original,low_plausibility,1.0,1.0,0.5634343434343434,0.1720024204331774,0.47197387001777646,0.4365656565656566,0.8279975795668226,0.6022222222222222,0.03141568946166647,0.0
EGFR,tuna_original,context_background,0.9977777777777778,0.8666666666666666,0.48898989898989886,0.058733706603140694,0.15169520611872966,0.5087878787878789,0.8079329600635259,0.47888888888888886,0.012416667196605002,0.0
EGFR,tuna_original,all_U,0.9985185185185185,0.8666666666666666,0.5138047138047137,0.05583856608145433,0.2871650164690391,0.48471380471380476,0.8108281005852123,0.5192592592592593,0.008904372330801366,0.0
BCL2,tuna_original,context,0.7844444444444445,0.13092105263157894,0.7434343434343436,0.08564142242231848,0.11920905813391035,0.04101010101010094,0.04527963020926046,0.8622222222222222,0.10881834215167548,1.0
BCL2,tuna_original,background,0.7311111111111112,0.05818872485539152,0.5913131313131312,0.03691357864169032,-0.08878966984793045,0.13979797979797992,0.021275146213701197,0.7044444444444444,0.04335513150371641,0.0
BCL2,tuna_original,low_plausibility,0.5644444444444444,0.07476896625832795,0.6519191919191919,0.05550926656238354,0.015668424829696995,-0.08747474747474748,0.01925969969594441,0.8022222222222222,0.09279856195933041,1.0
BCL2,tuna_original,context_background,0.7577777777777778,0.0404957805907173,0.6673737373737375,0.024965953611663816,-0.010021501453038291,0.09040404040404026,0.01552982697905348,0.785,0.031089086352244243,0.0
BCL2,tuna_original,all_U,0.6933333333333334,0.025723886160779363,0.6622222222222222,0.015012544468747363,0.00745846078999893,0.0311111111111112,0.010711341692032,0.804074074074074,0.026289205393683006,0.0
KEAP1,tuna_original,context,0.6711111111111111,0.13299542834426556,0.5969696969696969,0.07419641155987745,0.26900625408928247,0.07414141414141417,0.058799016784388106,0.7266666666666667,0.07472527472527472,1.0
KEAP1,tuna_original,background,0.74,0.36043956043956044,0.6018181818181817,0.08048427713813915,0.223355240312741,0.1381818181818183,0.2799552833014213,0.7933333333333333,0.07794117647058824,1.0
KEAP1,tuna_original,low_plausibility,0.8133333333333334,0.3711229946524064,0.6145454545454544,0.2701548119682326,0.23341472300098812,0.19878787878787896,0.10096818268417379,0.74,0.05541069100391134,0.0
KEAP1,tuna_original,context_background,0.7055555555555556,0.12344416027280478,0.5993939393939393,0.04010067693290414,0.24144134089254166,0.10616161616161635,0.08334348333990063,0.77,0.04421254285138133,0.0
KEAP1,tuna_original,all_U,0.7414814814814815,0.12052430728388916,0.6044444444444443,0.03718523497622275,0.22658388565956813,0.13703703703703718,0.0833390723076664,0.7718518518518519,0.03327946853397971,0.0
BRCA1,tuna_original,context,0.9333333333333333,0.18434343434343434,0.3274747474747474,0.02007724365028053,-0.23798801817377668,0.6058585858585859,0.16426619069315382,0.2,0.015770976011939865,0.0
BRCA1,tuna_original,background,0.9688888888888889,0.3547008547008547,0.34444444444444444,0.024574005621883298,-0.12888108701505827,0.6244444444444445,0.33012684907897144,0.15555555555555556,0.01492753334858598,0.0
BRCA1,tuna_original,low_plausibility,1.0,1.0,0.36242424242424237,0.14705293464880814,0.056558203968842875,0.6375757575757577,0.8529470653511919,0.22444444444444445,0.01618609974919625,0.0
BRCA1,tuna_original,context_background,0.9511111111111111,0.13958333333333334,0.33595959595959596,0.010860721959321872,-0.17758812740807015,0.6151515151515152,0.12872261137401148,0.1811111111111111,0.007761659794713816,0.0
BRCA1,tuna_original,all_U,0.9674074074074074,0.13958333333333334,0.3447811447811448,0.008493624698060247,-0.11390419367684755,0.6226262626262626,0.13108970863527308,0.1688888888888889,0.005108210098068109,0.0
KRAS,tuna_original,context,0.9511111111111111,0.21031746031746032,0.6103030303030303,0.0725009222012322,0.18110844141083435,0.3408080808080808,0.13781653811622813,0.7888888888888889,0.057085618703076976,0.0
KRAS,tuna_original,background,0.9288888888888889,0.1582251082251082,0.6597979797979799,0.08434908044039297,0.07617518516758594,0.26909090909090894,0.07387602778471525,0.93,0.1512820512820513,1.0
KRAS,tuna_original,low_plausibility,0.8422222222222222,0.09120370370370369,0.6701010101010101,0.14013764662736536,0.2933415210364267,0.17212121212121212,-0.04893394292366167,0.8866666666666667,0.10602254428341383,1.0
KRAS,tuna_original,context_background,0.94,0.09925152856841661,0.635050505050505,0.040452515140846475,0.1069770786123157,0.30494949494949497,0.058799013427570136,0.8588888888888889,0.04368471035137701,0.0
KRAS,tuna_original,all_U,0.9074074074074074,0.04887218045112782,0.6467340067340067,0.03215735205808506,0.11825842472326942,0.2606734006734007,0.01671482839304276,0.8914814814814814,0.03817830328642719,0.0
CDK2,tuna_original,context,0.44222222222222224,0.02250335065869046,0.5135353535353535,0.02941913491033389,0.2172705097698061,-0.07131313131313127,-0.0069157842516434295,0.52,0.027011158708187644,0.0
CDK2,tuna_original,background,0.66,0.03647869827305311,0.5026262626262625,0.04277129274992429,0.15349354182734423,0.1573737373737375,-0.00629259447687118,0.49777777777777776,0.02517608813436879,0.0
CDK2,tuna_original,low_plausibility,0.8844444444444445,0.11243386243386243,0.5315151515151515,0.18168609350112483,0.33934404557821385,0.352929292929293,-0.0692522310672624,0.5333333333333333,0.026854219948849102,0.0
CDK2,tuna_original,context_background,0.5511111111111111,0.014121850717531248,0.508080808080808,0.016492977281377646,0.15376989947164807,0.043030303030303085,-0.002371126563846398,0.5133333333333333,0.013439462854667532,0.0
CDK2,tuna_original,all_U,0.6622222222222223,0.012586619579153241,0.515892255892256,0.013672249329241808,0.19331913058607683,0.1463299663299663,-0.001085629750088567,0.5270370370370371,0.009197019666827417,0.0
HIF1A,tuna_original,context,0.5866666666666667,0.35094032969584393,0.5626262626262627,0.09899897065660732,-0.051290416122952,0.024040404040403973,0.25194135903923665,0.6211111111111111,0.09352088661551577,1.0
HIF1A,tuna_original,background,0.8022222222222222,0.37170645446507516,0.549090909090909,0.07821824350580724,0.030677690824046002,0.2531313131313132,0.2934882109592679,0.5977777777777777,0.13402638050525373,1.0
HIF1A,tuna_original,low_plausibility,0.9533333333333334,0.5142857142857142,0.5721212121212121,0.17350993045318747,0.203267039743257,0.3812121212121212,0.34077578383252677,0.6155555555555555,0.10314009661835749,1.0
HIF1A,tuna_original,context_background,0.6944444444444444,0.3455555555555555,0.5558585858585858,0.04032092849041133,-0.020270199646161967,0.1385858585858586,0.30523462706514415,0.6122222222222222,0.08001668752607427,1.0
HIF1A,tuna_original,all_U,0.7807407407407407,0.34485633029322343,0.5612794612794613,0.032341262338764824,0.04568186031034298,0.21946127946127947,0.3125150679544586,0.6096296296296296,0.07448138957816376,1.0
CTNNB1,tuna_original,context,0.6977777777777778,0.04516215491825247,0.4882828282828282,0.03388757653421652,0.17728966314668534,0.20949494949494962,0.01127457838403595,0.4255555555555556,0.02588279642194918,0.0
CTNNB1,tuna_original,background,0.7022222222222222,0.04890147115756871,0.4951515151515152,0.0340198209107725,0.18987673364256533,0.20707070707070702,0.014881650246796212,0.4677777777777778,0.026815691559487886,0.0
CTNNB1,tuna_original,low_plausibility,0.7088888888888889,0.05394938101373599,0.5145454545454545,0.055516072453102465,0.3267798202360544,0.19434343434343437,-0.0015666914393664758,0.5255555555555556,0.03636879013076003,0.0
CTNNB1,tuna_original,context_background,0.7,0.023909257948883704,0.4917171717171716,0.017055136139575575,0.18512426355915482,0.20828282828282835,0.006854121809308129,0.4488888888888889,0.013490711003328161,0.0
CTNNB1,tuna_original,all_U,0.702962962962963,0.016743539551929733,0.4993265993265992,0.011396329534372796,0.22995257674385375,0.20363636363636384,0.005347210017556937,0.4792592592592593,0.01047628359462544,0.0
TNFRSF1A,tuna_original,context,0.48444444444444446,0.024513428726911875,0.6070707070707071,0.04118359369060361,-0.1007995194598065,-0.12262626262626264,-0.01667016496369174,0.74,0.13899413841121797,1.0
TNFRSF1A,tuna_original,background,0.64,0.0341687552213868,0.5979797979797981,0.04286868740831698,-0.09230145705134465,0.04202020202020196,-0.00869993218693018,0.7244444444444444,0.13709811760786272,1.0
