target,candidate_set,component,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,context,raw_logit,4,200,204,0.59625,0.2702236360131097,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,context,adjusted_logit,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,context,probability,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,background,raw_logit,4,200,204,0.84375,0.30015460729746446,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,background,adjusted_logit,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,background,probability,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,low_plausibility,raw_logit,4,200,204,0.985,0.5798611111111112,1,1,1.0,1.0,2.0,0.5,0.4,20.400000000000002,0.5585075862632192,1.0,4.0,1.0,0.4,20.400000000000002,0.7991748853900112,1.0,4.0,1.0,0.2,10.200000000000001,0.7991748853900112,1.0
ERN1,low_plausibility,adjusted_logit,4,200,204,0.985,0.5798611111111112,1,1,1.0,1.0,2.0,0.5,0.4,20.400000000000002,0.5585075862632192,1.0,4.0,1.0,0.4,20.400000000000002,0.7991748853900112,1.0,4.0,1.0,0.2,10.200000000000001,0.7991748853900112,1.0
ERN1,low_plausibility,probability,4,200,204,0.985,0.5798611111111112,1,1,1.0,1.0,2.0,0.5,0.4,20.400000000000002,0.5585075862632192,1.0,4.0,1.0,0.4,20.400000000000002,0.7991748853900112,1.0,4.0,1.0,0.2,10.200000000000001,0.7991748853900112,1.0
ERN1,context_background,raw_logit,4,400,404,0.72,0.2646930193024244,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,context_background,adjusted_logit,4,400,404,0.72125,0.26477038960387345,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,context_background,probability,4,400,404,0.72125,0.26477038960387345,1,1,1.0,1.0,1.0,0.25,0.2,20.2,0.3903800499921017,1.0,1.0,0.25,0.1,10.1,0.3903800499921017,1.0,1.0,0.25,0.05,5.05,0.3903800499921017,1.0
ERN1,all_U,raw_logit,4,600,604,0.8083333333333333,0.2643306133536902,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,all_U,adjusted_logit,4,600,604,0.8091666666666667,0.26440459830290336,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
ERN1,all_U,probability,4,600,604,0.8091666666666667,0.26440459830290336,1,1,1.0,1.0,1.0,0.25,0.2,30.200000000000003,0.3903800499921017,1.0,1.0,0.25,0.1,15.100000000000001,0.3903800499921017,1.0,1.0,0.25,0.05,7.550000000000001,0.3903800499921017,1.0
TP53,context,raw_logit,3,150,153,0.7844444444444445,0.06659234485321441,15,15,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11731968150568911,1.0
TP53,context,adjusted_logit,3,150,153,0.7844444444444445,0.06659234485321441,15,15,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11731968150568911,1.0
TP53,context,probability,3,150,153,0.7844444444444445,0.06659234485321441,15,15,15.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.05,2.5500000000000003,0.11731968150568911,1.0
TP53,background,raw_logit,3,150,153,0.8933333333333333,0.12831286360698124,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.27968208120030896,1.0
TP53,background,adjusted_logit,3,150,153,0.8933333333333333,0.12831286360698124,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.27968208120030896,1.0
TP53,background,probability,3,150,153,0.8933333333333333,0.12831286360698124,7,7,7.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.1,5.1000000000000005,0.15642624200758548,1.0,2.0,0.6666666666666666,0.1,5.1000000000000005,0.27968208120030896,1.0
TP53,low_plausibility,raw_logit,3,150,153,0.9866666666666667,0.7777777777777777,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.7653606369886217,1.0,3.0,1.0,0.3,15.299999999999999,0.9066276098484507,1.0,3.0,1.0,0.15,7.6499999999999995,0.9066276098484507,1.0
TP53,low_plausibility,adjusted_logit,3,150,153,0.9866666666666667,0.7777777777777777,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.7653606369886217,1.0,3.0,1.0,0.3,15.299999999999999,0.9066276098484507,1.0,3.0,1.0,0.15,7.6499999999999995,0.9066276098484507,1.0
TP53,low_plausibility,probability,3,150,153,0.9866666666666667,0.7777777777777777,1,1,1.0,1.0,2.0,0.6666666666666666,0.4,20.400000000000002,0.7653606369886217,1.0,3.0,1.0,0.3,15.299999999999999,0.9066276098484507,1.0,3.0,1.0,0.15,7.6499999999999995,0.9066276098484507,1.0
TP53,context_background,raw_logit,3,300,303,0.8388888888888889,0.04589752567693744,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,context_background,adjusted_logit,3,300,303,0.8388888888888889,0.04589752567693744,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,context_background,probability,3,300,303,0.8388888888888889,0.04589752567693744,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,all_U,raw_logit,3,450,453,0.8881481481481481,0.045284780578898225,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,all_U,adjusted_logit,3,450,453,0.8881481481481481,0.045284780578898225,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TP53,all_U,probability,3,450,453,0.8881481481481481,0.045284780578898225,21,21,21.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,context,raw_logit,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,context,adjusted_logit,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,context,probability,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,background,raw_logit,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,background,adjusted_logit,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,background,probability,3,150,153,0.9977777777777778,0.9166666666666666,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,0.9674679834891693,1.0,3.0,1.0,0.3,15.299999999999999,0.9674679834891693,1.0,3.0,1.0,0.15,7.6499999999999995,0.9674679834891693,1.0
EGFR,low_plausibility,raw_logit,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
EGFR,low_plausibility,adjusted_logit,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
EGFR,low_plausibility,probability,3,150,153,1.0,1.0,1,1,1.0,1.0,3.0,1.0,0.6,30.599999999999998,1.0,1.0,3.0,1.0,0.3,15.299999999999999,1.0,1.0,3.0,1.0,0.15,7.6499999999999995,1.0,1.0
EGFR,context_background,raw_logit,3,300,303,0.9977777777777778,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,60.599999999999994,0.9469024295259745,1.0,3.0,1.0,0.3,30.299999999999997,0.9469024295259745,1.0,3.0,1.0,0.15,15.149999999999999,0.9469024295259745,1.0
EGFR,context_background,adjusted_logit,3,300,303,0.9977777777777778,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,60.599999999999994,0.9469024295259745,1.0,3.0,1.0,0.3,30.299999999999997,0.9469024295259745,1.0,3.0,1.0,0.15,15.149999999999999,0.9469024295259745,1.0
EGFR,context_background,probability,3,300,303,0.9977777777777778,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,60.599999999999994,0.9469024295259745,1.0,3.0,1.0,0.3,30.299999999999997,0.9469024295259745,1.0,3.0,1.0,0.15,15.149999999999999,0.9469024295259745,1.0
EGFR,all_U,raw_logit,3,450,453,0.9985185185185185,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,90.6,0.9469024295259745,1.0,3.0,1.0,0.3,45.3,0.9469024295259745,1.0,3.0,1.0,0.15,22.65,0.9469024295259745,1.0
EGFR,all_U,adjusted_logit,3,450,453,0.9985185185185185,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,90.6,0.9469024295259745,1.0,3.0,1.0,0.3,45.3,0.9469024295259745,1.0,3.0,1.0,0.15,22.65,0.9469024295259745,1.0
EGFR,all_U,probability,3,450,453,0.9985185185185185,0.8666666666666666,1,1,1.0,1.0,3.0,1.0,0.6,90.6,0.9469024295259745,1.0,3.0,1.0,0.3,45.3,0.9469024295259745,1.0,3.0,1.0,0.15,22.65,0.9469024295259745,1.0
