query_gene,query_uniprot,source,scope,reported_matches,hits_30pct_identity_both_80pct_coverage,hits_40pct_identity_both_80pct_coverage,target,fident,alnlen,qstart,qend,qlen,tstart,tend,tlen,evalue,bits,qcov,tcov
ERN1,O75460,training,local,185,2,2,O75460,1.000,977,1,977,977,1,977,977,0.000E+00,1977,1.000,1.000
ERN1,O75460,training,both_coverage_80pct,2,2,2,O75460,1.000,977,1,977,977,1,977,977,0.000E+00,1977,1.000,1.000
ERN1,O75460,validation,local,0,0,0,,,,,,,,,,,,,
ERN1,O75460,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
HSPA5,P11021,training,local,1,0,0,Q5TZF3,0.400,75,560,634,654,166,240,266,8.273E-07,51,0.115,0.282
HSPA5,P11021,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
HSPA5,P11021,validation,local,5,1,1,P38646,0.558,549,28,576,654,53,596,679,1.081E-184,587,0.839,0.801
HSPA5,P11021,validation,both_coverage_80pct,1,1,1,P38646,0.558,549,28,576,654,53,596,679,1.081E-184,587,0.839,0.801
PDIA6,Q15084,training,local,1,0,0,Q6PKC3,0.292,97,21,113,440,686,782,985,2.840E-04,42,0.211,0.098
PDIA6,Q15084,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
PDIA6,Q15084,validation,local,0,0,0,,,,,,,,,,,,,
PDIA6,Q15084,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
SEC61A1,P61619,training,local,0,0,0,,,,,,,,,,,,,
SEC61A1,P61619,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
SEC61A1,P61619,validation,local,0,0,0,,,,,,,,,,,,,
SEC61A1,P61619,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TP53,P04637,training,local,0,0,0,,,,,,,,,,,,,
TP53,P04637,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
TP53,P04637,validation,local,1,0,0,Q9H3D4,0.500,262,94,350,393,162,423,680,2.381E-78,266,0.654,0.385
TP53,P04637,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
MDM2,Q00987,training,local,2,2,1,Q00987,1.000,491,1,491,491,1,491,491,9.716E-320,969,1.000,1.000
MDM2,Q00987,training,both_coverage_80pct,2,2,1,Q00987,1.000,491,1,491,491,1,491,491,9.716E-320,969,1.000,1.000
MDM2,Q00987,validation,local,0,0,0,,,,,,,,,,,,,
MDM2,Q00987,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
MDM4,O15151,training,local,4,2,1,O15151,1.000,490,1,490,490,1,490,490,0.000E+00,985,1.000,1.000
MDM4,O15151,training,both_coverage_80pct,2,2,1,O15151,1.000,490,1,490,490,1,490,490,0.000E+00,985,1.000,1.000
MDM4,O15151,validation,local,0,0,0,,,,,,,,,,,,,
MDM4,O15151,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
EP300,Q09472,training,local,3,0,0,O15016,0.411,87,1072,1155,2414,1063,1149,1216,7.374E-07,53,0.035,0.072
EP300,Q09472,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
EP300,Q09472,validation,local,0,0,0,,,,,,,,,,,,,
EP300,Q09472,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
EGFR,P00533,training,local,193,0,0,P21860,0.474,1004,11,1014,1210,9,1012,1342,1.111E-315,995,0.830,0.748
EGFR,P00533,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
EGFR,P00533,validation,local,0,0,0,,,,,,,,,,,,,
EGFR,P00533,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
GRB2,P62993,training,local,96,1,0,O75791,0.339,330,1,215,217,1,330,330,1.446E-58,200,0.991,1.000
GRB2,P62993,training,both_coverage_80pct,1,1,0,O75791,0.339,330,1,215,217,1,330,330,1.446E-58,200,0.991,1.000
GRB2,P62993,validation,local,1,0,0,P29350,0.339,114,41,140,217,86,199,595,1.438E-09,57,0.461,0.192
GRB2,P62993,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
SHC1,P29353,training,local,28,1,1,Q6S5L8,0.469,591,9,581,583,29,619,630,4.393E-146,472,0.983,0.938
SHC1,P29353,training,both_coverage_80pct,1,1,1,Q6S5L8,0.469,591,9,581,583,29,619,630,4.393E-146,472,0.983,0.938
SHC1,P29353,validation,local,1,0,0,P29350,0.530,48,486,531,583,108,155,595,3.731E-06,49,0.079,0.081
SHC1,P29353,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
CBL,P22681,training,local,8,1,1,Q13191,0.506,947,24,895,906,24,970,982,1.651E-259,817,0.962,0.964
CBL,P22681,training,both_coverage_80pct,1,1,1,Q13191,0.506,947,24,895,906,24,970,982,1.651E-259,817,0.962,0.964
CBL,P22681,validation,local,0,0,0,,,,,,,,,,,,,
CBL,P22681,validation,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BCL2,P10415,training,local,0,0,0,,,,,,,,,,,,,
BCL2,P10415,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BCL2,P10415,validation,local,6,1,1,P10415,1.000,239,1,239,239,1,239,239,8.986E-161,496,1.000,1.000
BCL2,P10415,validation,both_coverage_80pct,1,1,1,P10415,1.000,239,1,239,239,1,239,239,8.986E-161,496,1.000,1.000
BCL2L11,O43521,training,local,0,0,0,,,,,,,,,,,,,
BCL2L11,O43521,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BCL2L11,O43521,validation,local,1,1,1,O43521,1.000,198,1,198,198,1,198,198,2.714E-129,403,1.000,1.000
BCL2L11,O43521,validation,both_coverage_80pct,1,1,1,O43521,1.000,198,1,198,198,1,198,198,2.714E-129,403,1.000,1.000
BAD,Q92934,training,local,0,0,0,,,,,,,,,,,,,
BAD,Q92934,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
BAD,Q92934,validation,local,1,1,1,Q92934,1.000,168,1,168,168,1,168,168,4.962E-107,337,1.000,1.000
BAD,Q92934,validation,both_coverage_80pct,1,1,1,Q92934,1.000,168,1,168,168,1,168,168,4.962E-107,337,1.000,1.000
BBC3,Q9BXH1,training,local,0,0,0,,,,,,,,,,,,,
BBC3,Q9BXH1,training,both_coverage_80pct,0,0,0,,,,,,,,,,,,,
