target,partner_gene,source,query_hits,partner_hits,positive_relative_pairs,sampled_negative_relative_pairs,positive_pairs,sampled_negative_pairs
ERN1,ERN1,training,2,2,0,0,,
ERN1,ERN1,validation,0,0,0,0,,
ERN1,HSPA5,training,2,0,0,0,,
ERN1,HSPA5,validation,0,1,0,0,,
ERN1,PDIA6,training,2,0,0,0,,
ERN1,PDIA6,validation,0,0,0,0,,
ERN1,SEC61A1,training,2,0,0,0,,
ERN1,SEC61A1,validation,0,0,0,0,,
TP53,MDM2,training,0,2,0,0,,
TP53,MDM2,validation,0,0,0,0,,
TP53,MDM4,training,0,2,0,0,,
TP53,MDM4,validation,0,0,0,0,,
TP53,EP300,training,0,0,0,0,,
TP53,EP300,validation,0,0,0,0,,
EGFR,GRB2,training,0,1,0,0,,
EGFR,GRB2,validation,0,0,0,0,,
EGFR,SHC1,training,0,1,0,0,,
EGFR,SHC1,validation,0,0,0,0,,
EGFR,CBL,training,0,1,0,0,,
EGFR,CBL,validation,0,0,0,0,,
BCL2,BCL2L11,training,0,0,0,0,,
BCL2,BCL2L11,validation,1,1,1,0,O43521|P10415,
BCL2,BAD,training,0,0,0,0,,
BCL2,BAD,validation,1,1,1,0,P10415|Q92934,
BCL2,BBC3,training,0,0,0,0,,
BCL2,BBC3,validation,1,1,1,0,P10415|Q9BXH1,
KEAP1,NFE2L2,training,0,0,0,0,,
KEAP1,NFE2L2,validation,0,0,0,0,,
KEAP1,CUL3,training,0,2,0,0,,
KEAP1,CUL3,validation,0,0,0,0,,
KEAP1,SQSTM1,training,0,1,0,0,,
KEAP1,SQSTM1,validation,0,0,0,0,,
BRCA1,BARD1,training,0,1,0,0,,
BRCA1,BARD1,validation,0,0,0,0,,
BRCA1,PALB2,training,0,1,0,0,,
BRCA1,PALB2,validation,0,0,0,0,,
BRCA1,BRIP1,training,0,1,0,0,,
BRCA1,BRIP1,validation,0,0,0,0,,
KRAS,RAF1,training,5,1,0,0,,
KRAS,RAF1,validation,0,0,0,0,,
KRAS,BRAF,training,5,1,0,0,,
KRAS,BRAF,validation,0,0,0,0,,
KRAS,ARAF,training,5,0,0,0,,
KRAS,ARAF,validation,0,0,0,0,,
CDK2,CCNA2,training,3,0,0,0,,
CDK2,CCNA2,validation,0,0,0,0,,
CDK2,CCNE1,training,3,0,0,0,,
CDK2,CCNE1,validation,0,0,0,0,,
CDK2,CDKN1B,training,3,0,0,0,,
CDK2,CDKN1B,validation,0,1,0,0,,
HIF1A,ARNT,training,0,0,0,0,,
HIF1A,ARNT,validation,0,0,0,0,,
HIF1A,VHL,training,0,0,0,0,,
HIF1A,VHL,validation,0,1,0,0,,
HIF1A,EP300,training,0,0,0,0,,
HIF1A,EP300,validation,0,0,0,0,,
CTNNB1,CDH1,training,1,0,0,0,,
CTNNB1,CDH1,validation,0,5,0,0,,
CTNNB1,CTNNA1,training,1,1,1,0,P26232|P35222,
CTNNB1,CTNNA1,validation,0,0,0,0,,
CTNNB1,TCF7L2,training,1,1,1,0,P35222|Q9NQB0,
CTNNB1,TCF7L2,validation,0,0,0,0,,
TNFRSF1A,TNF,training,0,1,0,0,,
TNFRSF1A,TNF,validation,1,0,0,0,,
TNFRSF1A,LTA,training,0,1,0,0,,
TNFRSF1A,LTA,validation,1,0,0,0,,
TNFRSF1A,TRADD,training,0,1,0,0,,
TNFRSF1A,TRADD,validation,1,0,0,0,,
BECN1,ATG14,training,1,1,1,0,Q14457|Q6ZNE5,
BECN1,ATG14,validation,0,0,0,0,,
BECN1,UVRAG,training,1,1,1,0,Q14457|Q9P2Y5,
BECN1,UVRAG,validation,0,0,0,0,,
BECN1,BCL2,training,1,0,0,0,,
BECN1,BCL2,validation,0,1,0,0,,
