target,candidate_set,comparator,metric,original,comparator_value,difference,contribution_to_macro_difference
ERN1,context,ipin_baseline,P_vs_U_concordance,0.5975,0.46,0.1375,0.011458333333333334
TP53,context,ipin_baseline,P_vs_U_concordance,0.7844444444444445,0.44222222222222224,0.34222222222222226,0.028518518518518523
EGFR,context,ipin_baseline,P_vs_U_concordance,0.9977777777777778,0.6266666666666667,0.37111111111111106,0.030925925925925923
BCL2,context,ipin_baseline,P_vs_U_concordance,0.7844444444444445,0.9666666666666667,-0.18222222222222217,-0.015185185185185182
KEAP1,context,ipin_baseline,P_vs_U_concordance,0.6711111111111111,0.5177777777777778,0.15333333333333332,0.012777777777777777
BRCA1,context,ipin_baseline,P_vs_U_concordance,0.9333333333333333,0.6266666666666667,0.30666666666666664,0.025555555555555554
KRAS,context,ipin_baseline,P_vs_U_concordance,0.9511111111111111,0.62,0.33111111111111113,0.027592592592592596
CDK2,context,ipin_baseline,P_vs_U_concordance,0.44222222222222224,0.6155555555555555,-0.17333333333333328,-0.01444444444444444
HIF1A,context,ipin_baseline,P_vs_U_concordance,0.5866666666666667,0.6733333333333333,-0.08666666666666667,-0.007222222222222223
CTNNB1,context,ipin_baseline,P_vs_U_concordance,0.6977777777777778,0.8666666666666667,-0.16888888888888887,-0.014074074074074072
TNFRSF1A,context,ipin_baseline,P_vs_U_concordance,0.48444444444444446,0.5755555555555556,-0.09111111111111114,-0.007592592592592595
BECN1,context,ipin_baseline,P_vs_U_concordance,0.8133333333333334,0.7511111111111111,0.06222222222222229,0.005185185185185191
ERN1,context,ipin_baseline,average_precision,0.2703113553113553,0.03500575511445077,0.23530560019690455,0.019608800016408714
TP53,context,ipin_baseline,average_precision,0.06659234485321441,0.023067210567210568,0.043525134286003846,0.003627094523833654
EGFR,context,ipin_baseline,average_precision,0.9166666666666666,0.035685838277301686,0.880980828389365,0.07341506903244709
BCL2,context,ipin_baseline,average_precision,0.13092105263157894,0.5054945054945055,-0.37457345286292654,-0.03121445440524388
KEAP1,context,ipin_baseline,average_precision,0.13299542834426556,0.12613061156750477,0.00686481677676079,0.0005720680647300658
BRCA1,context,ipin_baseline,average_precision,0.18434343434343434,0.057103762579182066,0.12723967176425227,0.010603305980354355
KRAS,context,ipin_baseline,average_precision,0.21031746031746032,0.032706924411993535,0.17761053590546677,0.01480087799212223
CDK2,context,ipin_baseline,average_precision,0.02250335065869046,0.05290262172284644,-0.030399271064155978,-0.002533272588679665
HIF1A,context,ipin_baseline,average_precision,0.35094032969584393,0.04613280513110733,0.3048075245647366,0.02540062704706138
CTNNB1,context,ipin_baseline,average_precision,0.04516215491825247,0.16386648745519714,-0.11870433253694467,-0.009892027711412055
TNFRSF1A,context,ipin_baseline,average_precision,0.024513428726911875,0.03830749354005168,-0.013794064813139807,-0.001149505401094984
BECN1,context,ipin_baseline,average_precision,0.6781609195402298,0.18133255633255632,0.49682836320767354,0.04140236360063946
ERN1,context,ipin_optimized,P_vs_U_concordance,0.5975,0.49,0.10750000000000004,0.008958333333333337
TP53,context,ipin_optimized,P_vs_U_concordance,0.7844444444444445,0.4,0.3844444444444445,0.03203703703703704
EGFR,context,ipin_optimized,P_vs_U_concordance,0.9977777777777778,0.6666666666666666,0.33111111111111113,0.027592592592592596
BCL2,context,ipin_optimized,P_vs_U_concordance,0.7844444444444445,0.9733333333333334,-0.18888888888888888,-0.01574074074074074
KEAP1,context,ipin_optimized,P_vs_U_concordance,0.6711111111111111,0.5622222222222222,0.10888888888888892,0.009074074074074076
BRCA1,context,ipin_optimized,P_vs_U_concordance,0.9333333333333333,0.8155555555555556,0.11777777777777776,0.009814814814814813
KRAS,context,ipin_optimized,P_vs_U_concordance,0.9511111111111111,0.9022222222222223,0.04888888888888887,0.004074074074074073
CDK2,context,ipin_optimized,P_vs_U_concordance,0.44222222222222224,0.8466666666666667,-0.40444444444444444,-0.0337037037037037
HIF1A,context,ipin_optimized,P_vs_U_concordance,0.5866666666666667,0.6266666666666667,-0.040000000000000036,-0.003333333333333336
CTNNB1,context,ipin_optimized,P_vs_U_concordance,0.6977777777777778,0.5755555555555556,0.12222222222222223,0.010185185185185186
TNFRSF1A,context,ipin_optimized,P_vs_U_concordance,0.48444444444444446,0.7266666666666667,-0.24222222222222223,-0.020185185185185184
BECN1,context,ipin_optimized,P_vs_U_concordance,0.8133333333333334,0.7977777777777778,0.015555555555555545,0.0012962962962962954
ERN1,context,ipin_optimized,average_precision,0.2703113553113553,0.05789471816628731,0.212416637145068,0.017701386428755666
TP53,context,ipin_optimized,average_precision,0.06659234485321441,0.020782458282458283,0.04580988657075613,0.0038174905475630108
EGFR,context,ipin_optimized,average_precision,0.9166666666666666,0.03683772991107878,0.8798289367555878,0.07331907806296566
BCL2,context,ipin_optimized,average_precision,0.13092105263157894,0.3277777777777778,-0.19685672514619884,-0.01640472709551657
KEAP1,context,ipin_optimized,average_precision,0.13299542834426556,0.1008593396653098,0.03213608867895576,0.00267800738991298
BRCA1,context,ipin_optimized,average_precision,0.18434343434343434,0.08548951048951048,0.09885392385392386,0.008237826987826989
KRAS,context,ipin_optimized,average_precision,0.21031746031746032,0.1354326676907322,0.07488479262672812,0.006240399385560677
CDK2,context,ipin_optimized,average_precision,0.02250335065869046,0.43181818181818177,-0.4093148311594913,-0.034109569263290944
HIF1A,context,ipin_optimized,average_precision,0.35094032969584393,0.06474594429139884,0.2861943854044451,0.02384953211703709
CTNNB1,context,ipin_optimized,average_precision,0.04516215491825247,0.029325380145052277,0.015836774773200193,0.001319731231100016
TNFRSF1A,context,ipin_optimized,average_precision,0.024513428726911875,0.36272141706924316,-0.3382079883423313,-0.02818399902852761
BECN1,context,ipin_optimized,average_precision,0.6781609195402298,0.4776556776556777,0.20050524188455215,0.016708770157046013
ERN1,context,tuna_retrained,P_vs_U_concordance,0.5975,0.57375,0.02375000000000005,0.0019791666666666707
TP53,context,tuna_retrained,P_vs_U_concordance,0.7844444444444445,0.7555555555555555,0.028888888888888964,0.0024074074074074137
EGFR,context,tuna_retrained,P_vs_U_concordance,0.9977777777777778,0.7777777777777778,0.21999999999999997,0.01833333333333333
BCL2,context,tuna_retrained,P_vs_U_concordance,0.7844444444444445,0.8844444444444445,-0.09999999999999998,-0.008333333333333331
KEAP1,context,tuna_retrained,P_vs_U_concordance,0.6711111111111111,0.36666666666666664,0.30444444444444446,0.025370370370370373
BRCA1,context,tuna_retrained,P_vs_U_concordance,0.9333333333333333,0.9422222222222222,-0.008888888888888835,-0.0007407407407407363
KRAS,context,tuna_retrained,P_vs_U_concordance,0.9511111111111111,0.8577777777777778,0.09333333333333338,0.007777777777777782
CDK2,context,tuna_retrained,P_vs_U_concordance,0.44222222222222224,0.9044444444444445,-0.46222222222222226,-0.03851851851851852
HIF1A,context,tuna_retrained,P_vs_U_concordance,0.5866666666666667,0.6377777777777778,-0.05111111111111111,-0.004259259259259259
CTNNB1,context,tuna_retrained,P_vs_U_concordance,0.6977777777777778,0.6022222222222222,0.09555555555555562,0.007962962962962969
TNFRSF1A,context,tuna_retrained,P_vs_U_concordance,0.48444444444444446,0.5,-0.015555555555555545,-0.0012962962962962954
BECN1,context,tuna_retrained,P_vs_U_concordance,0.8133333333333334,0.8622222222222222,-0.04888888888888887,-0.004074074074074073
ERN1,context,tuna_retrained,average_precision,0.2703113553113553,0.2704905402347004,-0.00017918492334512148,-1.493207694542679e-05
TP53,context,tuna_retrained,average_precision,0.06659234485321441,0.050555131790829724,0.01603721306238469,0.0013364344218653908
EGFR,context,tuna_retrained,average_precision,0.9166666666666666,0.07676256972031618,0.8399040969463505,0.06999200807886254
BCL2,context,tuna_retrained,average_precision,0.13092105263157894,0.15108225108225107,-0.02016119845067213,-0.0016800998708893441
KEAP1,context,tuna_retrained,average_precision,0.13299542834426556,0.019984040523193282,0.11301138782107228,0.009417615651756023
BRCA1,context,tuna_retrained,average_precision,0.18434343434343434,0.43977591036414565,-0.2554324760207113,-0.02128603966839261
KRAS,context,tuna_retrained,average_precision,0.21031746031746032,0.08309806135893091,0.1272193989585294,0.010601616579877451
CDK2,context,tuna_retrained,average_precision,0.02250335065869046,0.15674603174603174,-0.13424268108734128,-0.011186890090611773
HIF1A,context,tuna_retrained,average_precision,0.35094032969584393,0.08678809774700186,0.2641522319488421,0.02201268599573684
CTNNB1,context,tuna_retrained,average_precision,0.04516215491825247,0.039266579018052784,0.005895575900199686,0.0004912979916833071
TNFRSF1A,context,tuna_retrained,average_precision,0.024513428726911875,0.09852890865549092,-0.07401547992857904,-0.00616795666071492
BECN1,context,tuna_retrained,average_precision,0.6781609195402298,0.5158730158730158,0.16228790366721402,0.013523991972267835
ERN1,background,ipin_baseline,P_vs_U_concordance,0.845,0.49,0.355,0.029583333333333333
TP53,background,ipin_baseline,P_vs_U_concordance,0.8933333333333333,0.5888888888888889,0.3044444444444444,0.025370370370370366
EGFR,background,ipin_baseline,P_vs_U_concordance,0.9977777777777778,0.6466666666666666,0.35111111111111115,0.029259259259259263
BCL2,background,ipin_baseline,P_vs_U_concordance,0.7311111111111112,0.9533333333333334,-0.2222222222222222,-0.018518518518518517
KEAP1,background,ipin_baseline,P_vs_U_concordance,0.74,0.6355555555555555,0.10444444444444445,0.008703703703703705
BRCA1,background,ipin_baseline,P_vs_U_concordance,0.9688888888888889,0.7355555555555555,0.2333333333333334,0.019444444444444448
KRAS,background,ipin_baseline,P_vs_U_concordance,0.9288888888888889,0.7622222222222222,0.16666666666666663,0.013888888888888886
