query_gene,partner_gene,query_uniprot,partner_uniprot,class,panel_row,training_accession_labels,training_exact_sequence_labels,validation_accession_labels,validation_exact_sequence_labels
ERN1,ERN1,O75460,O75460,P,1,,,,
ERN1,HSPA5,O75460,P11021,P,2,,,,
ERN1,PDIA6,O75460,Q15084,P,3,,,,
ERN1,SEC61A1,O75460,P61619,P,4,,,,
ERN1,CFTR,O75460,P13569,U,5,,,,
ERN1,TLR7,O75460,Q9NYK1,U,6,,,,
ERN1,STT3B,O75460,Q8TCJ2,U,7,,,,
ERN1,NRROS,O75460,Q86YC3,U,8,,,,
ERN1,B3GALNT2,O75460,Q8NCR0,U,9,,,,
ERN1,ABCG1,O75460,P45844,U,10,,,,
ERN1,EXTL3,O75460,O43909,U,11,,,,
ERN1,PIGS,O75460,Q96S52,U,12,,,,
ERN1,CDKAL1,O75460,Q5VV42,U,13,,,,
ERN1,PDZD8,O75460,Q8NEN9,U,14,,,,
ERN1,PIGN,O75460,O95427,U,15,,,,
ERN1,SACM1L,O75460,Q9NTJ5,U,16,,,,
ERN1,STIM2,O75460,Q9P246,U,17,,,,
ERN1,POM121,O75460,Q96HA1,U,18,,,,
ERN1,CYP4F11,O75460,Q9HBI6,U,19,,,,
ERN1,CLPTM1L,O75460,Q96KA5,U,20,,,,
ERN1,PKD2,O75460,Q13563,U,21,,,,
ERN1,TMEM151B,O75460,Q8IW70,U,22,,,,
ERN1,ESYT1,O75460,Q9BSJ8,U,23,,,,
ERN1,RNF103,O75460,O00237,U,24,,,,
ERN1,AMFR,O75460,Q9UKV5,U,25,,,,
ERN1,RNF145,O75460,Q96MT1,U,26,,,,
ERN1,SLC37A2,O75460,Q8TED4,U,27,,,,
ERN1,SEZ6L,O75460,Q9BYH1,U,28,,,,
ERN1,CANX,O75460,P27824,U,29,,,,
ERN1,CLSTN2,O75460,Q9H4D0,U,30,,,,
ERN1,CYP7A1,O75460,P22680,U,31,,,,
ERN1,ATP2A2,O75460,P16615,U,32,,,,
ERN1,PNPLA8,O75460,Q9NP80,U,33,,,,
ERN1,CREB3L1,O75460,Q96BA8,U,34,,,,
ERN1,ATP8B1,O75460,O43520,U,35,,,,
ERN1,HHATL,O75460,Q9HCP6,U,36,,,,
ERN1,TRPM8,O75460,Q7Z2W7,U,37,,,,
ERN1,JPH1,O75460,Q9HDC5,U,38,,,,
ERN1,ROBO1,O75460,Q9Y6N7,U,39,,,,
ERN1,WLS,O75460,Q5T9L3,U,40,,,,
ERN1,SLC27A4,O75460,Q6P1M0,U,41,,,,
ERN1,RFT1,O75460,Q96AA3,U,42,,,,
ERN1,DHCR24,O75460,Q15392,U,43,,,,
ERN1,CLGN,O75460,O14967,U,44,,,,
ERN1,LBR,O75460,Q14739,U,45,,,,
ERN1,GRAMD1A,O75460,Q96CP6,U,46,,,,
ERN1,ERMP1,O75460,Q7Z2K6,U,47,,,,
ERN1,SLC30A1,O75460,Q9Y6M5,U,48,,,,
ERN1,ANO5,O75460,Q75V66,U,49,,,,
ERN1,DSE,O75460,Q9UL01,U,50,,,,
ERN1,CSPG5,O75460,O95196,U,51,,,,
ERN1,RHBDF2,O75460,Q6PJF5,U,52,,,,
ERN1,TMEM67,O75460,Q5HYA8,U,53,,,,
ERN1,ANKLE2,O75460,Q86XL3,U,54,,,,
ERN1,SEMA4B,O75460,Q9NPR2,U,55,,,,
ERN1,ARCN1,O75460,P48444,U,56,,,,
ERN1,INTS3,O75460,Q68E01,U,57,,,,
ERN1,DCAF8L2,O75460,P0C7V8,U,58,,,,
ERN1,DCLRE1C,O75460,Q96SD1,U,59,,,,
ERN1,SYN1,O75460,P17600,U,60,,,,
ERN1,TGM1,O75460,P22735,U,61,,,,
ERN1,NLRP10,O75460,Q86W26,U,62,,,,
ERN1,LGALS3BP,O75460,Q08380,U,63,,,,
ERN1,NCOA2,O75460,Q15596,U,64,,,,
ERN1,CTNND1,O75460,O60716,U,65,,,,
ERN1,FLYWCH1,O75460,Q4VC44,U,66,,,,
ERN1,ANO8,O75460,Q9HCE9,U,67,,,,
ERN1,PRKD1,O75460,Q15139,U,68,,,,
ERN1,ZNF546,O75460,Q86UE3,U,69,,,,
ERN1,NPHP4,O75460,O75161,U,70,,,,
ERN1,DENND1A,O75460,Q8TEH3,U,71,,,,
ERN1,ENTPD2,O75460,Q9Y5L3,U,72,,,,
ERN1,EXO1,O75460,Q9UQ84,U,73,,,,
ERN1,ITGA6,O75460,P23229,U,74,,,,
ERN1,DLL4,O75460,Q9NR61,U,75,,,,
ERN1,ANKRD13C,O75460,Q8N6S4,U,76,,,,
ERN1,EPHA6,O75460,Q9UF33,U,77,,,,
ERN1,CYP1B1,O75460,Q16678,U,78,,,,
ERN1,SESN3,O75460,P58005,U,79,,,,
ERN1,AP1G2,O75460,O75843,U,80,,,,
ERN1,MARK4,O75460,Q96L34,U,81,,,,
ERN1,ZSWIM6,O75460,Q9HCJ5,U,82,,,,
ERN1,MAP3K11,O75460,Q16584,U,83,,,,
ERN1,SLC22A10,O75460,Q63ZE4,U,84,,,,
ERN1,STK31,O75460,Q9BXU1,U,85,,,,
ERN1,FAM91A1,O75460,Q658Y4,U,86,,,,
ERN1,DLAT,O75460,P10515,U,87,,,,
ERN1,SLC6A4,O75460,P31645,U,88,,,,
ERN1,CCDC14,O75460,Q49A88,U,89,,,,
ERN1,EIF4G3,O75460,O43432,U,90,,,,
ERN1,NUP160,O75460,Q12769,U,91,,,,
ERN1,ADAM11,O75460,O75078,U,92,,,,
ERN1,PLAG1,O75460,Q6DJT9,U,93,,,,
ERN1,REXO1,O75460,Q8N1G1,U,94,,,,
ERN1,ACVRL1,O75460,P37023,U,95,,,,
