target,model,positive_subset,U_stratum,P,U,P_vs_U_concordance
ERN1,ipin_baseline,all_P,all_U,4,400,0.475
ERN1,ipin_baseline,all_P,context,4,200,0.46
ERN1,ipin_baseline,all_P,background,4,200,0.49
ERN1,ipin_baseline,exclude_development_P,all_U,4,400,0.475
ERN1,ipin_baseline,exclude_development_P,context,4,200,0.46
ERN1,ipin_baseline,exclude_development_P,background,4,200,0.49
ERN1,ipin_baseline,exclude_development_P_and_homomers,all_U,3,400,0.31416666666666665
ERN1,ipin_baseline,exclude_development_P_and_homomers,context,3,200,0.3
ERN1,ipin_baseline,exclude_development_P_and_homomers,background,3,200,0.3283333333333333
ERN1,ipin_optimized,all_P,all_U,4,400,0.505
ERN1,ipin_optimized,all_P,context,4,200,0.49
ERN1,ipin_optimized,all_P,background,4,200,0.52
ERN1,ipin_optimized,exclude_development_P,all_U,4,400,0.505
ERN1,ipin_optimized,exclude_development_P,context,4,200,0.49
ERN1,ipin_optimized,exclude_development_P,background,4,200,0.52
ERN1,ipin_optimized,exclude_development_P_and_homomers,all_U,3,400,0.35083333333333333
ERN1,ipin_optimized,exclude_development_P_and_homomers,context,3,200,0.3283333333333333
ERN1,ipin_optimized,exclude_development_P_and_homomers,background,3,200,0.37333333333333335
ERN1,tuna_original,all_P,all_U,4,400,0.72125
ERN1,tuna_original,all_P,context,4,200,0.5975
ERN1,tuna_original,all_P,background,4,200,0.845
ERN1,tuna_original,exclude_development_P,all_U,4,400,0.72125
ERN1,tuna_original,exclude_development_P,context,4,200,0.5975
ERN1,tuna_original,exclude_development_P,background,4,200,0.845
ERN1,tuna_original,exclude_development_P_and_homomers,all_U,3,400,0.6283333333333333
ERN1,tuna_original,exclude_development_P_and_homomers,context,3,200,0.4633333333333333
ERN1,tuna_original,exclude_development_P_and_homomers,background,3,200,0.7933333333333333
ERN1,tuna_retrained,all_P,all_U,4,400,0.6575
ERN1,tuna_retrained,all_P,context,4,200,0.57375
ERN1,tuna_retrained,all_P,background,4,200,0.74125
ERN1,tuna_retrained,exclude_development_P,all_U,4,400,0.6575
ERN1,tuna_retrained,exclude_development_P,context,4,200,0.57375
ERN1,tuna_retrained,exclude_development_P,background,4,200,0.74125
ERN1,tuna_retrained,exclude_development_P_and_homomers,all_U,3,400,0.5433333333333333
ERN1,tuna_retrained,exclude_development_P_and_homomers,context,3,200,0.43166666666666664
ERN1,tuna_retrained,exclude_development_P_and_homomers,background,3,200,0.655
TP53,ipin_baseline,all_P,all_U,3,300,0.5155555555555555
TP53,ipin_baseline,all_P,context,3,150,0.44222222222222224
TP53,ipin_baseline,all_P,background,3,150,0.5888888888888889
TP53,ipin_baseline,exclude_development_P,all_U,3,300,0.5155555555555555
TP53,ipin_baseline,exclude_development_P,context,3,150,0.44222222222222224
TP53,ipin_baseline,exclude_development_P,background,3,150,0.5888888888888889
TP53,ipin_baseline,exclude_development_P_and_homomers,all_U,3,300,0.5155555555555555
TP53,ipin_baseline,exclude_development_P_and_homomers,context,3,150,0.44222222222222224
TP53,ipin_baseline,exclude_development_P_and_homomers,background,3,150,0.5888888888888889
TP53,ipin_optimized,all_P,all_U,3,300,0.4777777777777778
