U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
,,P,False,False,1,BCL2L11,198,394475cc5b09e2e0e97717eb7efd8e3a9a9abe5840a270058955914e57651e87,O43521,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-0.9792822400728861,0.7513763507207235,-3.5083348751068115,-4.595956325531006,-3.6624865531921387,-3.922259251276652,12.0,7.0,18.0
,,P,False,False,2,BAD,168,714a24434b02fc2e522a17668112b15546853e551c25e5ae45e91625d8aab59f,Q92934,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-1.266326904296875,0.3422282934188843,-5.297192573547363,-4.641768932342529,-3.585045337677002,-4.508002281188965,27.0,15.0,25.0
,,P,False,False,3,BBC3,193,7303d018c5b74b919ac27b3bdea3e46a1dc1220db7a0f53c160ae2ef5e1be807,Q9BXH1,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-0.21183940892418227,0.5386053224404653,-4.871813774108887,-6.716676235198975,-7.890207767486572,-6.492899258931478,3.0,9.0,90.0
context,O43521,U,False,False,4,NIPSNAP1,284,5e3531e92ee2c982350ba95a338be666498eb2aa8c0c899ecb4ffd403e9dd66b,Q9BPW8,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.6098485787709556,-1.5056082407633464,-6.293422222137451,-8.833767890930176,-11.176069259643555,-8.76775312423706,167.0,121.0,217.0
context,O43521,U,False,False,5,AKR1B15,316,2c7db613a1dcceebbdb6dc18f9a74481f063128359b8566ef054d2b33270efc1,C9JRZ8,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-4.329780737559001,-3.330482085545858,-8.479865074157715,-10.733002662658691,-6.791844367980957,-8.668237368265787,293.0,279.0,207.0
context,O43521,U,False,False,6,MRPS11,194,79e0b9ceb444979061abb5912e7a9400678af18bdc415dfb94ad7e5d0b337ba0,P82912,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.5504345099131265,-3.356760581334432,-6.9120869636535645,-11.59604263305664,-8.348679542541504,-8.952269713083902,267.0,282.0,226.0
context,O43521,U,False,False,7,MRRF,262,6a64a32f8cbedb4f19929f6429cae441de99779189cd7d5894c64b0405a01220,Q96E11,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.2089523474375405,-2.68459145228068,-5.813264846801758,-5.1840410232543945,-5.396321773529053,-5.464542547861735,238.0,250.0,54.0
context,O43521,U,False,False,8,KLK6,244,95a6d9dafd4a6b80f49ae48dd3aba141b33684f70afe0af7128957d767e0840d,Q92876,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.589477062225342,-2.6603453954060874,-5.833414077758789,-10.556319236755371,-7.933910846710205,-8.107881387074789,166.0,246.0,171.0
context,O43521,U,False,False,9,RPS3,243,b19ed740e19349873e90269592156769a66f859091c1eb70c68ca36a287fa594,P23396,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.1305602391560874,-1.826558768749237,-6.024247646331787,-6.079692840576172,-4.69165563583374,-5.598532040913899,227.0,160.0,61.0
context,O43521,U,False,False,10,MRPS12,138,b41639f3703a7d412a67d4c0490af69ffa164ab108e6d24303202cc34245ffb8,O15235,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.360970973968506,-1.6740049918492634,-6.027822971343994,-5.623915195465088,-8.881102561950684,-6.844280242919922,128.0,140.0,106.0
context,O43521,U,False,False,11,ECHDC2,292,46a5fc516a9b7a3a3c2e21e1817937d06509c7cfd9cd368f1789737dbd3fdc01,Q86YB7,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-3.099090019861857,-2.072486480077108,-8.543522834777832,-10.815784454345703,-7.782767295837402,-9.047358194986979,224.0,183.0,230.0
context,O43521,U,False,False,12,CCN6,354,ba6bce6e4945902e0a2c2366723d4a00ede3cc058c7c1e0fa8f18278a6fb0c76,O95389,False,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,original_six,False,-2.5719871520996094,-2.243108034133911,-5.194189548492432,-9.220085144042969,-11.423969268798828,-8.61274798711141,163.0,200.0,204.0
