U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank
,,P,False,False,1,ARNT,789,d8f724407ae4b6489e28ecc760b0149c3372e7ea9fa08d35ad42e8dab701ebfd,P27540,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.4184089104334514,-1.1929535865783691,-8.166192054748535,-5.0167341232299805,-5.887869834899902,-6.356932004292806,100.0,72.0,8.0
,,P,False,False,2,VHL,213,9635f5e11bc2e95cb5b4aca19e52963af7b7cacd94b962e99be1d66499686daf,P40337,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.6756925384203593,-0.24454685052235922,-10.386187553405762,-9.360505104064941,-6.483608722686768,-8.743433793385824,22.0,12.0,153.0
,,P,False,False,3,EP300,2414,b1145f7221920a6ebbaba4b030af3d5df9b1df69d37f2a656aa2640c37336aa4,Q09472,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.667292594909668,-2.375386953353882,-8.691619873046875,-8.306743621826172,-7.869748115539551,-8.2893705368042,127.0,235.0,117.0
context,P27540,U,False,False,4,ZNF502,544,7d8e6edae5613f4f349ea6ff128365b8169c91d2bb3a303e9b752bd93fdff6c2,Q8TBZ5,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-3.662530024846395,-3.2185823917388916,-8.325912475585938,-4.408287048339844,-6.5653557777404785,-6.43318510055542,291.0,289.0,9.0
context,P27540,U,False,False,5,THEMIS2,643,7718d46ddcebcf0ffca4fbe839617b19163c141bb4ed0960321cc7fd5c1bedb9,Q5TEJ8,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.7175815900166829,-1.4625094532966614,-9.443818092346191,-4.126037120819092,-7.742046356201172,-7.103967189788818,137.0,100.0,36.0
context,P27540,U,False,False,6,MITF,526,8000e301e1663c2a2550fdfbbf5fc7e430286d10caee820983053964100a5ec2,O75030,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.474407434463501,-1.5294936100641887,-9.194733619689941,-7.573058128356934,-6.168519020080566,-7.645436922709147,106.0,113.0,62.0
context,P27540,U,False,False,7,NARF,456,88faf7359c47b5d7bb22d15ad893ebe9a963a147d43992fcc997bc1534bd4249,Q9UHQ1,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.128459175427755,-1.4747494061787922,-8.498567581176758,-6.831198215484619,-9.134462356567383,-8.15474271774292,202.0,104.0,99.0
context,P27540,U,False,False,8,ZNF615,731,7a037e777e0bd19b60a926724589ca8a6aa40067c37b83201f2f572663d47817,Q8N8J6,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.6848286787668862,-2.57416824499766,-10.957080841064453,-4.209235668182373,-9.009417533874512,-8.05857801437378,251.0,255.0,91.0
context,P27540,U,False,False,9,LMX1B,402,f1009265fdbba64ad091a463f80e21d40b3282af52e7877a4d4d9bf5d9637521,O60663,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.5970819195111593,0.003950774669647217,-8.058499336242676,-6.668404579162598,-6.368091106414795,-7.031665007273356,15.0,6.0,33.0
context,P27540,U,False,False,10,TAF6L,622,8e470b48a9f9cc96c42a4e91ddcfd867c219511cc17bdc44668631b99b828fcd,Q9Y6J9,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.172025124231974,-1.8015350500742595,-7.897360801696777,-9.453544616699219,-4.695013523101807,-7.3486396471659345,207.0,163.0,46.0
context,P27540,U,False,False,11,SLFN11,901,bb033ffe57b7807f4f35bce26f723a308909f7e17e5897e829a0ef00452dd0e6,Q7Z7L1,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.209010203679403,-1.477481226126353,-9.219083786010742,-10.072213172912598,-8.319808959960938,-9.203701972961426,213.0,106.0,198.0
context,P27540,U,False,False,12,REXO4,422,f0083044ebd807cb63131377258f4ef45b361e221226f2df5974c044ddba3866,Q9GZR2,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.112948258717855,-2.119133989016215,-7.876166820526123,-9.15413761138916,-9.357341766357422,-8.795882066090902,199.0,210.0,159.0
context,P27540,U,False,False,13,XRCC5,732,8219eac32138f0e18aee2445fd4e8a1a44620f41760959374a68045f182b53bf,P13010,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.9368295073509216,-1.1685304641723633,-7.2968034744262695,-9.212667465209961,-8.558197975158691,-8.355889638264975,46.0,68.0,121.0
context,P27540,U,False,False,14,ZNF680,530,e0a53216e53295b6bf1812acaeac87f77f4a915b62b8f259a81db0fb62e0713e,Q8NEM1,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-3.0231435298919678,-2.6601693630218506,-6.6965436935424805,-5.886468887329102,-7.275784969329834,-6.619599183400472,269.0,260.0,16.0
context,P27540,U,False,False,15,CUL3,768,27e97812a5f05c1d45cf14a0144b958e402da37460e555dc0a01191f94a40572,Q13618,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.3845079342524211,-0.874956746896108,-7.525886535644531,-9.049628257751465,-6.8224406242370605,-7.7993184725443525,91.0,39.0,74.0
context,P27540,U,False,False,16,ZNF703,590,cf4630adfefabbcc004365f6f5dfbff98dbc03d40a72e411fc9078e74663dccb,Q9H7S9,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.0580747922261557,-1.928124984105428,-7.786573886871338,-9.93649673461914,-8.5729341506958,-8.765334924062094,190.0,175.0,157.0
context,P27540,U,False,False,17,FSD1,496,81aca3bc7c8432917969850ab1cb9e9557fa4836a332e8570cc0dc273dc0f95e,Q9BTV5,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.8172173500061035,-0.19496625661849976,-8.83962631225586,-9.518088340759277,-8.273578643798828,-8.877097765604654,31.0,9.0,168.0
