target,model,K,P,panel_size,recovered_P,recall,target_success
ERN1,ipin_baseline,1,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,2,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,3,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,4,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,5,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,6,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,7,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,8,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,9,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,10,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,11,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,12,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,13,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,14,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,15,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,16,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,17,4,404,0.0,0.0,0.0
ERN1,ipin_baseline,18,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,19,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,20,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,21,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,22,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,23,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,24,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,25,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,26,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,27,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,28,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,29,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,30,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,31,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,32,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,33,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,34,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,35,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,36,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,37,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,38,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,39,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,40,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,41,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,42,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,43,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,44,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,45,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,46,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,47,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,48,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,49,4,404,1.0,0.25,1.0
ERN1,ipin_baseline,50,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,1,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,2,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,3,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,4,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,5,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,6,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,7,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,8,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,9,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,10,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,11,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,12,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,13,4,404,0.0,0.0,0.0
ERN1,ipin_optimized,14,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,15,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,16,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,17,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,18,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,19,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,20,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,21,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,22,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,23,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,24,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,25,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,26,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,27,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,28,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,29,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,30,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,31,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,32,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,33,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,34,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,35,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,36,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,37,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,38,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,39,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,40,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,41,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,42,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,43,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,44,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,45,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,46,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,47,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,48,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,49,4,404,1.0,0.25,1.0
ERN1,ipin_optimized,50,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,1,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,2,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,3,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,4,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,5,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,6,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,7,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,8,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,9,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,10,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,11,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,12,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,13,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,14,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,15,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,16,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,17,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,18,4,404,1.0,0.25,1.0
ERN1,tuna_retrained,19,4,404,1.0,0.25,1.0
