row_index,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score
0,-3.997744560241699,-3.329434394836426,-3.683217763900757,-3.6701322396596274
1,-12.144438743591309,-11.096648216247559,-10.450021743774414,-11.230369567871094
2,-8.436973571777344,-7.716250419616699,-10.07099723815918,-8.74140707651774
3,-9.185290336608887,-7.340869903564453,-9.323583602905273,-8.616581281026205
4,-8.473287582397461,-6.369482517242432,-10.794147491455078,-8.545639197031656
5,-10.443016052246094,-8.248047828674316,-8.15939998626709,-8.950154622395834
6,-9.016725540161133,-7.380712032318115,-8.548108100891113,-8.315181891123453
7,-8.237491607666016,-8.21057415008545,-9.598264694213867,-8.682110150655111
8,-7.859025478363037,-8.437607765197754,-10.288212776184082,-8.861615339914957
9,-12.036287307739258,-8.549335479736328,-9.919879913330078,-10.168500900268555
10,-8.233404159545898,-6.088027477264404,-10.219608306884766,-8.180346647898356
11,-11.562939643859863,-9.30601692199707,-11.467741012573242,-10.778899192810059
12,-12.155266761779785,-9.612780570983887,-8.108489990234375,-9.958845774332682
13,-8.7688570022583,-11.515450477600098,-8.336811065673828,-9.540372848510742
14,-9.185602188110352,-7.893035411834717,-11.07208251953125,-9.383573373158773
15,-3.681627035140991,-4.644753456115723,-8.714314460754395,-5.680231650670369
16,-11.87496566772461,-9.01740550994873,-10.001779556274414,-10.298050244649252
17,-7.248323917388916,-11.244751930236816,-10.83230209350586,-9.775125980377197
18,-8.586393356323242,-7.060352802276611,-10.373574256896973,-8.673440138498941
19,-6.438389301300049,-5.184866905212402,-9.061275482177734,-6.8948438962300616
20,-7.473989009857178,-7.302804946899414,-8.841365814208984,-7.872719923655192
21,-7.807001113891602,-7.288336753845215,-11.176094055175781,-8.7571439743042
22,-8.218753814697266,-9.536531448364258,-7.978859901428223,-8.578048388163248
23,-6.049386024475098,-7.842667579650879,-8.010518074035645,-7.300857226053874
24,-6.099808692932129,-6.814147472381592,-10.42138957977295,-7.778448581695557
25,-7.379550933837891,-6.510841369628906,-10.00062084197998,-7.963671048482259
26,-8.604429244995117,-5.734988689422607,-8.202046394348145,-7.513821442921956
27,-6.910819053649902,-7.908614635467529,-13.474157333374023,-9.431197007497152
28,-5.145759105682373,-6.146609306335449,-9.726428985595703,-7.006265799204509
29,-9.327967643737793,-7.415477752685547,-9.035039901733398,-8.592828432718912
30,-8.757064819335938,-5.231118202209473,-11.281250953674316,-8.423144658406576
31,-5.827941417694092,-4.8752570152282715,-7.269690990447998,-5.990963141123454
32,-11.044946670532227,-11.01212215423584,-9.942632675170898,-10.666567166646322
33,-3.7301437854766846,-2.5644030570983887,-6.226284503936768,-4.17361044883728
34,-5.994358062744141,-5.160697937011719,-7.698818683624268,-6.284624894460042
35,-7.733059406280518,-5.200439453125,-9.082050323486328,-7.338516394297282
36,-9.149147033691406,-5.277939319610596,-8.451727867126465,-7.626271406809489
37,-6.060924053192139,-6.188024997711182,-7.388762950897217,-6.545904000600179
38,-9.78253173828125,-8.458159446716309,-10.106207847595215,-9.448966344197592
39,-8.779308319091797,-7.626516819000244,-10.559922218322754,-8.988582452138266
40,-7.670470714569092,-6.941453456878662,-9.461864471435547,-8.024596214294434
41,-9.273335456848145,-7.45468807220459,-10.059781074523926,-8.92926820119222
42,-8.20096492767334,-6.50294828414917,-7.326557636260986,-7.343490282694499
43,-5.916894435882568,-5.815556049346924,-10.642822265625,-7.458424250284831
44,-8.680123329162598,-7.027843475341797,-10.16406536102295,-8.624010721842447
45,-6.738100051879883,-6.62143087387085,-7.428085803985596,-6.929205576578776
46,-6.835559844970703,-6.376075267791748,-9.744733810424805,-7.652122974395752
47,-4.350443363189697,-5.206599235534668,-8.26158332824707,-5.9395419756571455
48,-10.988630294799805,-8.704744338989258,-10.317313194274902,-10.003562609354654
49,-5.8985676765441895,-5.434103965759277,-10.71141529083252,-7.348028977711995
50,-9.325366020202637,-7.708622455596924,-12.352007865905762,-9.795332113901773
51,-10.235503196716309,-8.5393705368042,-10.180290222167969,-9.651721318562826
52,-8.384988784790039,-8.590152740478516,-6.992725372314453,-7.989288965861003
53,-11.63730525970459,-11.116377830505371,-5.639894008636475,-9.464525699615479
54,-8.18805980682373,-8.558238983154297,-11.886543273925781,-9.544280687967936
55,-8.8545503616333,-11.088226318359375,-9.082683563232422,-9.675153414408365
56,-11.70340347290039,-12.672012329101562,-5.487659931182861,-9.954358577728271
57,-11.769518852233887,-8.513614654541016,-8.344991683959961,-9.542708396911621
58,-13.005690574645996,-5.813657283782959,-12.039703369140625,-10.28635040918986
59,-10.761000633239746,-13.517252922058105,-11.065040588378906,-11.781098047892252
60,-3.609267473220825,-6.457947731018066,-9.068909645080566,-6.378708283106486
61,-13.329748153686523,-12.827256202697754,-9.764100074768066,-11.973701477050781
62,-10.054736137390137,-12.910294532775879,-9.746110916137695,-10.903713862101236
63,-12.18674373626709,-12.207170486450195,-12.148493766784668,-12.180802663167318
64,-15.718801498413086,-14.612667083740234,-15.557741165161133,-15.296403249104818
65,-12.549878120422363,-10.049670219421387,-13.84195327758789,-12.147167205810547
66,-8.178333282470703,-8.069591522216797,-11.007650375366211,-9.08519172668457
67,-9.384414672851562,-8.240579605102539,-9.131282806396484,-8.918759028116861
68,-10.088757514953613,-9.243917465209961,-9.520676612854004,-9.617783864339193
69,-12.864543914794922,-9.672410011291504,-9.39306354522705,-10.643339157104492
70,-9.505655288696289,-15.808838844299316,-9.745636940002441,-11.686710357666016
71,-7.349892616271973,-9.44698715209961,-10.568817138671875,-9.121898969014486
72,-11.890554428100586,-13.065964698791504,-10.628564834594727,-11.86169465382894
73,-8.075934410095215,-8.866272926330566,-10.258779525756836,-9.066995620727539
74,-8.26208209991455,-8.091728210449219,-10.504669189453125,-8.952826499938965
75,-9.451469421386719,-11.053098678588867,-11.633283615112305,-10.71261723836263
76,-10.007047653198242,-9.88354206085205,-12.048894882202148,-10.64649486541748
77,-10.173041343688965,-10.224957466125488,-10.191755294799805,-10.196584701538086
78,-13.020108222961426,-8.555816650390625,-8.807732582092285,-10.127885818481445
79,-7.734493732452393,-12.360111236572266,-10.16582202911377,-10.086808999379477
80,-10.797359466552734,-10.308780670166016,-15.070023536682129,-12.058721224466959
81,-13.170817375183105,-9.06245231628418,-10.466172218322754,-10.899813969930014
82,-9.500664710998535,-13.166791915893555,-12.80506706237793,-11.824174563090006
83,-9.202580451965332,-9.039105415344238,-11.867281913757324,-10.036322593688965
84,-12.735067367553711,-12.063570022583008,-10.917448043823242,-11.905361811319986
85,-11.212239265441895,-12.535893440246582,-7.947664737701416,-10.565265814463297
86,-11.90219783782959,-12.577103614807129,-11.896831512451172,-12.125377655029297
87,-8.232969284057617,-7.610047340393066,-10.77534008026123,-8.872785568237305
88,-12.577695846557617,-11.470253944396973,-11.94333553314209,-11.997095108032227
89,-12.065433502197266,-10.422622680664062,-15.678459167480469,-12.722171783447266
90,-8.858601570129395,-13.455801010131836,-11.54529857635498,-11.286567052205404
91,-7.938358306884766,-6.058254241943359,-10.321738243103027,-8.106116930643717
92,-12.988418579101562,-11.10024642944336,-14.326037406921387,-12.804900805155436
93,-13.10203742980957,-13.17227840423584,-14.308672904968262,-13.527662913004557
94,-11.672998428344727,-7.6589436531066895,-10.580034255981445,-9.970658779144287
95,-10.48416805267334,-10.613693237304688,-10.215317726135254,-10.437726338704428
96,-6.966966152191162,-6.6746978759765625,-7.988135814666748,-7.209933280944824
97,-9.713988304138184,-8.579610824584961,-6.561549186706543,-8.285049438476562
98,-14.18239688873291,-12.630967140197754,-13.54847240447998,-13.453945477803549
99,-6.252982139587402,-6.350285530090332,-9.47378921508789,-7.359018961588542
100,-10.61892032623291,-9.420516014099121,-12.662168502807617,-10.900534947713217
101,-8.885279655456543,-10.604636192321777,-9.526698112487793,-9.672204653422037
102,-12.649007797241211,-10.837127685546875,-11.230899810791016,-11.572345097859701
103,-13.860915184020996,-9.273677825927734,-15.078441619873047,-12.737678209940592
104,-8.094385147094727,-6.9497504234313965,-10.3971586227417,-8.480431397755941
105,-9.791659355163574,-11.96900749206543,-10.134757995605469,-10.631808280944824
106,-11.45602798461914,-10.75322151184082,-11.438673973083496,-11.215974489847818
107,-12.591675758361816,-10.719744682312012,-10.596206665039062,-11.302542368570963
108,-6.1975507736206055,-5.759629726409912,-11.105500221252441,-7.687560240427653
109,-6.513427734375,-6.663652420043945,-9.170397758483887,-7.449159304300944
110,-6.058027267456055,-8.363466262817383,-8.421133041381836,-7.614208857218425
