U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,True,1,ATG14,492,2de6a928e25b7a0c06078c7d09916a20a82a6406e83974139802650f8bfb9476,Q6ZNE5,True,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,True,0.30973300337791443,1.3333593209584553,0.7467822432518005,-2.870389461517334,-4.9469194412231445,-1.9695013761520386,-3.2622700929641724,4.0,2.0,1.0,2.0
,,P,False,False,,True,2,UVRAG,699,d68f8b62e8fb689198539f1179fcfd685ee59e52ec42ab50c902ddca02b99b67,Q9P2Y5,True,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,True,-0.27804674704869586,0.4440583388010661,0.7162140011787415,-5.639490127563477,-5.493160247802734,-2.7835891246795654,-4.638746500015259,18.0,10.0,4.0,5.0
,,P,False,False,,False,3,BCL2,239,fff13b41ef65181ecfd036c714d8c453d73781b4e2a5bd73a6cbe02d9829fb19,P10415,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-2.101015488306681,-2.09838859240214,0.2831195592880249,-10.521556854248047,-11.313309669494629,-8.290555953979492,-10.041807492574057,275.0,254.0,202.0,272.0
context,Q6ZNE5,U,False,False,,False,4,OAS1,400,110bf4c06cc0598999643646a52973d5017ddda6e2df2ec169b5c3bdba9c5ef4,P00973,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-1.3325437704722087,-0.47786496082941693,0.49620315432548523,-6.373531341552734,-9.948419570922852,-8.919976234436035,-8.413975715637207,135.0,38.0,91.0,69.0
context,Q6ZNE5,U,False,False,,False,5,ASPSCR1,553,830169046896684f4a3c5c01aebe5d6b59425649ec23c51e045327b58b106c5e,Q9BZE9,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-0.8450026313463846,-2.146937131881714,0.3983485698699951,-10.717623710632324,-8.404142379760742,-9.89444351196289,-9.672069867451986,63.0,262.0,178.0,137.0
context,Q6ZNE5,U,False,False,,False,6,ALG2,416,b57e9e0275de0856476f652fd32ddf478eaf3c449e5b3bdb7675a48fc553c0a5,Q9H553,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-1.857680360476176,-2.341267744700114,0.1918494552373886,-9.73965072631836,-10.298487663269043,-11.371479034423828,-10.46987247467041,224.0,290.0,229.0,392.0
context,Q6ZNE5,U,False,False,,False,7,GHDC,530,a2930c803ebda42c6863f1501ae030e459423dae1d3c9da787ce74c4ff821f0e,Q8N2G8,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-1.47590172290802,-1.419112225373586,0.35628870129585266,-11.52069091796875,-12.448468208312988,-11.073038101196289,-11.680732409159342,162.0,142.0,312.0,167.0
context,Q6ZNE5,U,False,False,,False,8,AUP1,410,8c26d24178b6cb35fae8db5e2071a71dbb9afcaf2afd0285d8549e92fc6e420f,Q9Y679,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-0.6078131894270579,-1.3966481685638428,0.16784413158893585,-11.049291610717773,-13.485063552856445,-10.243267059326172,-11.592540740966797,39.0,138.0,303.0,414.0
context,Q6ZNE5,U,False,False,,False,9,CYP2A13,494,49ae5b3e5375a5ab9d3e29491bc1d7c1a3ffc3afe36f26901bfb762de9b4ff24,Q16696,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-2.51046093304952,-3.365699291229248,0.34568512439727783,-13.000204086303711,-11.938697814941406,-12.082345962524414,-12.340415954589844,332.0,398.0,365.0,174.0
context,Q6ZNE5,U,False,False,,False,10,MYOC,504,c0212d827e3e7e798dc11ffcb71db240e9ddca930eb29ed28c23db80863b8a4e,Q99972,False,BECN1,450,a051a32ed82db21b0aad6e52e37075c9ba3c8cb32a783a2db2772ebf43709116,Q14457,additional_six,False,-2.4878517786661782,-2.2883099714914956,0.32974773645401,-9.147597312927246,-11.771839141845703,-10.944584846496582,-10.62134043375651,327.0,283.0,240.0,193.0
