U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,CDH1,882,6c2a333136e50ec3440f42cf6abea8d429a38b758d97b3f3610f96b0e25a1d9d,P12830,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-0.585255761941274,-0.7758577118317286,0.4966144561767578,-8.618210792541504,-8.25588607788086,-6.126628875732422,-7.666908582051595,63.0,238.0,238.0,241.0
,,P,False,False,,False,2,CTNNA1,906,3f02d1069dd454f464710c51fdb466fee0477c628bfb5c4b58c133c2ff79bc42,P35221,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,0.5045664211114248,0.2552837133407593,0.601241409778595,-4.370227813720703,-5.3895745277404785,-2.9437906742095947,-4.234531005223592,4.0,91.0,24.0,48.0
,,P,False,False,,True,3,TCF7L2,619,f74199f1156aa96cef219e118a8beba42b6cf7a7b7f23d8d376dfb3c71469bb4,Q9NQB0,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-0.6331377228101095,-0.1231214702129364,0.5584240555763245,-6.556304454803467,-7.48590087890625,-6.457118034362793,-6.833107789357503,67.0,134.0,168.0,118.0
context,P12830,U,False,False,,False,4,LRRC8A,810,b3a4542b2d90dbd3cddd954610022dc0c4558bca9055832bd7328081a0647ca0,Q8IWT6,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.6133816242218018,-0.864581286907196,0.3624809682369232,-9.700032234191895,-12.024185180664062,-6.2161431312561035,-9.313453515370687,242.0,255.0,339.0,420.0
context,P12830,U,False,False,,False,5,ERVW-1,538,835a8281ffe1a694db294d859d89332de72fa9de9b8793158a28cc05e5f39d2b,Q9UQF0,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-2.1262086232503257,-2.0513338247934976,0.3856539726257324,-14.535113334655762,-8.098203659057617,-5.45621919631958,-9.363178730010986,329.0,398.0,344.0,400.0
context,P12830,U,False,False,,False,6,ERVFC1,584,42333f8c8735d53b9ad689c3cf7b7da6d6038a0d32b2cbdddb48c65413f95e9b,P60507,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.9806421200434368,-1.8971488078435261,0.28865304589271545,-12.683416366577148,-7.296673774719238,-3.831376075744629,-7.937155405680339,309.0,385.0,261.0,445.0
context,P12830,U,False,False,,False,7,SLC9A7,725,0305524072b4fb37bd6f68341c86f234e3a8f95acf11ddc5b6b1357b30ece719,Q96T83,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.9852895736694336,-1.7200218637784321,0.2863169312477112,-11.826238632202148,-13.098011016845703,-10.563592910766602,-11.829280853271484,310.0,357.0,432.0,446.0
context,P12830,U,False,False,,False,8,PLXDC1,500,8e7c4729a7459dfdba8d0dcd143e235ae3e719f5c10109e8a740338503147321,Q8IUK5,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-3.0257200400034585,-2.2482995986938477,0.5355221033096313,-13.816965103149414,-10.628215789794922,-7.264277935028076,-10.569819609324137,423.0,412.0,398.0,157.0
context,P12830,U,False,False,,False,9,GSDMA,445,88fb547af94e14c6ba86500a5c1949b9b15ff810edd3dcf88cddd2f2fa7f1925,Q96QA5,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.0904815793037415,-0.5869457746545473,0.37795576453208923,-9.988783836364746,-10.232152938842773,-6.357810974121094,-8.859582583109537,151.0,196.0,317.0,410.0
context,P12830,U,False,False,,False,10,MPL,635,61da292a0dae7936eff33d3c0909040d846053dc4925c3fb94d6a9bbe00d7c12,P40238,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-2.100593328475952,-2.210972547531128,0.416343629360199,-12.937958717346191,-12.240100860595703,-10.084833145141602,-11.754297574361166,326.0,409.0,428.0,370.0
context,P12830,U,False,False,,False,11,ANTXR2,489,137799e546b8a031745941da4798a83fdc4ddd0d0caed7bdd9a2e36468e72ce5,P58335,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.6448206106821697,-1.4778441190719604,0.4064042568206787,-13.122721672058105,-12.791847229003906,-10.454750061035156,-12.123106320699057,249.0,332.0,442.0,379.0
context,P12830,U,False,False,,False,12,KCNQ4,695,c6dd0092b775896c1534636ea95779a84e074f590068fcc7fec370765e4e3a99,P56696,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-0.6831997036933899,-0.08425087730089824,0.4085734188556671,-10.2830171585083,-7.613371849060059,-7.667984485626221,-8.52145783106486,78.0,130.0,299.0,376.0
context,P12830,U,False,False,,False,13,KIRREL2,708,faa3303818f38cfd416e2e59cd04ff2f86b138b3aabf51b42cde45f416cf35d7,Q6UWL6,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-2.890803496042887,-1.7830690145492554,0.6371690034866333,-6.905884742736816,-8.766680717468262,-6.597815990447998,-7.423460483551025,409.0,369.0,220.0,16.0
context,P12830,U,False,False,,False,14,ADCY6,1168,07fd63cb5c51ff06a66d10030c3863f1a94f058d54724eb2ccddc5b11a8ed25f,O43306,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.2558865944544475,-1.364933927853902,0.5280760526657104,-8.386598587036133,-9.38757038116455,-6.531907558441162,-8.102025508880615,177.0,318.0,276.0,172.0
context,P12830,U,False,False,,False,15,CDH9,789,4d7d52abeb01f7743ed266feca01341c1cca506c6a60bb4bee17fbbafdaabad3,Q9ULB4,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-1.5233628352483113,-1.2933186690012615,0.5035348534584045,-8.559584617614746,-9.824645042419434,-7.836942672729492,-8.74039077758789,228.0,313.0,313.0,230.0
context,P12830,U,False,False,,False,16,SLC2A13,648,0524d4ba4c0fdd9638cdc59d6a5c479618e81166da4a6989ffa3fae2b717790a,Q96QE2,False,CTNNB1,781,1e713d035af00ae7ec7e42f80259ed46e06120d2d5c617d320c91de02ce4dd1d,P35222,additional_six,False,-2.0345346132914224,-1.476359248161316,0.4566980004310608,-12.144244194030762,-12.191261291503906,-11.462696075439453,-11.932733853658041,317.0,331.0,436.0,329.0
