U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,GRB2,217,da732b5e8d2d70df356a38fcb7dcb1f2c8c200f00268f7978afe49f9a7b1783d,P62993,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-1.6319588820139568,-1.8957593441009521,0.807906985282898,-7.0762810707092285,-8.170791625976562,-6.6396870613098145,-7.295586585998535,118.0,134.0,26.0,5.0
,,P,False,False,,False,2,SHC1,583,cd702150f493f2321a7dc5581223dc7875fb28231a79e3698845d224e838f537,P29353,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-2.3526440461476645,-2.27628763516744,0.8374773859977722,-8.024524688720703,-9.559273719787598,-8.102025985717773,-8.561941464742025,293.0,179.0,86.0,2.0
,,P,False,False,,False,3,CBL,906,bba6e0dafdf327b9b3b711c2cb7bcd407fa67f119d02ffd6170feaffdd5bf468,P22681,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-1.5951319535573323,-2.13212513923645,0.853426456451416,-10.9114408493042,-11.603780746459961,-8.632756233215332,-10.382659276326498,105.0,163.0,231.0,1.0
context,P62993,U,False,False,,False,4,MTAP,283,af08a7ff324698ac0c93d5fd04f80a3d35818f4c597b26ea95a3921c6103bdec,Q13126,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-3.345285495122274,-4.108867168426514,0.2804124653339386,-10.594189643859863,-12.136455535888672,-9.262249946594238,-10.664298375447592,428.0,424.0,260.0,284.0
context,P62993,U,False,False,,False,5,HOATZ,169,5d86df5001c015d4cc0c173f7123149ad7f75e6a4d11256feba8c84de0308f61,Q6PI97,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-2.4850687980651855,-2.6995225747426352,0.24997100234031677,-11.119074821472168,-13.620155334472656,-13.0865478515625,-12.608592669169107,322.0,255.0,409.0,319.0
context,P62993,U,False,False,,False,6,OXT,125,ed986ce17171ef8096eadcc4642b24ad8103f4ac0456c51c444b785dd605f6d1,P01178,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-1.1680797934532166,-0.5691398580869039,0.6774698495864868,-6.677452087402344,-10.256519317626953,-7.65226411819458,-8.195411841074625,46.0,28.0,63.0,29.0
context,P62993,U,False,False,,False,7,RBPMS,196,2442a1f4027d5a6cde796a71ea633f7819602a2519852e5bfe98db999ef2b6cf,Q93062,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-2.1102890968322754,-3.050195296605428,0.24296022951602936,-11.04456901550293,-12.009629249572754,-9.71912670135498,-10.924441655476889,242.0,314.0,283.0,325.0
context,P62993,U,False,False,,False,8,EIF1AY,144,e0225b7ed79df1c96893962fbeb3cbe80af72b545837f57ac528c0423e9f8f6f,O14602,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-2.0895320177078247,-1.7542198499043782,0.28846147656440735,-6.470009803771973,-8.908777236938477,-4.754144668579102,-6.710977236429851,236.0,119.0,19.0,275.0
context,P62993,U,False,False,,False,9,RPUSD4,377,983d66617b8dd6c00f8068f77a5338c4fca89de5a23c3c75af436cdc3d1976a0,Q96CM3,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-2.503169536590576,-2.9702605406443277,0.22663193941116333,-13.253389358520508,-11.59424114227295,-8.634550094604492,-11.16072686513265,325.0,298.0,302.0,345.0
context,P62993,U,False,False,,False,10,RPL13,211,b9355759f096594201cb500182e2270ba4e7daef37dded23d2dd5ba08f71a3f0,P26373,False,EGFR,1210,dbb4583267ad40a7dfd854ee3c44ce4be38e137d0570e3eb76cf1854a74e7246,P00533,original_six,False,-3.3596771558125815,-6.091978232065837,0.20587152242660522,-14.649042129516602,-12.895003318786621,-13.513771057128906,-13.685938835144043,430.0,452.0,442.0,378.0
