query_gene,partner_gene,class,U_stratum,prior_train_development_pair,original_tuna_prior_pair
ERN1,BLZF1,U,background,False,True
BCL2,BCL2L11,P,,False,True
BCL2,BAD,P,,False,True
BCL2,BBC3,P,,False,True
BCL2,MEOX2,U,background,False,True
BCL2,MRPL24,U,context,False,True
KEAP1,SQSTM1,P,,True,False
CTNNB1,TCF7L2,P,,False,True
CTNNB1,ASAP1,U,context,False,True
CTNNB1,PKP3,U,context,False,True
CTNNB1,CCDC125,U,context,False,True
CTNNB1,DTNA,U,context,False,True
CTNNB1,FBF1,U,context,False,True
CTNNB1,TRIM28,U,background,False,True
CTNNB1,WAC,U,background,False,True
CTNNB1,FGD5,U,background,False,True
CTNNB1,ARHGEF2,U,background,False,True
CTNNB1,NCL,U,context,False,True
CTNNB1,NLK,U,background,False,True
TNFRSF1A,TMPRSS11B,U,context,False,True
TNFRSF1A,TGOLN2,U,background,False,True
TNFRSF1A,BID,U,background,False,True
TNFRSF1A,IGLL5,U,background,False,True
BECN1,ATG14,P,,True,True
BECN1,UVRAG,P,,True,True
BECN1,NHLRC1,U,context,False,True
BECN1,SEC13,U,context,False,True
BECN1,SQSTM1,U,context,False,True
BECN1,TRIM13,U,context,False,True
