U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,ARNT,789,d8f724407ae4b6489e28ecc760b0149c3372e7ea9fa08d35ad42e8dab701ebfd,P27540,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.4184089104334514,-1.1929535865783691,0.6833146810531616,-8.166189193725586,-5.016738414764404,-5.887869358062744,-6.356932322184245,105.0,86.0,8.0,1.0
,,P,False,False,,False,2,VHL,213,9635f5e11bc2e95cb5b4aca19e52963af7b7cacd94b962e99be1d66499686daf,P40337,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.6756925384203593,-0.24454685052235922,0.44908127188682556,-10.386184692382812,-9.360513687133789,-6.483609199523926,-8.743435859680176,22.0,12.0,175.0,198.0
,,P,False,False,,False,3,EP300,2414,b1145f7221920a6ebbaba4b030af3d5df9b1df69d37f2a656aa2640c37336aa4,Q09472,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.667292594909668,-2.375386953353882,0.518450140953064,-8.691614151000977,-8.306747436523438,-7.869740009307861,-8.289367198944092,140.0,328.0,131.0,103.0
context,P27540,U,False,False,,False,4,ZNF502,544,7d8e6edae5613f4f349ea6ff128365b8169c91d2bb3a303e9b752bd93fdff6c2,Q8TBZ5,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-3.662530024846395,-3.2185823917388916,0.49296292662620544,-8.325908660888672,-4.408288478851318,-6.56535005569458,-6.43318239847819,421.0,416.0,10.0,137.0
context,P27540,U,False,False,,False,5,THEMIS2,643,7718d46ddcebcf0ffca4fbe839617b19163c141bb4ed0960321cc7fd5c1bedb9,Q5TEJ8,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.7175815900166829,-1.4625094532966614,0.5126984715461731,-9.443816184997559,-4.126038551330566,-7.742043972015381,-7.103966236114502,153.0,137.0,37.0,111.0
context,P27540,U,False,False,,False,6,MITF,526,8000e301e1663c2a2550fdfbbf5fc7e430286d10caee820983053964100a5ec2,O75030,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-1.474407434463501,-1.5294936100641887,0.6248807311058044,-9.19472599029541,-7.573060989379883,-6.168519973754883,-7.645435651143392,111.0,158.0,69.0,15.0
context,P27540,U,False,False,,False,7,NARF,456,88faf7359c47b5d7bb22d15ad893ebe9a963a147d43992fcc997bc1534bd4249,Q9UHQ1,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.128459175427755,-1.4747494061787922,0.3403915464878082,-8.498566627502441,-6.831200122833252,-9.134454727172852,-8.154740492502848,244.0,144.0,112.0,327.0
context,P27540,U,False,False,,False,8,ZNF615,731,7a037e777e0bd19b60a926724589ca8a6aa40067c37b83201f2f572663d47817,Q8N8J6,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.6848286787668862,-2.57416824499766,0.526984691619873,-10.957077980041504,-4.209239482879639,-9.009406089782715,-8.058574517567953,331.0,358.0,104.0,99.0
context,P27540,U,False,False,,False,9,LMX1B,402,f1009265fdbba64ad091a463f80e21d40b3282af52e7877a4d4d9bf5d9637521,O60663,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-0.5970819195111593,0.003950774669647217,0.47503146529197693,-8.058494567871094,-6.6684064865112305,-6.368092060089111,-7.0316643714904785,15.0,6.0,34.0,158.0
context,P27540,U,False,False,,False,10,TAF6L,622,8e470b48a9f9cc96c42a4e91ddcfd867c219511cc17bdc44668631b99b828fcd,Q9Y6J9,False,HIF1A,826,7b8d960f96e40af6d8b8eef938d9dccaeebc526e0bdbafcbff4b6711fae64da6,Q16665,additional_six,False,-2.172025124231974,-1.8015350500742595,0.43327054381370544,-7.897355079650879,-9.453551292419434,-4.695010662078857,-7.348639011383057,253.0,217.0,48.0,217.0
