row_index,ipin_baseline_score,ipin_optimized_score
0,-1.01774263381958,-0.9729743003845215
1,-3.1607515017191568,-3.236354192097982
2,-2.2562062740325928,-3.378861904144287
3,-2.959925651550293,-3.186006704966227
4,-2.7534355322519937,-3.87931760152181
5,-3.8837011655171714,-5.506065368652344
6,-4.042736132939656,-4.982995986938477
7,-3.5451056162516275,-4.495920976003011
8,-2.0164401531219482,-3.5464772383371987
9,-3.0540771484375,-3.851857821146647
10,-2.726105292638143,-2.518569827079773
11,-2.722010374069214,-3.511406660079956
12,-2.4977561632792153,-2.5532286961873374
13,-2.133208751678467,-3.074723800023397
14,-2.5168928305308023,-2.8671223322550454
15,-1.4820252259572346,-1.4050449132919312
16,-1.4569207429885864,-2.2159258127212524
17,-2.267606178919474,-1.4859849611918132
18,-2.634237766265869,-3.3941808541615806
19,-2.200477123260498,-1.9944484035174053
20,-2.524010499318441,-2.9983352025349936
21,-2.2566521167755127,-2.6881290276845298
22,-1.7896500825881958,-2.3117504119873047
23,-0.9026692708333334,-1.346438467502594
24,-1.5721075137456257,-2.301865339279175
25,-2.1288484732309976,-2.560598611831665
26,-3.2842442989349365,-2.7996790409088135
27,-0.9886502424875895,-1.6937332948048909
28,-1.395007809003194,-1.3287485440572102
29,-2.0592230558395386,-3.597054958343506
30,-3.586589972178141,-4.609282970428467
31,-2.8080130418141684,-1.7852218300104141
32,-2.4199490547180176,-4.043895403544108
33,-0.1988532617688179,1.4458764990170796
34,-1.8674420913060505,-2.180438995361328
35,-2.7901523113250732,-2.479280710220337
36,-2.140498240788778,-3.111271063486735
37,-1.682801604270935,-2.2985249757766724
38,-1.4741642872492473,-2.8843650023142495
39,-3.032637596130371,-3.472654660542806
40,-2.150845448176066,-2.1533646980921426
41,-3.377363999684652,-2.6352638403574624
42,-1.8318147659301758,-2.148087739944458
43,-1.356095830599467,-1.172409454981486
44,-1.4437482357025146,-1.0927905042966206
45,-1.8028998374938965,-1.988905668258667
46,-2.1264588038126626,-3.113462766011556
47,-1.6277631918589275,-1.0958744287490845
48,-2.843675136566162,-3.235444943110148
49,-3.3318358262379966,-4.356067260106404
50,-2.090404828389486,-3.33521302541097
51,-2.5283588568369546,-4.541826407114665
52,-1.5953747828801472,-2.576997915903727
53,-2.102215886116028,-2.3963160514831543
54,-3.4715940952301025,-3.9380904833475747
