U_stratum,anchor_positive_uniprot,class,development_exposed_positive,homomeric,low_plausibility_evidence_tier,original_tuna_prior_pair,panel_row,partner_gene,partner_sequence_length,partner_sequence_sha256,partner_uniprot,prior_train_development_pair,query_gene,query_sequence_length,query_sequence_sha256,query_uniprot,target_cohort,training_exposed_positive,ipin_baseline_score,ipin_optimized_score,tuna_original_score,tuna_retrained_seed20260803_score,tuna_retrained_seed20260817_score,tuna_retrained_seed20260831_score,tuna_retrained_score,ipin_baseline_rank,ipin_optimized_rank,tuna_retrained_rank,tuna_original_rank
,,P,False,False,,False,1,NFE2L2,605,850aba8ba2a5e1681e7e3dbc08958a52248c816c95be57b749d282e591253998,Q16236,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.4846925735473633,-0.9663161834081014,0.508673906326294,-5.224294185638428,-8.98990535736084,-6.592756271362305,-6.935651938120524,227.0,311.0,322.0,205.0
,,P,False,False,,False,2,CUL3,768,27e97812a5f05c1d45cf14a0144b958e402da37460e555dc0a01191f94a40572,Q13618,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.6863672733306885,0.1590913931528727,0.5333703756332397,-4.534743785858154,-10.031865119934082,-5.173401832580566,-6.580003579457601,270.0,134.0,276.0,147.0
,,P,True,False,,False,3,SQSTM1,440,132b33dc385f6eefd61da6f86da8a8fe87e581ee873a464d1fb63cbb3279dcc9,Q13501,True,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,0.25287104149659473,2.1253724098205566,0.6626248359680176,-4.079543113708496,-7.379683494567871,-5.109133243560791,-5.522786617279053,9.0,6.0,136.0,3.0
context,Q16236,U,False,False,,False,4,KRT82,513,2bf6f1c0779817dc74a276eafe2300c39ca5a765a0ad4d9914266b9e09a6964d,Q9NSB4,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.166156490643819,0.27447593212127686,0.5149372816085815,-4.392237186431885,-8.044655799865723,-5.788232803344727,-6.075041929880778,159.0,123.0,217.0,189.0
context,Q16236,U,False,False,,False,5,KLC3,504,b2e17db70359e94778a4cb913ba635e9cb709ad4d8bc7caa26a2a29eaff24025,Q6P597,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.5098719000816345,0.2817898492018382,0.5920327305793762,-1.8695577383041382,-6.097280025482178,-6.5754313468933105,-4.8474230368932085,57.0,121.0,67.0,47.0
context,Q16236,U,False,False,,False,6,USP49,688,2a058e6b5a08973efb610019314b7b30c76f2f410556984217dc417c9784e6d0,Q70CQ1,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.49713539083798725,0.327746053536733,0.4660814106464386,-3.768960952758789,-9.509761810302734,-5.765477657318115,-6.348066806793213,55.0,112.0,246.0,304.0
context,Q16236,U,False,False,,False,7,XIAP,497,ae4bec2bfca43ca7d2a710719dd5f37743d7f00519ebc45616d9c09a6d0b27cd,P98170,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.7573805451393127,0.20633218685785928,0.6190515756607056,-3.306333541870117,-5.210629940032959,-3.1712899208068848,-3.896084467569987,95.0,130.0,13.0,23.0
context,Q16236,U,False,False,,False,8,DTX3L,740,0224a74ef01a9dc0d96325c228780283950d7e9ec19c14b6e00ef199768188cb,Q8TDB6,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.640377402305603,0.1157201553384463,0.5148645043373108,-4.957801342010498,-5.562823295593262,-6.435339450836182,-5.6519880294799805,257.0,145.0,155.0,190.0
context,Q16236,U,False,False,,False,9,GDI1,447,151cd778d4fb53f442fb1fcee3b51f9aea5a707a54a4ea4f4fafb2353492727f,P31150,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.8623223503430685,0.3159765700499217,0.6227152943611145,-2.1401143074035645,-6.2696533203125,-6.3932600021362305,-4.934342543284099,112.0,114.0,74.0,20.0
context,Q16236,U,False,False,,False,10,TUBA1C,449,1c977603c8a8fb2b659e3ab6dce608a8640319ade5c49809cf6868c136badfb3,Q9BQE3,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-2.3102269172668457,-0.985513965288798,0.5200241208076477,-5.65114688873291,-9.00894546508789,-8.375650405883789,-7.67858091990153,369.0,315.0,383.0,178.0
context,Q16236,U,False,False,,False,11,SERPINB1,379,5819d9cee88ecaecc0215d5f3532f3e35f2cf247f0a911caac8f39a026c90a00,P30740,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.7198819716771443,-0.1214213768641154,0.5907930731773376,-2.5536041259765625,-5.933109283447266,-4.906225204467773,-4.4643128712972,274.0,182.0,46.0,49.0
context,Q16236,U,False,False,,False,12,DCLRE1B,532,5656ff5d61d3642c4929057cc5e7abf588e0c8882ccfc4d982d7c7287d671554,Q9H816,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.24539807935555777,1.2264758944511414,0.5447996258735657,-5.577966213226318,-6.9181013107299805,-5.843288898468018,-6.113118807474772,31.0,27.0,221.0,114.0
context,Q16236,U,False,False,,False,13,SH3BP1,701,b1cf8d41c182ce38ad9f7d7beabd24e00050d50ac926dadcc7b57a2428bdec85,Q9Y3L3,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.6469836235046387,-0.6894914309183756,0.48915961384773254,-4.542220592498779,-7.068882465362549,-8.293963432312012,-6.635022163391113,260.0,271.0,286.0,250.0
context,Q16236,U,False,False,,False,14,LYN,512,87208f7d25d760d405971be60e739e07826b41f96550fef7b3e4b593f208c082,P07948,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.8099185625712076,0.9897867639859518,0.5308946967124939,-3.6928083896636963,-7.447963237762451,-8.258538246154785,-6.4664366245269775,105.0,38.0,259.0,151.0
context,Q16236,U,False,False,,False,15,PER3,1201,10f3f91d419460c5219172b2221ce4bb605ef2bce447c4d85cc24c907e632c17,P56645,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.7785266637802124,-0.3350266714890798,0.629494845867157,-3.885734796524048,-9.407235145568848,-7.087221622467041,-6.7933971881866455,99.0,209.0,306.0,17.0
context,Q16236,U,False,False,,False,16,RNF14,474,e06b6cc3e5f602f5f358afa200a33662ee0012229763d9e4fa7700dc8f340630,Q9UBS8,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.2087399164835613,-0.48672576745351154,0.576288640499115,-3.411238193511963,-8.15855598449707,-5.825811862945557,-5.798535346984863,167.0,230.0,180.0,68.0
context,Q16236,U,False,False,,False,17,POC5,575,4d09559babe0a31137557c3b226e8189904a0123d6494fb3386c62f2a94bf44c,Q8NA72,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.1104056040445964,-0.8214391469955444,0.43402886390686035,-7.923953056335449,-9.588379859924316,-5.792474269866943,-7.768269062042236,151.0,290.0,387.0,360.0
context,Q16236,U,False,False,,False,18,AP5M1,490,c6a4f26e1408adf6bbcdfb27b5bb7257c61c79499faf0e7fdd4ed67ce2f592a0,Q9H0R1,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.41112112005551654,0.25886985659599304,0.3971429765224457,-4.5091776847839355,-8.713301658630371,-5.311030864715576,-6.177836736043294,45.0,125.0,233.0,411.0
context,Q16236,U,False,False,,False,19,NR1H3,447,930ebc290600ab8f12f93fc9a88f07aafbd39ee68720b02c19e357865ad59626,Q13133,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,0.02085922968884309,2.843095620473226,0.6178774833679199,-5.129257678985596,-4.794107437133789,-3.249005079269409,-4.390790065129598,18.0,1.0,39.0,26.0
context,Q16236,U,False,False,,False,20,ATN1,1190,7c0784c5f56f67b5cb3518b4e88b51bc59499ff269dc73dc3cdc73d307c74cce,P54259,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.5256529251734416,0.4847419063250224,0.40510720014572144,-3.2641189098358154,-4.399532794952393,-3.044283151626587,-3.5693116188049316,234.0,90.0,8.0,406.0
context,Q16236,U,False,False,,False,21,ASZ1,475,562d74b3733c3e3278f9102da0c77dfd5aa354c9490d1d898d437a96a4a86cf5,Q8WWH4,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.6430357297261555,-1.1446426908175151,0.4786207675933838,-4.984672546386719,-12.473377227783203,-10.09476375579834,-9.184271176656088,259.0,335.0,435.0,275.0
context,Q16236,U,False,False,,False,22,NUDT12,462,0a938c7ffdb4ab105850e9e45cf797059f3303985a392f441ee28c7f9860945c,Q9BQG2,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.2813394218683243,1.1378591855367024,0.5694712996482849,-2.519066333770752,-6.69265079498291,-4.9487714767456055,-4.720162868499756,36.0,31.0,60.0,75.0
context,Q16236,U,False,False,,False,23,CCDC14,953,99051acf4ec774623effb0c70fdb3724538e95bb37235a6d4b710bf22ded7880,Q49A88,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.4629220962524414,-0.43999038139979046,0.4379158020019531,-3.996877431869507,-10.18250560760498,-7.8380584716796875,-7.339147170384725,224.0,223.0,361.0,355.0
context,Q16236,U,False,False,,False,24,SH3PXD2B,911,528866edf2f0613465e13024c7a86d2f4eda2b7f0df9974e86d13fb2e7aca461,A1X283,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.7909490267435709,0.10267474253972371,0.4591616690158844,-4.398927688598633,-10.032621383666992,-7.06155252456665,-7.164367198944092,101.0,147.0,349.0,317.0
context,Q16236,U,False,False,,False,25,XPNPEP1,623,4ddbc6122234d6496246943452ada5c2e14017586c2dce26f6907eef219acb5f,Q9NQW7,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.07668133887151878,1.5467577179272969,0.5202471017837524,-3.4051833152770996,-5.666254043579102,-6.382090091705322,-5.151175816853841,24.0,15.0,104.0,177.0
context,Q16236,U,False,False,,False,26,BRAP,592,6732e187f06abeecc12627057e7e56af91922fad390f28ca164ad4477792f06d,Q7Z569,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.303054968516032,1.093222697575887,0.5922225117683411,-4.41933536529541,-8.749048233032227,-5.40261173248291,-6.190331776936849,192.0,32.0,235.0,46.0
context,Q16236,U,False,False,,False,27,ASB2,635,66133e8babe1e1a3ac836bf45c7d302281c6bf2820cd833a6628acd2133d9f01,Q96Q27,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.1396736701329548,0.2036356528600057,0.6573712229728699,-2.6213531494140625,-6.590742111206055,-7.355624198913574,-5.522573153177897,155.0,131.0,135.0,4.0
context,Q16236,U,False,False,,False,28,SULT2B1,365,3c6081baa466d244e055e3db3137303bf54eb0e3fee14836266f8367b9c02adf,O00204,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.0131300687789917,0.6377121806144714,0.6178880929946899,-3.9642062187194824,-4.186631679534912,-9.478669166564941,-5.876502354939778,138.0,74.0,193.0,25.0
context,Q16236,U,False,False,,False,29,RNF6,685,f5f5ee41ef2842f254236c90b96968ca0a48220f78aab5a21aeff1bea81dc578,Q9Y252,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,0.09622743399813771,-0.3063340187072754,0.59123694896698,-2.4759328365325928,-5.11442756652832,-5.8366522789001465,-4.47567089398702,14.0,203.0,48.0,48.0
context,Q16236,U,False,False,,False,30,PAFAH2,392,b4815cbcf7cfa67ab631292aa6e7f33d82237a1b8852f0e34ef8fbc5c3497d05,Q99487,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-1.3398561477661133,-0.2960310677687327,0.5549100041389465,-3.224463939666748,-4.87832498550415,-8.493977546691895,-5.532255490620931,198.0,202.0,138.0,102.0
context,Q16236,U,False,False,,False,31,MSI1,362,f246d2e186552bb794816bf33cb77d05cc9c4363fbd94266482b3b7157c63799,O43347,False,KEAP1,624,549dc2f31d2981e3cd99a62ea027bf7d8a5cd3b7232c910e4a3fbec108f88c17,Q14145,original_six,False,-0.7846117814381918,-0.23943297068277994,0.45296528935432434,-5.937854766845703,-8.020299911499023,-3.6711809635162354,-5.876445213953654,100.0,193.0,192.0,329.0
