target,query_uniprot,anchor_gene,anchor_uniprot,partner_gene,partner_uniprot,length,anchor_length,length_ratio,localization_class,annotation_quality,uniprot_experimental_location,hpa_supported_location,hpa_all_locations,hpa_high_confidence_locations,evidence_tier,reason,uniprot_location,uniprot_signal_peptide,HPA_Ensembl,HPA_gene,HPA_reliability,UniProt_URL,HPA_URL,sequence_sha256
ERN1,O75460,ERN1,O75460,SUPT5H,O00267,1087,977,1.1125895598771751,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10075709}.,,ENSG00000196235,SUPT5H,Supported,https://www.uniprot.org/uniprotkb/O00267/entry,https://www.proteinatlas.org/ENSG00000196235/subcellular,764ff75d65f654b20d646bb20e21064b7d9795e1a11222e8da40715f0bb354e2
ERN1,O75460,ERN1,O75460,TCERG1,O14776,1098,977,1.1238485158648925,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10908677, ECO:0000269|PubMed:15485897, ECO:0000269|PubMed:9315662}.",,ENSG00000113649,TCERG1,Enhanced,https://www.uniprot.org/uniprotkb/O14776/entry,https://www.proteinatlas.org/ENSG00000113649/subcellular,20834b6dfdbb2aa765858eb49701db7467f05f784668b9b48e96defdf903ddc7
ERN1,O75460,ERN1,O75460,U2SURP,O15042,1029,977,1.0532241555783008,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:20858735}.,,ENSG00000163714,U2SURP,Supported,https://www.uniprot.org/uniprotkb/O15042/entry,https://www.proteinatlas.org/ENSG00000163714/subcellular,30cadaca1da719405e4e2db6affdcdbb25a16d8ff45a2872a46f4c115c77fe5c
ERN1,O75460,ERN1,O75460,SMARCA5,O60264,1052,977,1.076765609007165,nuclear,0,True,True,Nucleoli fibrillar center;Nucleoplasm,Nucleoli fibrillar center;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00624, ECO:0000269|PubMed:12434153, ECO:0000269|PubMed:12972596, ECO:0000269|PubMed:15543136, ECO:0000269|PubMed:33092197}. Chromosome {ECO:0000269|PubMed:12972596, ECO:0000269|PubMed:23911928}. Note=Localizes to mitotic chromosomes (PubMed:12972596). Co-localizes with RSF1 in the nucleus (PubMed:12972596). Co-localizes with PCNA at replication foci during S phase (PubMed:15543136). Co-localizes with BAZ1B/WSTF at replication foci during late-S phase (PubMed:15543136). Recruited to DNA damage sites following interaction with SIRT6 (PubMed:23911928). {ECO:0000269|PubMed:12972596, ECO:0000269|PubMed:15543136, ECO:0000269|PubMed:23911928}.",,ENSG00000153147,SMARCA5,Supported,https://www.uniprot.org/uniprotkb/O60264/entry,https://www.proteinatlas.org/ENSG00000153147/subcellular,8a19d3b7fa1af69753ec4f174d3163b56c1b93de9b6ef490eb63d0117dbc3f84
ERN1,O75460,ERN1,O75460,RNF40,O75150,1001,977,1.0245649948822928,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10944455}.,,ENSG00000103549,RNF40,Supported,https://www.uniprot.org/uniprotkb/O75150/entry,https://www.proteinatlas.org/ENSG00000103549/subcellular,d7822af1f78a01cd926857746b05da9165be7aa5d4792b0510b86e2c1240b7de
ERN1,O75460,ERN1,O75460,PHF2,O75151,1096,977,1.1218014329580348,nuclear,0,True,True,Nucleoli rim;Nucleoplasm,Nucleoli rim,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:20129925}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:20813266}.",,ENSG00000197724,PHF2,Supported,https://www.uniprot.org/uniprotkb/O75151/entry,https://www.proteinatlas.org/ENSG00000197724/subcellular,fc9a08e42bba1d57c5305592324ab57bd22bed0310244767618cf65f0f3b9791
ERN1,O75460,ERN1,O75460,KDM4A,O75164,1064,977,1.089048106448311,nuclear,0,True,True,Nucleoli fibrillar center;Nucleoplasm,Nucleoli fibrillar center;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00537, ECO:0000269|PubMed:15927959, ECO:0000269|PubMed:16024779}.",,ENSG00000066135,KDM4A,Supported,https://www.uniprot.org/uniprotkb/O75164/entry,https://www.proteinatlas.org/ENSG00000066135/subcellular,036a41d3c15052200cd103c0b77cd31c9af3b67f9437380ad53dc5a5c5ef663e
ERN1,O75460,ERN1,O75460,ZBTB11,O95625,1053,977,1.0777891504605936,nuclear,0,True,True,Nucleoplasm,Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:29893856}.",,ENSG00000066422,ZBTB11,Enhanced,https://www.uniprot.org/uniprotkb/O95625/entry,https://www.proteinatlas.org/ENSG00000066422/subcellular,087b2c0fc91ff390f2f9b1d14bc8dc66bbfd16de688d4ffa44f60d655cb0f868
ERN1,O75460,ERN1,O75460,BRD1,O95696,1058,977,1.0829068577277379,nuclear,0,True,True,Nuclear speckles,Nuclear speckles,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21753189, ECO:0000269|PubMed:21880731, ECO:0000269|PubMed:25593309}. Chromosome {ECO:0000269|PubMed:21753189, ECO:0000269|PubMed:28334966}. Note=Localizes to transcription start sites. {ECO:0000269|PubMed:21753189, ECO:0000269|PubMed:28334966}.",,ENSG00000100425,BRD1,Supported,https://www.uniprot.org/uniprotkb/O95696/entry,https://www.proteinatlas.org/ENSG00000100425/subcellular,96128c45452bec648cd0e8ac6c91af165d30470abf91590ac847b6b3c765f1c9
ERN1,O75460,ERN1,O75460,ERCC6,P0DP91,1061,977,1.0859774820880246,nuclear,0,True,True,Nuclear bodies;Nucleoplasm,Nuclear bodies;Nucleoplasm,A_compartment_separation,Mature nuclear protein; target policy excludes this compartment/side.,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26218421}.,,ENSG00000225830,ERCC6,Supported,https://www.uniprot.org/uniprotkb/P0DP91/entry,https://www.proteinatlas.org/ENSG00000225830/subcellular,32b5eef86f6e9135ff25efe1ac24660ca56d8269e8db6ebf9fb735edc39ff4fa
