query_gene,query_uniprot,partner_gene,partner_uniprot,class
EGFR,P00533,GRB2,P62993,P
EGFR,P00533,SHC1,P29353,P
EGFR,P00533,CBL,P22681,P
EGFR,P00533,MTAP,Q13126,U
EGFR,P00533,HOATZ,Q6PI97,U
EGFR,P00533,OXT,P01178,U
EGFR,P00533,RBPMS,Q93062,U
EGFR,P00533,EIF1AY,O14602,U
EGFR,P00533,RPUSD4,Q96CM3,U
EGFR,P00533,RPL13,P26373,U
EGFR,P00533,IFI35,P80217,U
EGFR,P00533,TUBA4B,Q9H853,U
EGFR,P00533,EXO5,Q9H790,U
EGFR,P00533,TSPY1,Q01534,U
EGFR,P00533,STRADA,Q7RTN6,U
EGFR,P00533,ENKD1,Q9H0I2,U
EGFR,P00533,GPN3,Q9UHW5,U
EGFR,P00533,MYOZ2,Q9NPC6,U
EGFR,P00533,TANK,Q92844,U
EGFR,P00533,SOHLH1,Q5JUK2,U
EGFR,P00533,MYOZ3,Q8TDC0,U
EGFR,P00533,SRSF7,Q16629,U
EGFR,P00533,EAPP,Q56P03,U
EGFR,P00533,STMN3,Q9NZ72,U
EGFR,P00533,RALA,P11233,U
EGFR,P00533,ANG,P03950,U
EGFR,P00533,GUK1,Q16774,U
EGFR,P00533,POLDIP3,Q9BY77,U
EGFR,P00533,MAPKAPK3,Q16644,U
EGFR,P00533,DYNLT3,P51808,U
EGFR,P00533,LZTFL1,Q9NQ48,U
EGFR,P00533,ADH7,P40394,U
EGFR,P00533,SRXN1,Q9BYN0,U
EGFR,P00533,WDFY2,Q96P53,U
EGFR,P00533,HAAO,P46952,U
EGFR,P00533,CCDC42,Q96M95,U
EGFR,P00533,SAT1,P21673,U
EGFR,P00533,PEX7,O00628,U
EGFR,P00533,PSME3,P61289,U
EGFR,P00533,PIERCE1,Q5BN46,U
EGFR,P00533,WDR54,Q9H977,U
EGFR,P00533,FDPS,P14324,U
EGFR,P00533,MAEA,Q7L5Y9,U
EGFR,P00533,TPT1,P13693,U
EGFR,P00533,COMMD9,Q9P000,U
EGFR,P00533,HABP4,Q5JVS0,U
EGFR,P00533,AKR1C1,Q04828,U
EGFR,P00533,PHB2,Q99623,U
EGFR,P00533,GSTT2,P0CG29,U
EGFR,P00533,FBXO4,Q9UKT5,U
EGFR,P00533,RAB9A,P51151,U
EGFR,P00533,IL36B,Q9NZH7,U
EGFR,P00533,EIF4A3,P38919,U
EGFR,P00533,SPMIP8,Q6URK8,U
EGFR,P00533,NOSIP,Q9Y314,U
EGFR,P00533,CSNK2B,P67870,U
EGFR,P00533,EMC8,O43402,U
EGFR,P00533,NEU2,Q9Y3R4,U
EGFR,P00533,DIPK2A,Q8NDZ4,U
EGFR,P00533,PRSS27,Q9BQR3,U
EGFR,P00533,ZP3,P21754,U
EGFR,P00533,CAPZA1,P52907,U
EGFR,P00533,EMC3,Q9P0I2,U
EGFR,P00533,GPR78,Q96P69,U
EGFR,P00533,ENKUR,Q8TC29,U
EGFR,P00533,MSGN1,A6NI15,U
EGFR,P00533,ZNF576,Q9H609,U
EGFR,P00533,GKN1,Q9NS71,U
EGFR,P00533,IGLV4-60,A0A075B6I1,U
EGFR,P00533,CXCR6,O00574,U
EGFR,P00533,KRTAP9-8,Q9BYQ0,U
EGFR,P00533,FAHD1,Q6P587,U
EGFR,P00533,CCDC43,Q96MW1,U
EGFR,P00533,HLA-DQB1,P01920,U
EGFR,P00533,CREG1,O75629,U
EGFR,P00533,POGLUT1,Q8NBL1,U
EGFR,P00533,RNASE6,Q93091,U
EGFR,P00533,KCNJ6,P48051,U
EGFR,P00533,HLA-DRB5,Q30154,U
EGFR,P00533,CHST1,O43916,U
EGFR,P00533,UBAP1L,F5GYI3,U
EGFR,P00533,ACTL6A,O96019,U
EGFR,P00533,MAGEB17,A8MXT2,U
EGFR,P00533,HSD11B2,P80365,U
EGFR,P00533,SLC25A4,P12235,U
EGFR,P00533,SGK1,O00141,U
EGFR,P00533,TMEM72,A0PK05,U
EGFR,P00533,MTHFD2L,Q9H903,U
EGFR,P00533,DMTN,Q08495,U
EGFR,P00533,TSFM,P43897,U
EGFR,P00533,SSPN,Q14714,U
EGFR,P00533,CD3E,P07766,U
EGFR,P00533,TSPAN8,P19075,U
EGFR,P00533,CAMK1D,Q8IU85,U
EGFR,P00533,KLF1,Q13351,U
EGFR,P00533,LIPK,Q5VXJ0,U
EGFR,P00533,ABI3,Q9P2A4,U
EGFR,P00533,FBXO17,Q96EF6,U
EGFR,P00533,TEX50,A0A1B0GTY4,U
EGFR,P00533,CDRT15,Q96T59,U
EGFR,P00533,GPATCH11,Q8N954,U
EGFR,P00533,SEC14L6,B5MCN3,U
EGFR,P00533,KRTAP5-8,O75690,U
EGFR,P00533,AZIN2,Q96A70,U
EGFR,P00533,CABYR,O75952,U
EGFR,P00533,ODAD1,Q96M63,U
EGFR,P00533,ACOT11,Q8WXI4,U
EGFR,P00533,SMYD5,Q6GMV2,U
EGFR,P00533,LORICRIN,P23490,U
EGFR,P00533,KCTD13,Q8WZ19,U
EGFR,P00533,ACTRT3,Q9BYD9,U
EGFR,P00533,CASP7,P55210,U
EGFR,P00533,FAM91A1,Q658Y4,U
EGFR,P00533,SRPX2,O60687,U
EGFR,P00533,RNF34,Q969K3,U
EGFR,P00533,DCP1A,Q9NPI6,U
EGFR,P00533,TTI1,O43156,U
EGFR,P00533,TRAF6,Q9Y4K3,U
EGFR,P00533,UFL1,O94874,U
EGFR,P00533,CASP8,Q14790,U
EGFR,P00533,HARBI1,Q96MB7,U
EGFR,P00533,SPATA1,Q5VX52,U
EGFR,P00533,RRAGC,Q9HB90,U
EGFR,P00533,METTL2B,Q6P1Q9,U
EGFR,P00533,ZBTB33,Q86T24,U
EGFR,P00533,RPS6KA2,Q15349,U
EGFR,P00533,PI4KB,Q9UBF8,U
EGFR,P00533,AKR1E2,Q96JD6,U
EGFR,P00533,PSKH1,P11801,U
EGFR,P00533,LIMS1,P48059,U
EGFR,P00533,ADH4,P08319,U
EGFR,P00533,SNX7,Q9UNH6,U
EGFR,P00533,CCDC66,A2RUB6,U
EGFR,P00533,BYSL,Q13895,U
EGFR,P00533,DNAI7,Q6TDU7,U
EGFR,P00533,BABAM1,Q9NWV8,U
EGFR,P00533,TRIM7,Q9C029,U
EGFR,P00533,CCDC69,A6NI79,U
EGFR,P00533,DDX39B,Q13838,U
EGFR,P00533,AEBP1,Q8IUX7,U
EGFR,P00533,RRAGA,Q7L523,U
EGFR,P00533,SHPK,Q9UHJ6,U
EGFR,P00533,PCBP2,Q15366,U
EGFR,P00533,WARS1,P23381,U
EGFR,P00533,HIPK4,Q8NE63,U
EGFR,P00533,VTA1,Q9NP79,U
EGFR,P00533,COPB1,P53618,U
EGFR,P00533,SEPTIN14,Q6ZU15,U
EGFR,P00533,DENND1A,Q8TEH3,U
EGFR,P00533,PLK1,P53350,U
EGFR,P00533,G3BP1,Q13283,U
EGFR,P00533,PPM1E,Q8WY54,U
EGFR,P00533,ERC2,O15083,U
EGFR,P00533,EDNRA,P25101,U
EGFR,P00533,C16orf96,A6NNT2,U
EGFR,P00533,MTG2,Q9H4K7,U
EGFR,P00533,DBF4B,Q8NFT6,U
EGFR,P00533,GAA,P10253,U
EGFR,P00533,ESRP1,Q6NXG1,U
EGFR,P00533,CDC23,Q9UJX2,U
EGFR,P00533,ACAP1,Q15027,U
EGFR,P00533,NAGPA,Q9UK23,U
EGFR,P00533,SLC6A13,Q9NSD5,U
EGFR,P00533,HUNK,P57058,U
