query_gene,query_uniprot,partner_gene,partner_uniprot,class
KEAP1,Q14145,NFE2L2,Q16236,P
KEAP1,Q14145,CUL3,Q13618,P
KEAP1,Q14145,SQSTM1,Q13501,P
KEAP1,Q14145,KRT82,Q9NSB4,U
KEAP1,Q14145,KLC3,Q6P597,U
KEAP1,Q14145,USP49,Q70CQ1,U
KEAP1,Q14145,XIAP,P98170,U
KEAP1,Q14145,DTX3L,Q8TDB6,U
KEAP1,Q14145,GDI1,P31150,U
KEAP1,Q14145,TUBA1C,Q9BQE3,U
KEAP1,Q14145,SERPINB1,P30740,U
KEAP1,Q14145,DCLRE1B,Q9H816,U
KEAP1,Q14145,SH3BP1,Q9Y3L3,U
KEAP1,Q14145,LYN,P07948,U
KEAP1,Q14145,PER3,P56645,U
KEAP1,Q14145,RNF14,Q9UBS8,U
KEAP1,Q14145,POC5,Q8NA72,U
KEAP1,Q14145,AP5M1,Q9H0R1,U
KEAP1,Q14145,NR1H3,Q13133,U
KEAP1,Q14145,ATN1,P54259,U
KEAP1,Q14145,ASZ1,Q8WWH4,U
KEAP1,Q14145,NUDT12,Q9BQG2,U
KEAP1,Q14145,CCDC14,Q49A88,U
KEAP1,Q14145,SH3PXD2B,A1X283,U
KEAP1,Q14145,XPNPEP1,Q9NQW7,U
KEAP1,Q14145,BRAP,Q7Z569,U
KEAP1,Q14145,ASB2,Q96Q27,U
KEAP1,Q14145,SULT2B1,O00204,U
KEAP1,Q14145,RNF6,Q9Y252,U
KEAP1,Q14145,PAFAH2,Q99487,U
KEAP1,Q14145,MSI1,O43347,U
KEAP1,Q14145,AP1B1,Q10567,U
KEAP1,Q14145,INVS,Q9Y283,U
KEAP1,Q14145,COG5,Q9UP83,U
KEAP1,Q14145,PLEKHA5,Q9HAU0,U
KEAP1,Q14145,GMPPA,Q96IJ6,U
KEAP1,Q14145,IREB2,P48200,U
KEAP1,Q14145,FEM1B,Q9UK73,U
KEAP1,Q14145,CORO1B,Q9BR76,U
KEAP1,Q14145,SNCAIP,Q9Y6H5,U
KEAP1,Q14145,NLRP12,P59046,U
KEAP1,Q14145,CPSF7,Q8N684,U
KEAP1,Q14145,TTLL7,Q6ZT98,U
KEAP1,Q14145,KSR1,Q8IVT5,U
KEAP1,Q14145,XPOT,O43592,U
KEAP1,Q14145,PTPN6,P29350,U
KEAP1,Q14145,PCSK1,P29120,U
KEAP1,Q14145,DCX,O43602,U
KEAP1,Q14145,CARNMT1,Q8N4J0,U
KEAP1,Q14145,IQUB,Q8NA54,U
KEAP1,Q14145,ARHGAP1,Q07960,U
KEAP1,Q14145,NRBP1,Q9UHY1,U
KEAP1,Q14145,TBC1D31,Q96DN5,U
KEAP1,Q14145,PDE1A,P54750,U
KEAP1,Q14145,VNN1,O95497,U
KEAP1,Q14145,ZNF221,Q9UK13,U
KEAP1,Q14145,U2AF2,P26368,U
KEAP1,Q14145,DRG2,P55039,U
KEAP1,Q14145,SLC25A29,Q8N8R3,U
KEAP1,Q14145,CSGALNACT1,Q8TDX6,U
KEAP1,Q14145,PATL1,Q86TB9,U
KEAP1,Q14145,CYP39A1,Q9NYL5,U
KEAP1,Q14145,KIF18A,Q8NI77,U
KEAP1,Q14145,SDE2,Q6IQ49,U
KEAP1,Q14145,MAVS,Q7Z434,U
KEAP1,Q14145,TGM7,Q96PF1,U
KEAP1,Q14145,JPH1,Q9HDC5,U
KEAP1,Q14145,HDAC3,O15379,U
KEAP1,Q14145,TRAF3IP2,O43734,U
KEAP1,Q14145,DRC5,Q5JU00,U
KEAP1,Q14145,WASF3,Q9UPY6,U
KEAP1,Q14145,LMOD1,P29536,U
KEAP1,Q14145,OR51B2,Q9Y5P1,U
KEAP1,Q14145,ACP7,Q6ZNF0,U
KEAP1,Q14145,SH3BP2,P78314,U
KEAP1,Q14145,DNAJC1,Q96KC8,U
KEAP1,Q14145,SPATA31F3,A6NFA0,U
KEAP1,Q14145,BFAR,Q9NZS9,U
KEAP1,Q14145,ZNF892,A0A087WUV0,U
KEAP1,Q14145,CPA1,P15085,U
KEAP1,Q14145,GFRA2,O00451,U
KEAP1,Q14145,TYW5,A2RUC4,U
KEAP1,Q14145,TM6SF2,Q9BZW4,U
KEAP1,Q14145,GPANK1,O95872,U
KEAP1,Q14145,CCDC185,Q8N715,U
KEAP1,Q14145,CNN2,Q99439,U
KEAP1,Q14145,NCLN,Q969V3,U
KEAP1,Q14145,COQ3,Q9NZJ6,U
KEAP1,Q14145,ZNF324B,Q6AW86,U
KEAP1,Q14145,OSCP1,Q8WVF1,U
KEAP1,Q14145,CAPN9,O14815,U
KEAP1,Q14145,MSL3B,P0C860,U
KEAP1,Q14145,ATF2,P15336,U
KEAP1,Q14145,GORASP2,Q9H8Y8,U
KEAP1,Q14145,SORD,Q00796,U
KEAP1,Q14145,TTYH1,Q9H313,U
KEAP1,Q14145,YTHDF3,Q7Z739,U
KEAP1,Q14145,PLIN2,Q99541,U
KEAP1,Q14145,CCDC149,Q6ZUS6,U
KEAP1,Q14145,KCNU1,A8MYU2,U
KEAP1,Q14145,ATF4,P18848,U
KEAP1,Q14145,LRRN2,O75325,U
KEAP1,Q14145,SMAD6,O43541,U
KEAP1,Q14145,PLEKHA4,Q9H4M7,U
KEAP1,Q14145,RRAGC,Q9HB90,U
KEAP1,Q14145,DCLK2,Q8N568,U
