query_gene,query_uniprot,partner_gene,partner_uniprot,class
KRAS,P01116,RAF1,P04049,P
KRAS,P01116,BRAF,P15056,P
KRAS,P01116,ARAF,P10398,P
KRAS,P01116,MKLN1,Q9UL63,U
KRAS,P01116,MEIOB,Q8N635,U
KRAS,P01116,RABGAP1,Q9Y3P9,U
KRAS,P01116,G6PD,P11413,U
KRAS,P01116,PIWIL2,Q8TC59,U
KRAS,P01116,CAMKV,Q8NCB2,U
KRAS,P01116,TRIM6,Q9C030,U
KRAS,P01116,SEPTIN10,Q9P0V9,U
KRAS,P01116,CDC123,O75794,U
KRAS,P01116,CARS1,P49589,U
KRAS,P01116,GAS2L1,Q99501,U
KRAS,P01116,GORAB,Q5T7V8,U
KRAS,P01116,PFKL,P17858,U
KRAS,P01116,EIF4A3,P38919,U
KRAS,P01116,FGD1,P98174,U
KRAS,P01116,CDC20,Q12834,U
KRAS,P01116,HENMT1,Q5T8I9,U
KRAS,P01116,EPN1,Q9Y6I3,U
KRAS,P01116,DRC9,Q9H095,U
KRAS,P01116,NOCT,Q9UK39,U
KRAS,P01116,INCENP,Q9NQS7,U
KRAS,P01116,SYNPO2L,Q9H987,U
KRAS,P01116,M1AP,Q8TC57,U
KRAS,P01116,RBMS3,Q6XE24,U
KRAS,P01116,BSPRY,Q5W0U4,U
KRAS,P01116,SYTL1,Q8IYJ3,U
KRAS,P01116,CEP57,Q86XR8,U
KRAS,P01116,MAGEC1,O60732,U
KRAS,P01116,MAP3K14,Q99558,U
KRAS,P01116,ARHGEF1,Q92888,U
KRAS,P01116,SOHLH1,Q5JUK2,U
KRAS,P01116,ANLN,Q9NQW6,U
KRAS,P01116,EIF3L,Q9Y262,U
KRAS,P01116,TRIM17,Q9Y577,U
KRAS,P01116,TCHP,Q9BT92,U
KRAS,P01116,NCDN,Q9UBB6,U
KRAS,P01116,MKRN2,Q9H000,U
KRAS,P01116,ANKS6,Q68DC2,U
KRAS,P01116,BCL3,P20749,U
KRAS,P01116,RBM27,Q9P2N5,U
KRAS,P01116,PLEKHA2,Q9HB19,U
KRAS,P01116,PARP10,Q53GL7,U
KRAS,P01116,TTLL1,O95922,U
KRAS,P01116,TEKT5,Q96M29,U
KRAS,P01116,YTHDF3,Q7Z739,U
KRAS,P01116,CTNNA2,P26232,U
KRAS,P01116,LRSAM1,Q6UWE0,U
KRAS,P01116,GUCY1B1,Q02153,U
KRAS,P01116,DOC2A,Q14183,U
KRAS,P01116,FAM193B,Q96PV7,U
KRAS,P01116,AGBL2,Q5U5Z8,U
KRAS,P01116,ZFP92,A6NM28,U
KRAS,P01116,TTC22,Q5TAA0,U
KRAS,P01116,HOXA10,P31260,U
KRAS,P01116,RIOK2,Q9BVS4,U
KRAS,P01116,HR,O43593,U
KRAS,P01116,REPS2,Q8NFH8,U
KRAS,P01116,ADD2,P35612,U
KRAS,P01116,CHST14,Q8NCH0,U
KRAS,P01116,SLC9C1,Q4G0N8,U
KRAS,P01116,GJA4,P35212,U
KRAS,P01116,ALG11,Q2TAA5,U
KRAS,P01116,TSEN2,Q8NCE0,U
KRAS,P01116,AFG1L,Q8WV93,U
KRAS,P01116,TMEM201,Q5SNT2,U
KRAS,P01116,SUSD4,Q5VX71,U
KRAS,P01116,SLCO6A1,Q86UG4,U
KRAS,P01116,EARS2,Q5JPH6,U
KRAS,P01116,ZNF619,Q8N2I2,U
KRAS,P01116,VIPAS39,Q9H9C1,U
KRAS,P01116,SNW1,Q13573,U
KRAS,P01116,FGFR3,P22607,U
KRAS,P01116,CDS2,O95674,U
KRAS,P01116,CYP1A2,P05177,U
KRAS,P01116,LONRF2,Q1L5Z9,U
KRAS,P01116,DHX36,Q9H2U1,U
KRAS,P01116,FSCN1,Q16658,U
KRAS,P01116,PDLIM1,O00151,U
KRAS,P01116,GAB2,Q9UQC2,U
KRAS,P01116,PGBD1,Q96JS3,U
KRAS,P01116,PRKACG,P22612,U
KRAS,P01116,TRIM35,Q9UPQ4,U
KRAS,P01116,SYBU,Q9NX95,U
KRAS,P01116,NDUFS1,P28331,U
KRAS,P01116,ZNF592,Q92610,U
KRAS,P01116,GRIN3A,Q8TCU5,U
KRAS,P01116,AGFG1,P52594,U
KRAS,P01116,INF2,Q27J81,U
KRAS,P01116,TEKT2,Q9UIF3,U
KRAS,P01116,SIRT7,Q9NRC8,U
KRAS,P01116,ADAMTSL5,Q6ZMM2,U
KRAS,P01116,PLA2G3,Q9NZ20,U
KRAS,P01116,PGLYRP3,Q96LB9,U
KRAS,P01116,CCNT2,O60583,U
KRAS,P01116,SYT7,O43581,U
KRAS,P01116,SPATA1,Q5VX52,U
KRAS,P01116,ACTL6A,O96019,U
KRAS,P01116,KRT76,Q01546,U
KRAS,P01116,JRKL,Q9Y4A0,U
KRAS,P01116,GXYLT2,A0PJZ3,U
KRAS,P01116,NFKB2,Q00653,U
KRAS,P01116,TTLL4,Q14679,U
KRAS,P01116,WARS1,P23381,U
KRAS,P01116,PGR,P06401,U
KRAS,P01116,URI1,O94763,U
KRAS,P01116,NLRC3,Q7RTR2,U
KRAS,P01116,CYTH3,O43739,U
KRAS,P01116,RIPK2,O43353,U
KRAS,P01116,BTBD3,Q9Y2F9,U
KRAS,P01116,KBTBD7,Q8WVZ9,U
KRAS,P01116,MAPK8IP2,Q13387,U
KRAS,P01116,NPTX1,Q15818,U
KRAS,P01116,MARK1,Q9P0L2,U
KRAS,P01116,TRMT5,Q32P41,U
KRAS,P01116,PLEKHG5,O94827,U
KRAS,P01116,AP2A2,O94973,U
KRAS,P01116,LZTS2,Q9BRK4,U
KRAS,P01116,ATG16L2,Q8NAA4,U
KRAS,P01116,N4BP3,O15049,U
KRAS,P01116,ZBED4,O75132,U
KRAS,P01116,LPXN,O60711,U
KRAS,P01116,TSKS,Q9UJT2,U
KRAS,P01116,SCG3,Q8WXD2,U
KRAS,P01116,DHX29,Q7Z478,U
KRAS,P01116,NLRP12,P59046,U
KRAS,P01116,PLOD2,O00469,U
KRAS,P01116,KIF16B,Q96L93,U
KRAS,P01116,INPP5E,Q9NRR6,U
KRAS,P01116,PINK1,Q9BXM7,U
KRAS,P01116,AFG2A,Q8NB90,U
KRAS,P01116,STRADB,Q9C0K7,U
KRAS,P01116,KANK4,Q5T7N3,U
KRAS,P01116,STAMBP,O95630,U
KRAS,P01116,TRIM71,Q2Q1W2,U
KRAS,P01116,ZNF385A,Q96PM9,U
KRAS,P01116,NUAK1,O60285,U
KRAS,P01116,PBXIP1,Q96AQ6,U
KRAS,P01116,CEP68,Q76N32,U
KRAS,P01116,MTA1,Q13330,U
KRAS,P01116,ZNF703,Q9H7S9,U
KRAS,P01116,TRIM11,Q96F44,U
KRAS,P01116,AKAP3,O75969,U
KRAS,P01116,PLAA,Q9Y263,U
KRAS,P01116,PALM2AKAP2,Q9Y2D5,U
KRAS,P01116,PDCD6IP,Q8WUM4,U
KRAS,P01116,ARHGEF4,Q9NR80,U
KRAS,P01116,RASIP1,Q5U651,U
KRAS,P01116,MAP7D2,Q96T17,U
KRAS,P01116,PFKM,P08237,U
KRAS,P01116,PER1,O15534,U
KRAS,P01116,ZNF432,O94892,U
