query_gene,query_uniprot,partner_gene,partner_uniprot,class
TNFRSF1A,P19438,TNF,P01375,P
TNFRSF1A,P19438,LTA,P01374,P
TNFRSF1A,P19438,TRADD,Q15628,P
TNFRSF1A,P19438,TMPRSS11B,Q86T26,U
TNFRSF1A,P19438,MRAP,Q8TCY5,U
TNFRSF1A,P19438,ORAI2,Q96SN7,U
TNFRSF1A,P19438,HCAR3,P49019,U
TNFRSF1A,P19438,CD1A,P06126,U
TNFRSF1A,P19438,SYT7,O43581,U
TNFRSF1A,P19438,GPR35,Q9HC97,U
TNFRSF1A,P19438,IFNGR2,P38484,U
TNFRSF1A,P19438,CRTAM,O95727,U
TNFRSF1A,P19438,CD47,Q08722,U
TNFRSF1A,P19438,GPR25,O00155,U
TNFRSF1A,P19438,CCRL2,O00421,U
TNFRSF1A,P19438,CCR4,P51679,U
TNFRSF1A,P19438,TMEM88,Q6PEY1,U
TNFRSF1A,P19438,RNF5,Q99942,U
TNFRSF1A,P19438,LPAR2,Q9HBW0,U
TNFRSF1A,P19438,LHFPL5,Q8TAF8,U
TNFRSF1A,P19438,PTGIR,P43119,U
TNFRSF1A,P19438,OR1A1,Q9P1Q5,U
TNFRSF1A,P19438,OLR1,P78380,U
TNFRSF1A,P19438,CFAP95,Q5VTT2,U
TNFRSF1A,P19438,LILRA5,A6NI73,U
TNFRSF1A,P19438,KCNK12,Q9HB15,U
TNFRSF1A,P19438,TMPRSS11E,Q9UL52,U
TNFRSF1A,P19438,P2RX6,O15547,U
TNFRSF1A,P19438,LAMP2,P13473,U
TNFRSF1A,P19438,TNFSF10,P50591,U
TNFRSF1A,P19438,ORAI1,Q96D31,U
TNFRSF1A,P19438,KCNK16,Q96T55,U
TNFRSF1A,P19438,CHRM1,P11229,U
TNFRSF1A,P19438,PLVAP,Q9BX97,U
TNFRSF1A,P19438,CD3D,P04234,U
TNFRSF1A,P19438,GJD4,Q96KN9,U
TNFRSF1A,P19438,SIGLEC6,O43699,U
TNFRSF1A,P19438,HLA-DRA,P01903,U
TNFRSF1A,P19438,SLC39A2,Q9NP94,U
TNFRSF1A,P19438,GSDMA,Q96QA5,U
TNFRSF1A,P19438,MC1R,Q01726,U
TNFRSF1A,P19438,GJA3,Q9Y6H8,U
TNFRSF1A,P19438,GPRC5A,Q8NFJ5,U
TNFRSF1A,P19438,VIPR2,P41587,U
TNFRSF1A,P19438,CDC50B,Q3MIR4,U
TNFRSF1A,P19438,UPK3B,Q9BT76,U
TNFRSF1A,P19438,TNFSF18,Q9UNG2,U
TNFRSF1A,P19438,HCAR1,Q9BXC0,U
TNFRSF1A,P19438,RELT,Q969Z4,U
TNFRSF1A,P19438,TRAC,P01848,U
TNFRSF1A,P19438,PTGER1,P34995,U
TNFRSF1A,P19438,IYD,Q6PHW0,U
TNFRSF1A,P19438,EDA,Q92838,U
TNFRSF1A,P19438,ARL6IP6,Q8N6S5,U
TNFRSF1A,P19438,DIRAS3,O95661,U
TNFRSF1A,P19438,TGOLN2,O43493,U
