query_gene,query_uniprot,partner_gene,partner_uniprot,class
TP53,P04637,MDM2,Q00987,P
TP53,P04637,MDM4,O15151,P
TP53,P04637,EP300,Q09472,P
TP53,P04637,ZNF778,Q96MU6,U
TP53,P04637,ZNF583,Q96ND8,U
TP53,P04637,KANSL3,Q9P2N6,U
TP53,P04637,ZFP69,Q49AA0,U
TP53,P04637,POLGARF,A0A3B3IS91,U
TP53,P04637,ACD,Q96AP0,U
TP53,P04637,PHF10,Q8WUB8,U
TP53,P04637,RBFOX2,O43251,U
TP53,P04637,FEZF2,Q8TBJ5,U
TP53,P04637,ACTB,P60709,U
TP53,P04637,CCNE2,O96020,U
TP53,P04637,ZNF440,Q8IYI8,U
TP53,P04637,CRNKL1,Q9BZJ0,U
TP53,P04637,ZNF784,Q8NCA9,U
TP53,P04637,NUFIP2,Q7Z417,U
TP53,P04637,RPS6,P62753,U
TP53,P04637,ZNF724,A8MTY0,U
TP53,P04637,BRD2,P25440,U
TP53,P04637,TRAIP,Q9BWF2,U
TP53,P04637,COPS7B,Q9H9Q2,U
TP53,P04637,HOXB5,P09067,U
TP53,P04637,DPH1,Q9BZG8,U
TP53,P04637,POLD2,P49005,U
TP53,P04637,ALKBH1,Q13686,U
TP53,P04637,SP2,Q02086,U
TP53,P04637,NASP,P49321,U
TP53,P04637,NSMCE1,Q8WV22,U
TP53,P04637,RNGTT,O60942,U
TP53,P04637,ARIH1,Q9Y4X5,U
TP53,P04637,SMU1,Q2TAY7,U
TP53,P04637,ATXN1,P54253,U
TP53,P04637,NET1,Q7Z628,U
TP53,P04637,ANAPC5,Q9UJX4,U
TP53,P04637,FGD2,Q7Z6J4,U
TP53,P04637,PLEKHO1,Q53GL0,U
TP53,P04637,ZNF585A,Q6P3V2,U
TP53,P04637,ZNF2,Q9BSG1,U
TP53,P04637,RPS6KA3,P51812,U
TP53,P04637,TLE6,Q9H808,U
TP53,P04637,TUBD1,Q9UJT1,U
TP53,P04637,MX2,P20592,U
TP53,P04637,RAD52,P43351,U
TP53,P04637,UNKL,Q9H9P5,U
TP53,P04637,NUP107,P57740,U
TP53,P04637,ELL,P55199,U
TP53,P04637,GCAT,O75600,U
TP53,P04637,DUX4,Q9UBX2,U
TP53,P04637,AFMID,Q63HM1,U
TP53,P04637,ZNF230,Q9UIE0,U
TP53,P04637,WDR77,Q9BQA1,U
TP53,P04637,RASL12,Q9NYN1,U
TP53,P04637,ZNF780B,Q9Y6R6,U
TP53,P04637,WDR83,Q9BRX9,U
TP53,P04637,ADGRF4,Q8IZF3,U
TP53,P04637,EXOSC10,Q01780,U
TP53,P04637,ACTR3B,Q9P1U1,U
TP53,P04637,FIGNL2,A6NMB9,U
TP53,P04637,ANXA11,P50995,U
TP53,P04637,GRM2,Q14416,U
TP53,P04637,KCNK18,Q7Z418,U
TP53,P04637,C1QTNF3,Q9BXJ4,U
TP53,P04637,DCAF12L2,Q5VW00,U
TP53,P04637,CAPNS1,P04632,U
TP53,P04637,PHYHD1,Q5SRE7,U
TP53,P04637,ANKRD1,Q15327,U
TP53,P04637,ADAM30,Q9UKF2,U
TP53,P04637,GCNT4,Q9P109,U
TP53,P04637,AGPAT2,O15120,U
TP53,P04637,CACUL1,Q86Y37,U
TP53,P04637,ZBTB12,Q9Y330,U
TP53,P04637,RPL3,P39023,U
TP53,P04637,NXPE3,Q969Y0,U
TP53,P04637,CYP4A22,Q5TCH4,U
TP53,P04637,CD2AP,Q9Y5K6,U
TP53,P04637,UMPS,P11172,U
TP53,P04637,RUSF1,Q96GQ5,U
TP53,P04637,TBC1D23,Q9NUY8,U
TP53,P04637,APOE,P02649,U
TP53,P04637,PGM1,P36871,U
TP53,P04637,KRT16,P08779,U
TP53,P04637,PTX3,P26022,U
TP53,P04637,PNMA5,Q96PV4,U
TP53,P04637,SLC44A2,Q8IWA5,U
TP53,P04637,MARK4,Q96L34,U
TP53,P04637,NEUROG2,Q9H2A3,U
TP53,P04637,MRGPRF,Q96AM1,U
TP53,P04637,RNF167,Q9H6Y7,U
TP53,P04637,PPP3CB,P16298,U
TP53,P04637,ALPI,P09923,U
TP53,P04637,HAP1,P54257,U
TP53,P04637,QRFPR,Q96P65,U
TP53,P04637,C2orf42,Q9NWW7,U
TP53,P04637,FAM131C,Q96AQ9,U
TP53,P04637,FTO,Q9C0B1,U
TP53,P04637,CDHR4,A6H8M9,U
TP53,P04637,HNRNPU,Q00839,U
TP53,P04637,SEZ6L2,Q6UXD5,U
TP53,P04637,POMC,P01189,U
TP53,P04637,ESCO1,Q5FWF5,U
TP53,P04637,SULF1,Q8IWU6,U
TP53,P04637,BRIX1,Q8TDN6,U
TP53,P04637,IMPDH1,P20839,U
TP53,P04637,TBX5,Q99593,U
TP53,P04637,INPP4A,Q96PE3,U
TP53,P04637,A1CF,Q9NQ94,U
TP53,P04637,IP6K1,Q92551,U
TP53,P04637,GABPB1,Q06547,U
TP53,P04637,SENP1,Q9P0U3,U
TP53,P04637,SRSF6,Q13247,U
TP53,P04637,UTP11,Q9Y3A2,U
TP53,P04637,DYRK3,O43781,U
TP53,P04637,INTS14,Q96SY0,U
TP53,P04637,NCOA5,Q9HCD5,U
TP53,P04637,CAPG,P40121,U
TP53,P04637,RDM1,Q8NG50,U
TP53,P04637,HORMAD2,Q8N7B1,U
TP53,P04637,PPAN,Q9NQ55,U
TP53,P04637,ZNF671,Q8TAW3,U
TP53,P04637,CPNE2,Q96FN4,U
TP53,P04637,ECSIT,Q9BQ95,U
TP53,P04637,NACC1,Q96RE7,U
TP53,P04637,MLLT1,Q03111,U
