target,model,candidate_set,K,P,panel_size,recovered_P,recall,target_success
ERN1,ipin_baseline,context,1,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,2,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,3,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,4,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,5,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,6,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,7,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,8,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,9,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,10,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,11,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,12,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,context,13,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,14,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,15,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,16,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,17,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,18,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,19,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,20,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,21,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,22,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,23,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,24,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,25,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,26,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,27,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,28,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,29,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,30,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,31,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,32,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,33,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,34,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,35,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,36,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,37,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,38,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,39,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,40,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,41,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,42,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,43,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,44,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,45,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,46,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,47,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,48,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,49,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,context,50,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,1,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,background,2,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,background,3,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,background,4,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,background,5,4,204,0.0,0.0,0.0
ERN1,ipin_baseline,background,6,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,7,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,8,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,9,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,10,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,11,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,12,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,13,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,14,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,15,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,16,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,17,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,18,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,19,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,20,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,21,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,22,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,23,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,24,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,25,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,26,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,27,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,28,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,29,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,30,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,31,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,32,4,204,1.0,0.25,1.0
ERN1,ipin_baseline,background,33,4,204,1.0,0.25,1.0
