target,model,group,n,mean,sd,q25,median,q75,min,max
ERN1,ipin_baseline,P,4,-2.3486565152804055,0.968336551502453,-3.010132114092509,-2.608065962791443,-1.9465903639793396,-3.1607515017191568,-1.01774263381958
ERN1,ipin_baseline,context,200,-2.30483828430064,0.7695886203330338,-2.8100933035214744,-2.3135147492090864,-1.7930814623832703,-4.345294157663981,-0.04554210292796294
ERN1,ipin_baseline,background,200,-2.4345380900303524,0.6950557576343289,-2.922676245371501,-2.481640934944153,-1.9258797069390616,-4.220532417297363,-0.449388066927592
ERN1,ipin_baseline,low_plausibility,200,-2.4113451412320135,0.6824676044795578,-2.847037613391876,-2.4245600303014117,-1.9525228142738342,-4.2609788576761884,-0.5097908874352773
ERN1,ipin_optimized,P,4,-2.6935492753982544,1.1499540775312722,-3.271981120109558,-3.2111804485321045,-2.632748603820801,-3.378861904144287,-0.9729743003845215
ERN1,ipin_optimized,context,200,-2.808629444713394,1.1049757358453383,-3.5087186098098755,-2.791534384091695,-2.100181976954142,-5.5610965092976885,1.4458764990170796
ERN1,ipin_optimized,background,200,-2.8599883290876944,1.124392965257668,-3.6026371320088706,-2.9562911589940386,-2.1461597084999084,-6.347154935201009,0.8991517225901285
ERN1,ipin_optimized,low_plausibility,200,-2.8606761559347316,0.939296685409001,-3.419161061445872,-2.8552944660186768,-2.232132961352666,-5.439314683278401,-0.4103053907553355
ERN1,tuna_retrained,P,4,-8.064622541268667,3.167343524413113,-9.363647699356079,-8.678994178771973,-7.379969020684561,-11.230369567871094,-3.6701322396596274
ERN1,tuna_retrained,context,200,-9.081748169263204,1.6470324831121155,-10.054783582687378,-9.005491336186727,-7.914655725161235,-15.141643842061361,-4.17361044883728
ERN1,tuna_retrained,background,200,-10.288885308106742,1.828719226045545,-11.64708924293518,-10.25665561358134,-9.06052851676941,-15.359724044799805,-5.246722380320231
ERN1,tuna_retrained,low_plausibility,200,-11.307736353874207,1.6409410937618738,-12.424685796101887,-11.365013758341473,-10.342439969380695,-15.311586697896322,-5.329758485158284
