target,new_U,tier_A,tier_B,annotation_quality_0,annotation_quality_1,annotation_quality_2,annotation_quality_3,median_length_ratio,min_length_ratio,max_length_ratio
ERN1,200,200,0,200,0,0,0,1.003629892323902,0.8904810644831116,1.1238485158648925
TP53,150,150,0,25,99,4,22,0.9051020408163266,0.5086992543496272,1.7637474541751528
EGFR,150,11,139,142,4,1,3,0.9873068432671082,0.5161290322580645,1.5852534562211982
BCL2,150,150,0,30,120,0,0,1.0429292929292928,0.6904761904761905,1.97979797979798
KEAP1,150,150,0,55,95,0,0,0.9227272727272727,0.5022727272727273,1.8072916666666667
BRCA1,150,150,0,17,92,5,36,0.7339797639123102,0.5045045045045045,1.5492393915132106
KRAS,150,150,0,47,103,0,0,0.8675818970785967,0.5,1.8120104438642297
CDK2,150,150,0,64,86,0,0,1.0108375420875422,0.697560975609756,1.8587962962962963
HIF1A,150,150,0,61,63,4,22,0.9295774647887325,0.5086992543496272,1.84037558685446
CTNNB1,150,150,0,43,107,0,0,0.7755102040816326,0.5,1.944812362030905
TNFRSF1A,150,150,0,150,0,0,0,1.0390243902439025,0.7121951219512195,1.2231759656652361
BECN1,150,150,0,63,87,0,0,0.9815546599672005,0.602510460251046,1.9856938483547926
