target,partner_uniprot,partner_sequence_sha256,anchor_positive_uniprot,U_stratum,partner_length,anchor_compartment,anchor_transmembrane,partner_transmembrane,partner_subcellular_location,meets_anchor_context_rule
ERN1,P13569,a86f7dbeb9c5f48401a1a452b440d782c35067d2da152180a09ce26f76d11639,O75460,context,1480,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12519745, ECO:0000269|PubMed:12529365, ECO:0000269|PubMed:1284548, ECO:0000269|PubMed:15247260, ECO:0000269|PubMed:15716351, ECO:0000269|PubMed:17462998, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:19621064, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:22207244, ECO:0000269|PubMed:28130590}; Multi-pass membrane protein {ECO:0000269|Ref.57}. Early endosome membrane {ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117}; Multi-pass membrane protein {ECO:0000269|Ref.57}. Cell membrane {ECO:0000269|PubMed:10792060, ECO:0000269|PubMed:11524016, ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:12588899, ECO:0000269|PubMed:15010471, ECO:0000269|PubMed:17036051, ECO:0000269|PubMed:1712898, ECO:0000269|PubMed:17182731, ECO:0000269|PubMed:19019741, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22178883, ECO:0000269|PubMed:25330774, ECO:0000269|PubMed:26846474, ECO:0000269|PubMed:28001373, ECO:0000269|PubMed:28067262, ECO:0000269|PubMed:28087700, ECO:0000269|PubMed:28130590, ECO:0000269|PubMed:9804160, ECO:0000305|PubMed:8910473}; Multi-pass membrane protein {ECO:0000269|Ref.57}. Recycling endosome membrane {ECO:0000305|PubMed:17462998}; Multi-pass membrane protein {ECO:0000269|Ref.57}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:11707463, ECO:0000269|PubMed:25330774}; Multi-pass membrane protein {ECO:0000269|Ref.57}. Nucleus {ECO:0000250|UniProtKB:P34158}. Note=The channel is internalized from the cell surface into an endosomal recycling compartment, from where it is recycled to the cell membrane (PubMed:17462998, PubMed:19398555, PubMed:20008117). In the oviduct and bronchus, detected on the apical side of epithelial cells, but not associated with cilia (PubMed:22207244). In Sertoli cells, a processed product is detected in the nucleus (By similarity). ER stress induces GORASP2-mediated unconventional (ER/Golgi-independent) trafficking of core-glycosylated CFTR to cell membrane (PubMed:21884936). {ECO:0000250|UniProtKB:P34158, ECO:0000269|PubMed:19398555, ECO:0000269|PubMed:20008117, ECO:0000269|PubMed:21884936, ECO:0000269|PubMed:22207244, ECO:0000305|PubMed:17462998}.",True
ERN1,Q9NYK1,3eea137da930d96e7e51d6f68a027b9ced8d98c4baf44a6e450220fc83c678d0,O75460,context,1049,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P58681}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:P58681}. Endosome {ECO:0000250|UniProtKB:P58681}. Lysosome {ECO:0000250|UniProtKB:P58681}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:P58681}. Note=Relocalizes from endoplasmic reticulum to endosome and lysosome upon stimulation with agonist. {ECO:0000250|UniProtKB:P58681}.",True
ERN1,Q8TCJ2,68e619b342e65a503be4bd27c2c918f5de011499cfbceca37ba8471d38c78c76,O75460,context,826,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000269|PubMed:12887896}. Endoplasmic reticulum membrane; Multi-pass membrane protein {ECO:0000250|UniProtKB:P39007}.,True
ERN1,Q86YC3,83756936433757a1584b398b298152b34f7d376ff75f3f1f094ddfed100e827b,O75460,context,692,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23545260, ECO:0000269|PubMed:29909984}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:32197075}; Single-pass type I membrane protein {ECO:0000255}.",True
ERN1,Q8NCR0,9eab93008f8c3a13effca6a94bf188200f9f249ef3e439ec5ca53129f8952d88,O75460,context,500,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Endoplasmic reticulum {ECO:0000269|PubMed:23453667}.,True
ERN1,P45844,14ebebc09ac11084aa987dff44b7729ba605376428180a096cfc5ef2b28334ec,O75460,context,678,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Golgi apparatus membrane {ECO:0000269|PubMed:22042635}; Multi-pass membrane protein {ECO:0000269|PubMed:22042635}. Cell membrane {ECO:0000269|PubMed:16702602, ECO:0000269|PubMed:24576892}. Note=Predominantly localized in the intracellular compartments mainly associated with the endoplasmic reticulum (ER) and Golgi membranes.",True
ERN1,O43909,d15b3d2146fc79a27bb98fb6428921b2df45ac0b24f5a9271d978db4096795bb,O75460,context,919,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:10639137}; Single-pass type II membrane protein {ECO:0000269|PubMed:10639137}. Golgi apparatus {ECO:0000269|PubMed:28132690}. Cell membrane {ECO:0000269|PubMed:19158046}. Nucleus {ECO:0000269|PubMed:19158046}. Note=Interaction with REG3A induces its translocation to the nucleus. {ECO:0000269|PubMed:19158046}.,True
ERN1,Q96S52,47cb1df5b5e38c70e94c254f5867c0b0571da522ea88ea12ce4ddaf224bb1bf0,O75460,context,555,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305|PubMed:35165458, ECO:0000305|PubMed:35551457}; Multi-pass membrane protein {ECO:0000269|PubMed:35165458, ECO:0000269|PubMed:35551457}.",True
ERN1,Q5VV42,953bb915470572d6fcacec27790b3308fcde3109b505eda96a209a3c847f7d76,O75460,context,579,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:23048041}; Single-pass membrane protein {ECO:0000255}. Note=Is a tail-anchored protein that exploits the TCR40 pathway for insertion into the endoplasmic reticulum. {ECO:0000269|PubMed:23048041}.,True
ERN1,Q8NEN9,e0d1eee43a930fe304d0c6721a8ec9a2aba7cde17c5a837ff157c097637189a8,O75460,context,1154,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29097544, ECO:0000269|PubMed:31818884, ECO:0000269|PubMed:33912962, ECO:0000269|PubMed:40839735, ECO:0000269|PubMed:41512824}; Single-pass membrane protein {ECO:0000255}. Note=Localizes at mitochondria-endoplasmic reticulum contact sites (PubMed:29097544, PubMed:31818884, PubMed:41512824). Localizes at late endosome- and lysosome-endoplasmic reticulum contact sites (PubMed:31636202, PubMed:32686675, PubMed:33912962, PubMed:41512824). Localizes at lysosome-endoplasmic reticulum contact sites in response to osmotic stress (PubMed:40839735). {ECO:0000269|PubMed:29097544, ECO:0000269|PubMed:31636202, ECO:0000269|PubMed:31818884, ECO:0000269|PubMed:32686675, ECO:0000269|PubMed:33912962, ECO:0000269|PubMed:40839735, ECO:0000269|PubMed:41512824}.",True
ERN1,O95427,32ed101c91dea75050a57967d85546c13791a8f4c248e144c19c2bebd2b473c8,O75460,context,931,endoplasmic reticulum,True,True,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9R1S3}; Multi-pass membrane protein {ECO:0000255}.,True
ERN1,Q9NTJ5,12d4559fd8bd506b961b3515a3ebee0aa9db8a9980aed28844ae161701d4b26b,O75460,context,587,endoplasmic reticulum,True,True,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:27044890, ECO:0000269|PubMed:29461204, ECO:0000269|PubMed:31806350}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000269|PubMed:29461204, ECO:0000269|PubMed:31806350}. Note=Trafficking between the ER and Golgi is regulated by nutrient status and by TMEM39A (PubMed:31806350). Localizes to endoplasmic reticulum-plasma membrane contact sites (EPCS) in the presence of phosphatidylinositol-4,5-bisphosphate (PubMed:27044890). {ECO:0000269|PubMed:27044890, ECO:0000269|PubMed:31806350}.",True
