target,cohort,model,anchors,context_n,background_n,context_mean,context_median,context_q25,context_q75,context_sd,background_mean,background_median,background_q25,background_q75,background_sd,mean_difference,median_difference,unstratified_A,unstratified_rank_biserial,KS_distance,anchor_matched_A,anchor_matched_rank_biserial,A_context_vs_nonmatching_background,top20_U_context_fraction,P_vs_context_concordance,P_vs_background_concordance
ERN1,original_six,ipin_baseline,4,200,200,-2.30483828430064,-2.3135147492090864,-2.8100933035214744,-1.7930814623832703,0.7695886203330338,-2.4345380900303524,-2.481640934944153,-2.922676245371501,-1.9258797069390616,0.6950557576343289,0.1296998057297123,0.16812618573506644,0.547225,0.09444999999999992,0.12,0.5474,0.0948,0.5481972789115647,0.75,0.46,0.49
ERN1,original_six,ipin_optimized,4,200,200,-2.808629444713394,-2.791534384091695,-3.5087186098098755,-2.100181976954142,1.1049757358453383,-2.8599883290876944,-2.9562911589940386,-3.6026371320088706,-2.1461597084999084,1.124392965257668,0.05135888437430047,0.16475677490234375,0.5231,0.04620000000000002,0.08,0.5245,0.04899999999999993,0.5234715136054422,0.55,0.49,0.52
ERN1,original_six,tuna_retrained,4,200,200,-9.081748172442119,-9.005491336186727,-10.054783582687378,-7.914655725161235,1.6470324838244392,-10.288885314464569,-10.25665561358134,-11.64708924293518,-9.06052851676941,1.8287192290737506,1.2071371420224501,1.2511642773946132,0.6936,0.3872,0.295,0.6888,0.37759999999999994,0.6911500850340137,0.65,0.57375,0.74125
TP53,original_six,ipin_baseline,3,150,150,-1.5260765737709072,-1.5542518695195515,-2.000596741835276,-1.0714506606260936,0.7472278959436693,-1.988306169178751,-1.9103891253471375,-2.5912047028541565,-1.2071378926436107,1.0811439016072222,0.4622295954078437,0.35613725582758593,0.6257333333333334,0.2514666666666667,0.22666666666666666,0.6218666666666667,0.24373333333333336,0.6548994708994709,0.65,0.44222222222222224,0.5888888888888889
TP53,original_six,ipin_optimized,3,150,150,-1.0205630827446779,-1.2309759159882865,-1.7199956079324086,-0.31714170922835666,0.9992391546127326,-1.5963851497901809,-1.6515149374802909,-2.442881027857463,-0.6330987637241682,1.320087113522899,0.575822067045503,0.4205390214920044,0.6238666666666667,0.24773333333333336,0.23333333333333334,0.6205333333333334,0.24106666666666676,0.6363968253968254,0.6,0.4,0.5555555555555556
TP53,original_six,tuna_retrained,3,150,150,-7.363926980230544,-7.306997696558635,-8.403077483177185,-6.425872762997945,1.4134767367942624,-8.694056441254087,-8.27349305152893,-9.786060651143393,-7.181478778521219,2.2165247219687227,1.3301294610235432,0.9664953549702959,0.6756,0.35119999999999996,0.2866666666666667,0.6753333333333332,0.35066666666666646,0.7232380952380953,0.75,0.7555555555555555,0.8933333333333333
EGFR,original_six,ipin_baseline,3,150,150,-2.0620234573384124,-2.102021912733714,-2.565323452154795,-1.6189379195372264,0.8280183236199571,-2.1701748647209667,-2.086156924565633,-2.696657180786133,-1.6952723463376362,0.876971280007135,0.10815140738255424,-0.01586498816808124,0.5195111111111111,0.03902222222222229,0.08,0.5201333333333333,0.04026666666666667,0.5206397306397307,0.65,0.6266666666666667,0.6466666666666666
EGFR,original_six,ipin_optimized,3,150,150,-2.421530418487059,-2.597136418024699,-3.1898653904596963,-1.799104114373525,1.2928658500061667,-2.413772400700384,-2.4774616956710815,-3.2333468198776245,-1.619794880350431,1.233553909054357,-0.007758017786675175,-0.11967472235361765,0.49146666666666666,-0.017066666666666674,0.10666666666666667,0.4930666666666667,-0.013866666666666583,0.45621212121212124,0.6,0.6666666666666666,0.6
EGFR,original_six,tuna_retrained,3,150,150,-10.452430442704093,-10.526299794514975,-11.781037171681723,-9.193563501040142,2.040954680414261,-9.766734175152248,-9.829443295796713,-10.874382495880127,-8.422068277994791,1.764908584311124,-0.6856962675518457,-0.6968564987182617,0.38608888888888887,-0.22782222222222226,0.21333333333333335,0.38453333333333334,-0.23093333333333332,0.33106060606060606,0.45,0.7777777777777778,0.68
BCL2,original_six,ipin_baseline,3,150,150,-2.501257790194618,-2.502261797587077,-3.1483330726623535,-1.8644205629825592,0.8803633363908514,-2.541747314797507,-2.5785729090372724,-3.1046579281489053,-1.8773006300131478,0.9734302955802424,0.040489524602889126,0.07631111145019531,0.5152888888888889,0.030577777777777815,0.08,0.5157333333333334,0.031466666666666754,0.5209555450087012,0.4,0.9666666666666667,0.9533333333333334
