species,target_id,subset,candidate_set,P,U,evaluable
mouse,mouse:P22725,all,background,2,100,True
mouse,mouse:P22725,all,matched,2,100,True
mouse,mouse:P22725,all,all_U,2,200,True
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,background,2,98,True
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P22725,no_exact_TRAIN_DEV_endpoint,all_U,2,198,True
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,background,2,98,True
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P22725,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,198,True
mouse,mouse:P47242,all,background,2,100,True
mouse,mouse:P47242,all,matched,2,100,True
mouse,mouse:P47242,all,all_U,2,200,True
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,background,2,100,True
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P47242,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P47242,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
mouse,mouse:Q9JL10,all,background,7,100,True
mouse,mouse:Q9JL10,all,matched,7,100,True
mouse,mouse:Q9JL10,all,all_U,7,200,True
mouse,mouse:Q9JL10,no_exact_TRAIN_DEV_endpoint,background,7,98,True
mouse,mouse:Q9JL10,no_exact_TRAIN_DEV_endpoint,matched,7,99,True
mouse,mouse:Q9JL10,no_exact_TRAIN_DEV_endpoint,all_U,7,197,True
mouse,mouse:Q9JL10,no_exact_any_model_TRAIN_DEV_endpoint,background,7,98,True
mouse,mouse:Q9JL10,no_exact_any_model_TRAIN_DEV_endpoint,matched,7,99,True
mouse,mouse:Q9JL10,no_exact_any_model_TRAIN_DEV_endpoint,all_U,7,197,True
mouse,mouse:Q6P9Y7,all,background,2,100,True
mouse,mouse:Q6P9Y7,all,matched,2,100,True
mouse,mouse:Q6P9Y7,all,all_U,2,200,True
mouse,mouse:Q6P9Y7,no_exact_TRAIN_DEV_endpoint,background,2,100,True
mouse,mouse:Q6P9Y7,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:Q6P9Y7,no_exact_TRAIN_DEV_endpoint,all_U,2,200,True
mouse,mouse:Q6P9Y7,no_exact_any_model_TRAIN_DEV_endpoint,background,2,100,True
mouse,mouse:Q6P9Y7,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:Q6P9Y7,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,200,True
mouse,mouse:Q9CZA6,all,background,5,100,True
mouse,mouse:Q9CZA6,all,matched,5,100,True
mouse,mouse:Q9CZA6,all,all_U,5,200,True
mouse,mouse:Q9CZA6,no_exact_TRAIN_DEV_endpoint,background,5,97,True
mouse,mouse:Q9CZA6,no_exact_TRAIN_DEV_endpoint,matched,5,97,True
mouse,mouse:Q9CZA6,no_exact_TRAIN_DEV_endpoint,all_U,5,194,True
mouse,mouse:Q9CZA6,no_exact_any_model_TRAIN_DEV_endpoint,background,5,97,True
mouse,mouse:Q9CZA6,no_exact_any_model_TRAIN_DEV_endpoint,matched,5,97,True
mouse,mouse:Q9CZA6,no_exact_any_model_TRAIN_DEV_endpoint,all_U,5,194,True
mouse,mouse:P70217,all,background,2,100,True
mouse,mouse:P70217,all,matched,2,100,True
mouse,mouse:P70217,all,all_U,2,200,True
mouse,mouse:P70217,no_exact_TRAIN_DEV_endpoint,background,2,98,True
mouse,mouse:P70217,no_exact_TRAIN_DEV_endpoint,matched,2,99,True
mouse,mouse:P70217,no_exact_TRAIN_DEV_endpoint,all_U,2,197,True
mouse,mouse:P70217,no_exact_any_model_TRAIN_DEV_endpoint,background,2,96,True
mouse,mouse:P70217,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,98,True
mouse,mouse:P70217,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,194,True
mouse,mouse:Q9QX99,all,background,4,100,True
mouse,mouse:Q9QX99,all,matched,4,100,True
mouse,mouse:Q9QX99,all,all_U,4,200,True
mouse,mouse:Q9QX99,no_exact_TRAIN_DEV_endpoint,background,4,97,True
mouse,mouse:Q9QX99,no_exact_TRAIN_DEV_endpoint,matched,4,99,True
mouse,mouse:Q9QX99,no_exact_TRAIN_DEV_endpoint,all_U,4,196,True
mouse,mouse:Q9QX99,no_exact_any_model_TRAIN_DEV_endpoint,background,4,96,True
mouse,mouse:Q9QX99,no_exact_any_model_TRAIN_DEV_endpoint,matched,4,99,True
mouse,mouse:Q9QX99,no_exact_any_model_TRAIN_DEV_endpoint,all_U,4,195,True
mouse,mouse:P53776,all,background,3,100,True
mouse,mouse:P53776,all,matched,3,100,True
mouse,mouse:P53776,all,all_U,3,200,True
mouse,mouse:P53776,no_exact_TRAIN_DEV_endpoint,background,3,99,True
mouse,mouse:P53776,no_exact_TRAIN_DEV_endpoint,matched,3,100,True
mouse,mouse:P53776,no_exact_TRAIN_DEV_endpoint,all_U,3,199,True
mouse,mouse:P53776,no_exact_any_model_TRAIN_DEV_endpoint,background,3,98,True
mouse,mouse:P53776,no_exact_any_model_TRAIN_DEV_endpoint,matched,3,100,True
mouse,mouse:P53776,no_exact_any_model_TRAIN_DEV_endpoint,all_U,3,198,True
mouse,mouse:P08152,all,background,2,100,True
mouse,mouse:P08152,all,matched,2,100,True
mouse,mouse:P08152,all,all_U,2,200,True
mouse,mouse:P08152,no_exact_TRAIN_DEV_endpoint,background,1,96,True
mouse,mouse:P08152,no_exact_TRAIN_DEV_endpoint,matched,1,98,True
mouse,mouse:P08152,no_exact_TRAIN_DEV_endpoint,all_U,1,194,True
mouse,mouse:P08152,no_exact_any_model_TRAIN_DEV_endpoint,background,1,96,True
mouse,mouse:P08152,no_exact_any_model_TRAIN_DEV_endpoint,matched,1,95,True
mouse,mouse:P08152,no_exact_any_model_TRAIN_DEV_endpoint,all_U,1,191,True
mouse,mouse:Q61909,all,background,9,100,True
mouse,mouse:Q61909,all,matched,9,100,True
mouse,mouse:Q61909,all,all_U,9,200,True
mouse,mouse:Q61909,no_exact_TRAIN_DEV_endpoint,background,9,97,True
mouse,mouse:Q61909,no_exact_TRAIN_DEV_endpoint,matched,9,99,True
mouse,mouse:Q61909,no_exact_TRAIN_DEV_endpoint,all_U,9,196,True
mouse,mouse:Q61909,no_exact_any_model_TRAIN_DEV_endpoint,background,9,97,True
mouse,mouse:Q61909,no_exact_any_model_TRAIN_DEV_endpoint,matched,9,99,True
mouse,mouse:Q61909,no_exact_any_model_TRAIN_DEV_endpoint,all_U,9,196,True
mouse,mouse:P68040,all,background,2,100,True
mouse,mouse:P68040,all,matched,2,100,True
mouse,mouse:P68040,all,all_U,2,200,True
mouse,mouse:P68040,no_exact_TRAIN_DEV_endpoint,background,2,98,True
mouse,mouse:P68040,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P68040,no_exact_TRAIN_DEV_endpoint,all_U,2,198,True
mouse,mouse:P68040,no_exact_any_model_TRAIN_DEV_endpoint,background,2,97,True
mouse,mouse:P68040,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P68040,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,197,True
mouse,mouse:P04228,all,background,2,100,True
mouse,mouse:P04228,all,matched,2,100,True
mouse,mouse:P04228,all,all_U,2,200,True
mouse,mouse:P04228,no_exact_TRAIN_DEV_endpoint,background,2,99,True
mouse,mouse:P04228,no_exact_TRAIN_DEV_endpoint,matched,2,100,True
mouse,mouse:P04228,no_exact_TRAIN_DEV_endpoint,all_U,2,199,True
mouse,mouse:P04228,no_exact_any_model_TRAIN_DEV_endpoint,background,2,97,True
mouse,mouse:P04228,no_exact_any_model_TRAIN_DEV_endpoint,matched,2,99,True
mouse,mouse:P04228,no_exact_any_model_TRAIN_DEV_endpoint,all_U,2,196,True
mouse,mouse:Q9CXU1,all,background,3,100,True
mouse,mouse:Q9CXU1,all,matched,3,100,True
