sequence_sha256,historical_exact_TRAIN_endpoint,historical_exact_DEV_endpoint,exact_train_31k_P_endpoint,exact_train_U_pool_endpoint,exact_expanded_development_endpoint,any_model_exact_TRAIN_DEV_endpoint,newly_flagged_endpoint
0000fa68d140b41f2f99cbff14b4d37985e152f7a2b6cbac044151d8b2864b70,False,False,False,False,False,False,False
00025ccccf047781bdab70f2bcc2c88f59bb2bce050bb938a6eb66615b789427,False,False,False,False,False,False,False
0003f66a748760134b0405bb081912bf613823723ad1a0679d92d5dd35a4ca3b,False,False,False,False,False,False,False
00097075144cfc5e52ddb344817359fef451898759f98a2a550eb067ffabd09f,False,False,False,False,False,False,False
000c33aab13462439a7a323c1a82ecb0d32ea5bdc7f6b71a771c8ae746d35505,False,False,False,False,False,False,False
0010bb41c1665c983ad4cd796c02ff2ed82338bf77f20b923c9a838d4c258f2e,False,False,False,False,False,False,False
0013f6a83b8a3fcfbe432dcd5cb7df3b9259a5692e196637c7a0370f74c47b95,False,False,False,False,False,False,False
001594b905670e913e645ea91909b6dfa709729825581373325481860fbb8515,False,False,False,False,False,False,False
001624eb8a88b84d51d9cc2b03b01c1e399d51bce4395086cf915e11ed44cc0e,False,False,False,False,False,False,False
0017b3e0e04761407c564c80a5ae45cf7384fc7b4aa78632224bd4d05655dc91,False,False,False,False,False,False,False
0019a368dd69c9ac98d534a672f5bab3c6d0fcbb2ad07afb5bcb1f73938d1fad,False,False,False,False,False,False,False
001ae4874439b4c5fd63125acfd88de90a7d3f6c38a125bab84515483f5ea557,False,False,False,False,False,False,False
001b8a07c4e54611ff6b2a72003024a1d1012fef6902010d32706c05647067f1,False,False,False,False,False,False,False
001e81727734278ac6c0582b5705e58788f1c8bdff2b573f120f6f034d44ec21,False,False,False,False,False,False,False
00202982623d3dbbd033cb22817f1ecfc3b5f04d91871d99913600e39407109d,False,False,False,False,False,False,False
0023b5b6f8de04cdbf50239e3d994bec524180965039115c0b4656b7f0aa90aa,False,False,False,False,False,False,False
0025906dc7a494fb1b88d3f9315a3b491c2de17ddf247eeda05da3de8b950daa,False,False,False,False,False,False,False
002a98fba3fcef78f7e01c77e53e73178c969a4a11e993dd0330ecc8337fab2a,False,False,False,False,False,False,False
002b2705e4cb59aa26f6680a950eadca71fa139a3d81f0e77c8b0660758f1965,False,False,False,False,False,False,False
002e0dea1eb20b55464d502e439c9842e03db9937ecb3d4a5dbbdf8e8703135a,False,False,False,False,False,False,False
003563c695a218eb08656d49ab531cf2f36ba93504e7786664ce3f26a5155ec0,False,False,False,False,False,False,False
0038d03db8c899e1cd2052e7d51c48df4014c39e31a7e177ae1f1e7601421cb1,False,False,False,False,False,False,False
0039faecf73a38dee2a4deaf0a71b3ee1cfc3c03759e10c73505e52dfb008d32,False,False,False,False,False,False,False
003bc6b816d65be5924a41d8c5fc205a2363994c04bf69f9d65941c5e687b32a,False,False,False,False,False,False,False
004723012b148193e98969c366e8db3a74584057170650499b27fe4f69e0a933,False,False,False,False,False,False,False
0049d7bcdca5d63c9ef98a34768c61597397f55c50e0c9534744858ed69b8c52,False,False,False,False,False,False,False
004aba0f617dbd3912aa8ea9483b41c3845b5fe5a2cd61623d3c2106aeb64cfd,False,False,False,False,False,False,False
00519d866a9b814400bd58ea5f8f4c7d80330a9a22baac37b5dbee0047a50085,False,False,False,False,False,False,False
0054f63b41c0acc76ca59b31e31dfad2b649d5a8c630eea8a29512256afc18ca,False,False,False,False,False,False,False
00595c9e11b7ae258ae1832c870c6118ce40e259f5526208e80480d276d71492,False,False,False,False,False,False,False
005c78549575666c079addc31784cdf9aab0777517df42cea0abeea47711d834,False,False,False,False,False,False,False
005cc2f59fce9b35c4d42fe0b33dbef074aa5d383d3f970eb6e31ac61074c14d,False,False,False,False,False,False,False
005d958a34e9ce8e4c953dd53b36c07ac4d8c8ebf81a6f714664ca9c07544d5d,False,False,False,False,False,False,False
005e196e89febf40e4fc4258e058f123fc6ee61ba419d0c7885da28e38b45fdd,False,False,False,False,False,False,False
005e45e18fb1f3ed791343cf048f6cc0925252c5a01ceed58fe13998258bb04c,False,False,False,False,False,False,False
0060e0746c7e6eb283a9711f5ee664d2bdee825cff53cf94c4bb3885eb746a5c,False,False,False,False,False,False,False
00615144fe47d1adf524c0beab94b017b40ff4da96f7f70a016b2fc6864e6bee,False,False,False,False,False,False,False
0062fe42462c5420713d82ce6c23963aab8ce22a7e60484a53511ccdb835f7cc,False,False,False,False,False,False,False
0063e57a06b7f986c09fcc27836724b5436954176499145fa415e6a447792647,False,False,False,False,False,False,False
00646b190d78d745c3a4340593e1206ebfcdf95b2eb59af37e9d7bb3d0dd9b7c,False,False,False,False,False,False,False
0067655223a410a23d2bce013abf4473c3f5dcbdc957ef2fc76dd41229855bb3,False,False,False,False,False,False,False
0068d31f4f5b20c4bda2a4e2b89fd413772635da76d6e4adf07757010360ab2d,False,False,False,False,False,False,False
