species,subset,candidate_set,metric,model_a,model_b,targets,difference_b_minus_a,ci_low,ci_high
mouse,all,background,P_vs_U_concordance,ipin_baseline,ipin_optimized,50,-0.020442380952380934,-0.0552167023809524,0.011471166666666546
mouse,all,background,P_vs_U_concordance,ipin_baseline,tuna_retrained,50,-0.03314333333333319,-0.07161801984127006,0.0032061904761904146
mouse,all,background,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.021549365079365,-0.013436095238095346,0.054783511904761995
mouse,all,background,P_vs_U_concordance,ipin_optimized,tuna_retrained,50,-0.012700952380952257,-0.048368210317460296,0.022738515873016094
mouse,all,background,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.041991746031745936,-7.536507936486622e-05,0.08606084126984137
mouse,all,background,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,0.05469269841269819,0.01438984523809527,0.0990032857142856
mouse,all,background,average_precision,ipin_baseline,ipin_optimized,50,-0.016538682922088876,-0.055771371906703206,0.02267589411668572
mouse,all,background,average_precision,ipin_baseline,tuna_retrained,50,-0.008301498170234095,-0.06609261194681333,0.04689567816784264
mouse,all,background,average_precision,ipin_baseline,ipin_tuna_31k,50,-0.0013831496403906574,-0.06120437583485254,0.05776551154709703
mouse,all,background,average_precision,ipin_optimized,tuna_retrained,50,0.008237184751854781,-0.04158032643871393,0.054982533209492604
mouse,all,background,average_precision,ipin_optimized,ipin_tuna_31k,50,0.015155533281698219,-0.03607568024289869,0.06697282900205169
mouse,all,background,average_precision,tuna_retrained,ipin_tuna_31k,50,0.006918348529843438,-0.03916306926581493,0.05243186022460417
mouse,all,background,reciprocal_rank,ipin_baseline,ipin_optimized,50,-0.014927343314942165,-0.09129541877280233,0.06100487149171154
mouse,all,background,reciprocal_rank,ipin_baseline,tuna_retrained,50,-0.0039783884410938275,-0.10951982765810529,0.10122746087970516
mouse,all,background,reciprocal_rank,ipin_baseline,ipin_tuna_31k,50,0.0074232964220738995,-0.11017196561308769,0.12243628759591793
mouse,all,background,reciprocal_rank,ipin_optimized,tuna_retrained,50,0.010948954873848338,-0.05773195732685578,0.08429848420286701
mouse,all,background,reciprocal_rank,ipin_optimized,ipin_tuna_31k,50,0.022350639737016065,-0.0670087240096558,0.11295883570080412
mouse,all,background,reciprocal_rank,tuna_retrained,ipin_tuna_31k,50,0.011401684863167727,-0.08225244777815797,0.10296227827902607
mouse,all,background,recall_at_10,ipin_baseline,ipin_optimized,50,-0.008222222222222242,-0.09122499999999999,0.07984325396825398
mouse,all,background,recall_at_10,ipin_baseline,tuna_retrained,50,0.069063492063492,-0.021269841269841272,0.1607019841269841
mouse,all,background,recall_at_10,ipin_baseline,ipin_tuna_31k,50,0.0609365079365079,-0.028492063492063457,0.15197023809523807
mouse,all,background,recall_at_10,ipin_optimized,tuna_retrained,50,0.07728571428571424,-0.01541269841269838,0.1734761904761904
mouse,all,background,recall_at_10,ipin_optimized,ipin_tuna_31k,50,0.06915873015873014,-0.04058769841269844,0.18088928571428578
mouse,all,background,recall_at_10,tuna_retrained,ipin_tuna_31k,50,-0.008126984126984094,-0.08778055555555551,0.07238253968253966
mouse,all,background,NDCG_at_10,ipin_baseline,ipin_optimized,50,-0.01289390756991407,-0.0671018538382384,0.0434501353756776
mouse,all,background,NDCG_at_10,ipin_baseline,tuna_retrained,50,0.022379301754869962,-0.05458316561441002,0.09682908790911218
mouse,all,background,NDCG_at_10,ipin_baseline,ipin_tuna_31k,50,0.019668903784582303,-0.0612593692018276,0.09913577410993209
mouse,all,background,NDCG_at_10,ipin_optimized,tuna_retrained,50,0.03527320932478403,-0.028774343847614424,0.09917504610118695
mouse,all,background,NDCG_at_10,ipin_optimized,ipin_tuna_31k,50,0.032562811354496374,-0.04439849600948093,0.10795727309492313
mouse,all,background,NDCG_at_10,tuna_retrained,ipin_tuna_31k,50,-0.002710397970287659,-0.06231973740442007,0.05536607824102667
mouse,all,matched,P_vs_U_concordance,ipin_baseline,ipin_optimized,50,-0.008745793650793754,-0.04641763888888877,0.027681750000000088
mouse,all,matched,P_vs_U_concordance,ipin_baseline,tuna_retrained,50,-0.01228182539682554,-0.051832672619047525,0.02493042261904755
mouse,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.03355015873015854,-0.0036715595238095184,0.0709407341269842
mouse,all,matched,P_vs_U_concordance,ipin_optimized,tuna_retrained,50,-0.003536031746031787,-0.039630908730158655,0.03271697222222229
mouse,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.042295952380952295,-0.004499273809523821,0.09217492261904771
mouse,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,0.04583198412698408,0.00522731547619062,0.09231842460317449
mouse,all,matched,average_precision,ipin_baseline,ipin_optimized,50,-0.019984643015658998,-0.05570326312170339,0.012687476264275448
mouse,all,matched,average_precision,ipin_baseline,tuna_retrained,50,0.012202179437220545,-0.04274339623661926,0.06368422149033426
mouse,all,matched,average_precision,ipin_baseline,ipin_tuna_31k,50,0.0038470855909052415,-0.05952851188836608,0.06566924731938156
mouse,all,matched,average_precision,ipin_optimized,tuna_retrained,50,0.03218682245287954,-0.011796942980966658,0.0764939282925926
mouse,all,matched,average_precision,ipin_optimized,ipin_tuna_31k,50,0.02383172860656424,-0.03636074245383608,0.0830155807994552
mouse,all,matched,average_precision,tuna_retrained,ipin_tuna_31k,50,-0.008355093846315303,-0.06639324468686972,0.044771101049458056
mouse,all,matched,reciprocal_rank,ipin_baseline,ipin_optimized,50,-0.051336365447035515,-0.11014574738962461,0.0008910021230987999
mouse,all,matched,reciprocal_rank,ipin_baseline,tuna_retrained,50,0.016377015977502796,-0.08017376622165598,0.11167093230999613
mouse,all,matched,reciprocal_rank,ipin_baseline,ipin_tuna_31k,50,0.028184529125748425,-0.08500037759995599,0.1443270930041188
mouse,all,matched,reciprocal_rank,ipin_optimized,tuna_retrained,50,0.06771338142453831,-0.0009658075900644764,0.1445788850145747
mouse,all,matched,reciprocal_rank,ipin_optimized,ipin_tuna_31k,50,0.07952089457278394,-0.016886748073415923,0.1809023311971791
mouse,all,matched,reciprocal_rank,tuna_retrained,ipin_tuna_31k,50,0.01180751314824563,-0.10060391260447249,0.1219239501431159
mouse,all,matched,recall_at_10,ipin_baseline,ipin_optimized,50,0.012920634920634888,-0.06986269841269845,0.10007023809523798
mouse,all,matched,recall_at_10,ipin_baseline,tuna_retrained,50,0.06190476190476196,-0.024145238095238136,0.15224166666666664
mouse,all,matched,recall_at_10,ipin_baseline,ipin_tuna_31k,50,0.042333333333333334,-0.05452976190476185,0.13752380952380955
mouse,all,matched,recall_at_10,ipin_optimized,tuna_retrained,50,0.048984126984127074,-0.05901666666666661,0.15223809523809517
mouse,all,matched,recall_at_10,ipin_optimized,ipin_tuna_31k,50,0.029412698412698446,-0.08273214285714289,0.13785714285714282
mouse,all,matched,recall_at_10,tuna_retrained,ipin_tuna_31k,50,-0.01957142857142863,-0.0966190476190476,0.0560488095238095
mouse,all,matched,NDCG_at_10,ipin_baseline,ipin_optimized,50,-0.014880365001911366,-0.06467548687835417,0.033013758927346884
mouse,all,matched,NDCG_at_10,ipin_baseline,tuna_retrained,50,0.030228223194089077,-0.04319891045238231,0.10031553869297721
