species,subset,candidate_set,reference_model,model,metric,targets,wins,ties,losses
arabidopsis,all,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,36,0,14
arabidopsis,all,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
arabidopsis,all,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,27,11
arabidopsis,all,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
arabidopsis,all,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,22,0,28
arabidopsis,all,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,26,12
arabidopsis,all,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
arabidopsis,all,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,all,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
arabidopsis,all,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,34,0,16
arabidopsis,all,background,ipin_baseline,ipin_tuna_31k,average_precision,50,28,0,22
arabidopsis,all,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,16,23,11
arabidopsis,all,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,1,22
arabidopsis,all,background,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,all,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,25,11
arabidopsis,all,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,22,0,28
arabidopsis,all,background,tuna_retrained,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,all,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,8,29,13
arabidopsis,all,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,32,1,17
arabidopsis,all,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
arabidopsis,all,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,17,23,10
arabidopsis,all,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
arabidopsis,all,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,all,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,17,18,15
arabidopsis,all,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,1,28
arabidopsis,all,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,25,0,25
arabidopsis,all,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,9,27,14
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,36,0,14
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,27,11
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,22,0,28
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,26,12
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,no_exact_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,34,0,16
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,28,0,22
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,16,23,11
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,1,22
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,25,11
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,22,0,28
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,no_exact_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,8,29,13
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,32,1,17
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,average_precision,50,27,0,23
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_baseline,ipin_tuna_31k,recall_at_10,50,17,23,10
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,26,0,24
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,ipin_optimized,ipin_tuna_31k,recall_at_10,50,17,18,15
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,1,28
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,average_precision,50,25,0,25
arabidopsis,no_exact_TRAIN_DEV_endpoint,matched,tuna_retrained,ipin_tuna_31k,recall_at_10,50,9,27,14
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,36,0,14
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,average_precision,50,29,0,21
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_baseline,ipin_tuna_31k,recall_at_10,50,12,27,11
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,0,23
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,average_precision,50,22,0,28
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,ipin_optimized,ipin_tuna_31k,recall_at_10,50,12,26,12
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,21,0,29
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,average_precision,50,23,0,27
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,all_U,tuna_retrained,ipin_tuna_31k,recall_at_10,50,7,30,13
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,50,34,0,16
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,average_precision,50,28,0,22
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_baseline,ipin_tuna_31k,recall_at_10,50,16,23,11
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,50,27,1,22
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,ipin_optimized,ipin_tuna_31k,recall_at_10,50,14,25,11
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,50,22,0,28
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,average_precision,50,24,0,26
arabidopsis,no_exact_any_model_TRAIN_DEV_endpoint,background,tuna_retrained,ipin_tuna_31k,recall_at_10,50,8,29,13
