study,group,aggregation,model,estimate,ci_low,ci_high,targets
nonhuman_transfer_v1,mouse,equal_target,ipin_baseline,0.7264310317460319,0.6760265654761906,0.7753414166666669,50
nonhuman_transfer_v1,mouse,equal_target,ipin_optimized,0.7176852380952381,0.6647909880952382,0.7682211071428572,50
nonhuman_transfer_v1,mouse,equal_target,tuna_retrained,0.7141492063492063,0.6547385357142856,0.7700278412698413,50
nonhuman_transfer_v1,mouse,equal_target,ipin_tuna_31k,0.7599811904761904,0.7176156150793651,0.8007496666666668,50
nonhuman_transfer_v1,fly,equal_target,ipin_baseline,0.6435919047619048,0.5966563492063492,0.6900722698412697,50
nonhuman_transfer_v1,fly,equal_target,ipin_optimized,0.6292295238095238,0.5827721666666666,0.6742219682539683,50
nonhuman_transfer_v1,fly,equal_target,tuna_retrained,0.678287380952381,0.6320916746031746,0.7210380257936508,50
nonhuman_transfer_v1,fly,equal_target,ipin_tuna_31k,0.672196507936508,0.6323658670634922,0.7112376924603173,50
nonhuman_transfer_v1,worm,equal_target,ipin_baseline,0.56316,0.5075930833333334,0.6192340000000001,50
nonhuman_transfer_v1,worm,equal_target,ipin_optimized,0.5956133333333333,0.5435266666666667,0.6470214999999999,50
nonhuman_transfer_v1,worm,equal_target,tuna_retrained,0.598281111111111,0.5511833055555556,0.6474626111111111,50
nonhuman_transfer_v1,worm,equal_target,ipin_tuna_31k,0.5963755555555555,0.5516124166666668,0.6407945277777778,50
nonhuman_transfer_v1,yeast,equal_target,ipin_baseline,0.595237380952381,0.545861384920635,0.6448996726190476,50
nonhuman_transfer_v1,yeast,equal_target,ipin_optimized,0.6332149206349207,0.5835799365079365,0.6822582261904762,50
nonhuman_transfer_v1,yeast,equal_target,tuna_retrained,0.6236784920634921,0.5646366587301587,0.6831713829365078,50
nonhuman_transfer_v1,yeast,equal_target,ipin_tuna_31k,0.6297696825396826,0.584433115079365,0.6757405992063492,50
nonhuman_transfer_v1,arabidopsis,equal_target,ipin_baseline,0.618746507936508,0.5487619285714286,0.6857865119047619,50
nonhuman_transfer_v1,arabidopsis,equal_target,ipin_optimized,0.6701031746031745,0.6115364166666667,0.724522496031746,50
nonhuman_transfer_v1,arabidopsis,equal_target,tuna_retrained,0.7151476190476191,0.6577435119047618,0.7684102976190474,50
nonhuman_transfer_v1,arabidopsis,equal_target,ipin_tuna_31k,0.6964280952380952,0.6404319047619048,0.7493269523809521,50
nonhuman_transfer_v1,ecoli,equal_target,ipin_baseline,0.5517833333333333,0.5048908214285716,0.598140273809524,50
nonhuman_transfer_v1,ecoli,equal_target,ipin_optimized,0.5604942857142858,0.5167028928571429,0.6042477142857142,50
nonhuman_transfer_v1,ecoli,equal_target,tuna_retrained,0.55738,0.5192146666666667,0.5967545357142858,50
nonhuman_transfer_v1,ecoli,equal_target,ipin_tuna_31k,0.5519233333333333,0.5084665952380952,0.5958434642857142,50
nonhuman_transfer_v1,equal_species,equal_species,ipin_baseline,0.6164916931216932,0.5944163621031746,0.6380135823412698,300
nonhuman_transfer_v1,equal_species,equal_species,ipin_optimized,0.6343900793650795,0.6142672043650793,0.6544311726190477,300
nonhuman_transfer_v1,equal_species,equal_species,tuna_retrained,0.6478206349206349,0.6270294408068783,0.6683745244708994,300
nonhuman_transfer_v1,equal_species,equal_species,ipin_tuna_31k,0.6511123941798943,0.6325933908730158,0.669232531415344,300
reference_organism_pu_transfer_v1,human_s288c_reference,equal_positive,ipin_baseline,0.7518713826366559,0.7292959456039718,0.7741558749696661,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_positive,ipin_optimized,0.7975241157556271,0.7724293843443412,0.8215388383484956,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_positive,tuna_retrained,0.8162508038585209,0.7886433538858617,0.8425916573185425,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_positive,ipin_tuna_31k,0.8088231511254019,0.7939134315823498,0.8248720173786803,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_yeast_target,ipin_baseline,0.7720822397787842,0.7541344763376642,0.7893857452894599,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_yeast_target,ipin_optimized,0.8176140143842664,0.8004300234469136,0.8342118587097538,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_yeast_target,tuna_retrained,0.8468184056356802,0.8309237044382496,0.8623742998579326,545
reference_organism_pu_transfer_v1,human_s288c_reference,equal_yeast_target,ipin_tuna_31k,0.8362986369288953,0.821673785867149,0.8506964659368574,545
