study,species,subset,candidate_set,metric,model_a,model_b,targets,difference_b_minus_a,ci_low,ci_high,cohort,aggregation,panels
nonhuman_transfer_v1,mouse,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.03355015873015854,-0.0036715595238095184,0.0709407341269842,,,
nonhuman_transfer_v1,mouse,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.042295952380952295,-0.004499273809523821,0.09217492261904771,,,
nonhuman_transfer_v1,mouse,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,0.04583198412698408,0.00522731547619062,0.09231842460317449,,,
nonhuman_transfer_v1,fly,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.028604603174603227,-0.007542194444444441,0.0659820376984128,,,
nonhuman_transfer_v1,fly,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.04296698412698419,0.006738386904761888,0.08252906150793657,,,
nonhuman_transfer_v1,fly,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,-0.006090873015872966,-0.03710323214285717,0.026259910714285788,,,
nonhuman_transfer_v1,worm,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.033215555555555554,-0.01134702777777784,0.07835780555555552,,,
nonhuman_transfer_v1,worm,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.0007622222222222197,-0.04456455555555563,0.044714472222222176,,,
nonhuman_transfer_v1,worm,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,-0.0019055555555554937,-0.045989333333333306,0.03806713888888902,,,
nonhuman_transfer_v1,yeast,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.034532301587301584,-0.017491369047619002,0.08274882142857135,,,
nonhuman_transfer_v1,yeast,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,-0.0034452380952381123,-0.05415669047619044,0.04349426190476185,,,
nonhuman_transfer_v1,yeast,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,0.0060911904761904445,-0.048057583333333195,0.0600072738095238,,,
nonhuman_transfer_v1,arabidopsis,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.07768158730158725,0.021946607142857198,0.1377067380952382,,,
nonhuman_transfer_v1,arabidopsis,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,0.026324920634920757,-0.021696904761904685,0.08083802777777757,,,
nonhuman_transfer_v1,arabidopsis,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,-0.018719523809523908,-0.05224189285714281,0.014007773809523847,,,
nonhuman_transfer_v1,ecoli,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,50,0.000140000000000029,-0.05344054761904763,0.05781752380952378,,,
nonhuman_transfer_v1,ecoli,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,50,-0.008570952380952512,-0.06271564285714287,0.049383785714285595,,,
nonhuman_transfer_v1,ecoli,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,50,-0.005456666666666665,-0.05351592857142862,0.04255286904761918,,,
nonhuman_transfer_v1,equal_species,all,matched,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,300,0.03462070105820114,0.015056980820105795,0.05448900462962964,,,
nonhuman_transfer_v1,equal_species,all,matched,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,300,0.016722314814814787,-0.0024552744708995016,0.036535617394179834,,,
nonhuman_transfer_v1,equal_species,all,matched,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,300,0.003291759259259397,-0.014034153439153523,0.02089951488095234,,,
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,545,0.05695176848874606,0.04048165288083901,0.07232560114045472,all,equal_positive,1555
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,545,0.011299035369774835,-0.00566911444528583,0.02803384217909255,all,equal_positive,1555
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,545,-0.007427652733118961,-0.025069091746962733,0.010518328173374484,all,equal_positive,1555
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,545,0.06421639715011107,0.046915281296966226,0.0821548686377475,all,equal_yeast_target,1555
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,545,0.01868462254462888,0.0034938872684322914,0.03434994397233707,all,equal_yeast_target,1555
reference_organism_pu_transfer_v1,,,,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,545,-0.010519768706784949,-0.022469684048570658,0.0017265678213897254,all,equal_yeast_target,1555
