sequence_sha256,historical_exact_TRAIN_endpoint,historical_exact_DEV_endpoint,exact_train_31k_P_endpoint,exact_train_U_pool_endpoint,exact_expanded_development_endpoint,any_model_exact_TRAIN_DEV_endpoint,newly_flagged_endpoint
0004eed63c88081e78700f7c9c7fcf491ffb2853f5b54d28a8543fe6dc04a692,False,False,False,False,False,False,False
0005091cb3c277123e3a0b90c22eadb48f41111ede450925669dc482ed4974c7,False,True,False,False,True,True,False
00054e79d2c1f21a1744d2060bc18390be7446bb9a9477d37dabba316f3ebfcb,False,False,False,False,True,True,True
0008453438b17fccc3f525841db1280956d9d842d5f73cde6bcb136bc738da6f,False,False,False,False,False,False,False
000f711db175b3907a08bbbd3599e62a3accde8b65cc7885e5ac4cc005e70b68,True,True,True,True,True,True,False
000f9ed445a81318ab20b9c90462f6c4573c1574e575d8ce790222e2e9fc7087,False,True,False,False,True,True,False
0012ed715d7ec57b9fcf6f905d1dae767a601d80b52e8a16ee830d1772927a30,False,False,False,False,False,False,False
00138805a7e378e82c81612a12154cec4841e2abcb8f9be7b1fa5d67b70f39a3,False,False,False,False,False,False,False
00147901cc46d03c2cc9e33dda426971d9e3db6d1a775b970661e7a225b592fb,True,True,True,True,True,True,False
001524acb6138ce9859f3354a54d8a2dd4ff595e22de2963b04b7561b6f6abfd,False,False,False,True,False,True,True
00169eaf649dfc919a3c6dde35b11d380fd942d48e624c9cb3d04b64a8f64c7a,False,True,False,False,True,True,False
0016d78dc1f86d53626a7c03e8d7c7f4b724abb7806d7bfb872a35f729d6cb92,False,False,False,False,False,False,False
00170e66146791f9baeb3a7aa19aed407ccfde16e32bb2fa0ad451b0045c91fc,False,False,True,True,False,True,True
001856fe0a3ea7e398e73e93b32e33ece4349f657242d47d3980a72003a077a9,False,False,False,True,False,True,True
001b91dfc0315469094ccec07f7715176ef0aee2bfb38ef788a1620c6ea259f3,False,False,False,False,False,False,False
001c5d2b571d4e8910b9409e8aaffc73b1ebe78a6b944bc951a7b21717ea1499,False,False,False,True,False,True,True
001cbc10b5e137a5892c607518450eda6064799c03a0dfb07bf45991b98b6467,False,False,False,False,False,False,False
0021c2b35b796653296cc25bf5e9d4f316ba327d98ba940700f42649499dd634,True,True,True,True,True,True,False
00228519fa5985d47e26c1fd231be6f9bccaad8c4c60b03c9c2c63ef41ceb061,False,False,True,True,False,True,True
002334e20a50864076209f23e808926d0eec5082ef3fd0109702cb2fb3fd038c,False,False,False,False,False,False,False
0027ca265a312088abd02e8ce011f420752c659eb948ff8d3d46e13f489b74a8,False,False,True,True,False,True,True
002c85af5cc264bcb79ece1676a666e859063e352183fb44edf7fe674a197ff5,False,False,False,False,False,False,False
002d9abaa4d33196c02a361b792aa25c55e2062d18a1499e481fd9c18e3e224b,False,False,False,False,False,False,False
002e9e4cc7eb3aa3f79b93053cf19ce2c274ea4810c21c48ec1bf0b6c1d78ab8,False,False,True,True,False,True,True
002ea1df202bf9d3d966daf52bb4a710c8271a9c1c2050a0aaf66d62dcbf9c9c,False,False,False,False,False,False,False
003154cd9bd4ccf278e5635ff4c6c6e27fbf0eab2a1b4cc13688ea796944e091,True,True,True,True,True,True,False
0031f773b174b3f6945c00e3ab88ec3a0af0cd016d899438ea6078b937927ce1,False,False,False,True,False,True,True
003585ae42ea54791d09a7a9734850eb61388b4eed27e38a1bd7028f6c4f71f9,False,False,False,True,False,True,True
0037622eb1e07c45c14e022cc837fd7b701229a4ee0d43f246657e555c13c017,False,False,False,True,False,True,True
0038fb29a50caa56d3a27f41789cdc50dfe18eec649c8abdce227423556f86af,True,True,True,True,True,True,False
0040a96394572d038ac9627b6eab98c7f8159345ee40e7743e7d128d2cd0596c,False,False,False,False,False,False,False
00440103503779ef140dd4789b6d6a788a99e511deffa6b27687532b5eb1a060,False,True,False,False,True,True,False
004a097653d62bef6779bf3eba67670f13db7adc763612ef8d622e7cfa1069e6,False,False,False,True,False,True,True
004b494c2a3d1b05ec69879d5cc514c8829d05070b1cf2907debbfd6c5004c31,False,False,False,False,False,False,False
004c2ec770771751fdf6531bb592f8fc559d722d64b98b38b94ab0a3087bba76,False,False,False,False,False,False,False
004c82f12bdcb760d752689aa6a940697d274589eefa0d2a2d9ccf8c6b5d219e,False,False,False,False,False,False,False
0050ea251700fcba895bcd54172efdbe14e1daf0f72618250dd95bfd82e57372,False,False,False,False,False,False,False
0053d4e6eccdc13e059adf47659bebf3e960e19378edfb27e112d1c13cf7b185,False,False,False,False,False,False,False
0056fdd7a492bc61679d13ab49b13ed64250a38de6fd13f45987c077915067e9,False,False,True,True,False,True,True
005d3d027b78ea2cd89b091eed5a8b8e5f97d9ebcea50ca66cc24a8d52863e65,True,True,True,True,True,True,False
0060b81b3493fc33e7aa76aa2cc702e841875cc41ad53253d237f5cb7093ec65,False,False,False,False,False,False,False
006463a6537a80db66772d9e30cf6afe6e33e39ac5f86bd5471b8086d03e8768,False,True,False,False,True,True,False
006d7d5089e7173f7083419f9e86590285297de5f6e504d3f5efc66421d4c61b,True,True,True,True,True,True,False
006de8af9f8da0c7730dbb9872d7b2abfbed62c15cd6664f482375e3deb1aaf7,False,False,False,False,False,False,False
0073568dbc6cfec2bd5d72e8298f4cddf382a399d638dee6d43ddc3835900635,True,True,True,True,True,True,False
0076040428b7f909caf2ddfe8f2c4f199dce3c4cdf29c33dbe4f6c4f7ad23c25,False,False,True,True,False,True,True
008554271e6ff3a1fdb07e547b0cb937ab7f1331784c8940f64f941b053ad9e8,False,False,False,False,False,False,False
008a5ba2ece62a5babd5131187de0d593ebfa4e5548f1271d9ee3447c201b31a,False,False,False,False,False,False,False
0099b6e08f42d6264928d693b92b30597d3d5e2685b25e0d0f4d7ae20d02e157,False,False,True,True,False,True,True
009a431e60aa5c205b2a712f4a067ed1dfbcb56f0cda025d431bbb54fc8da050,False,False,False,True,False,True,True
00a1006aac49a82a489a24a27c306b8286be10dceae9c7dc9fa2faf81c053272,True,True,True,True,True,True,False
00a20c3425e4c2157c497672255f6d8a7b9248520be37410e95a760038170a07,True,True,True,True,True,True,False
00a3061b1999f70db08972e8ddfa7d76ebb4aef833a5b6e358be2082fcb00b95,True,True,True,True,True,True,False
00a663612088c8d11dfb0030f49be3622e685141265ca13aa3687350525aabbb,False,False,False,False,False,False,False
00a8e0cc9b4bce62214f727ab7c5eead7cd7f05fc61feb41f91985d28d6494fe,False,False,False,False,False,False,False
00ab81d91f94ccf86a0500f366dac12e0460038528e16906bf254a465a950911,False,False,False,False,False,False,False
00af58a4db1f9690dee76cca1aa02cfa0201ccf79ad9e2927d9147ee5ad34d7e,False,False,False,False,False,False,False
00b165beb3c376a838ef024d1ce9985ca3699d5f89eabf212995a053409e6cbe,False,False,False,False,False,False,False
00b2beee17bf59b7561176a3d70aa163efb3515767c1268ba54b175d2aa1add9,False,False,False,False,False,False,False
00b3adba0581624558f8c1410841533e1f37b074b71346bdc9f8f6611418c0f2,False,False,False,False,False,False,False
00b92f4c323cd0272eac049c194c92f09dfce8008cc62a97299ce811c9441339,False,False,True,True,False,True,True
