cohort,aggregation,metric,model_a,model_b,difference_b_minus_a,ci_low,ci_high,targets,panels
all,equal_positive,P_vs_U_concordance,ipin_baseline,ipin_optimized,0.04565273311897122,0.0356150886546332,0.05624625281437864,545,1555
all,equal_positive,P_vs_U_concordance,ipin_baseline,tuna_retrained,0.06437942122186502,0.050506302606919136,0.07954686063388074,545,1555
all,equal_positive,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,0.05695176848874606,0.04048165288083901,0.07232560114045472,545,1555
all,equal_positive,P_vs_U_concordance,ipin_optimized,tuna_retrained,0.018726688102893796,0.0059548698170431074,0.031957495942706665,545,1555
all,equal_positive,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,0.011299035369774835,-0.00566911444528583,0.02803384217909255,545,1555
all,equal_positive,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,-0.007427652733118961,-0.025069091746962733,0.010518328173374484,545,1555
all,equal_yeast_target,P_vs_U_concordance,ipin_baseline,ipin_optimized,0.04553177460548219,0.03299211828034791,0.05798714077278457,545,1555
all,equal_yeast_target,P_vs_U_concordance,ipin_baseline,tuna_retrained,0.07473616585689602,0.05766741288079344,0.09190617781632666,545,1555
all,equal_yeast_target,P_vs_U_concordance,ipin_baseline,ipin_tuna_31k,0.06421639715011107,0.046915281296966226,0.0821548686377475,545,1555
all,equal_yeast_target,P_vs_U_concordance,ipin_optimized,tuna_retrained,0.02920439125141383,0.01480136254337158,0.04388931442861782,545,1555
all,equal_yeast_target,P_vs_U_concordance,ipin_optimized,ipin_tuna_31k,0.01868462254462888,0.0034938872684322914,0.03434994397233707,545,1555
all,equal_yeast_target,P_vs_U_concordance,tuna_retrained,ipin_tuna_31k,-0.010519768706784949,-0.022469684048570658,0.0017265678213897254,545,1555
all,equal_positive,average_precision,ipin_baseline,ipin_optimized,0.07793476819122397,0.06110184262007575,0.09681283818552276,545,1555
all,equal_positive,average_precision,ipin_baseline,tuna_retrained,0.12466516870002561,0.10596719182385503,0.14667775335104283,545,1555
all,equal_positive,average_precision,ipin_baseline,ipin_tuna_31k,0.0627759648849123,0.04773437281859571,0.0783979293458394,545,1555
all,equal_positive,average_precision,ipin_optimized,tuna_retrained,0.046730400508801645,0.03152659353571348,0.06265169987797363,545,1555
all,equal_positive,average_precision,ipin_optimized,ipin_tuna_31k,-0.015158803306311669,-0.03426200296231351,0.002097447723646147,545,1555
all,equal_positive,average_precision,tuna_retrained,ipin_tuna_31k,-0.061889203815113314,-0.07949474052476335,-0.04682820133618201,545,1555
all,equal_yeast_target,average_precision,ipin_baseline,ipin_optimized,0.10105848884206206,0.07933423334361014,0.12294763375364341,545,1555
all,equal_yeast_target,average_precision,ipin_baseline,tuna_retrained,0.16842568431894708,0.1405984317635928,0.1964589594557059,545,1555
all,equal_yeast_target,average_precision,ipin_baseline,ipin_tuna_31k,0.0983016051026164,0.073260588555801,0.12315028432139112,545,1555
all,equal_yeast_target,average_precision,ipin_optimized,tuna_retrained,0.06736719547688502,0.04446169538171142,0.09070872974970368,545,1555
all,equal_yeast_target,average_precision,ipin_optimized,ipin_tuna_31k,-0.002756883739445659,-0.025084543094424577,0.019848899580836726,545,1555
all,equal_yeast_target,average_precision,tuna_retrained,ipin_tuna_31k,-0.07012407921633068,-0.08929509354760272,-0.05098974137741271,545,1555
all,equal_positive,reciprocal_rank,ipin_baseline,ipin_optimized,0.07793476819122397,0.06110184262007575,0.09681283818552276,545,1555
all,equal_positive,reciprocal_rank,ipin_baseline,tuna_retrained,0.12466516870002561,0.10596719182385503,0.14667775335104283,545,1555
all,equal_positive,reciprocal_rank,ipin_baseline,ipin_tuna_31k,0.0627759648849123,0.04773437281859571,0.0783979293458394,545,1555
all,equal_positive,reciprocal_rank,ipin_optimized,tuna_retrained,0.046730400508801645,0.03152659353571348,0.06265169987797363,545,1555
all,equal_positive,reciprocal_rank,ipin_optimized,ipin_tuna_31k,-0.015158803306311669,-0.03426200296231351,0.002097447723646147,545,1555
all,equal_positive,reciprocal_rank,tuna_retrained,ipin_tuna_31k,-0.061889203815113314,-0.07949474052476335,-0.04682820133618201,545,1555
all,equal_yeast_target,reciprocal_rank,ipin_baseline,ipin_optimized,0.10105848884206206,0.07933423334361014,0.12294763375364341,545,1555
all,equal_yeast_target,reciprocal_rank,ipin_baseline,tuna_retrained,0.16842568431894708,0.1405984317635928,0.1964589594557059,545,1555
all,equal_yeast_target,reciprocal_rank,ipin_baseline,ipin_tuna_31k,0.0983016051026164,0.073260588555801,0.12315028432139112,545,1555
all,equal_yeast_target,reciprocal_rank,ipin_optimized,tuna_retrained,0.06736719547688502,0.04446169538171142,0.09070872974970368,545,1555
all,equal_yeast_target,reciprocal_rank,ipin_optimized,ipin_tuna_31k,-0.002756883739445659,-0.025084543094424577,0.019848899580836726,545,1555
all,equal_yeast_target,reciprocal_rank,tuna_retrained,ipin_tuna_31k,-0.07012407921633068,-0.08929509354760272,-0.05098974137741271,545,1555
