cohort,panel_id,target_id,model,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
all,4d37318e2c46e9afa737a4971594f389460b559f540e8232c1e4bb27f4920c75,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.66,0.02857142857142857,35,35,35.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,4d37318e2c46e9afa737a4971594f389460b559f540e8232c1e4bb27f4920c75,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.65,0.027777777777777776,36,36,36.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,4d37318e2c46e9afa737a4971594f389460b559f540e8232c1e4bb27f4920c75,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.33,0.014705882352941176,68,68,68.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,4d37318e2c46e9afa737a4971594f389460b559f540e8232c1e4bb27f4920c75,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.61,0.025,40,40,40.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,100,101,0.69,0.03125,32,32,32.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,100,101,0.9,0.09090909090909091,11,11,11.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.27894294565112987,1.0
all,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,tuna_retrained,1,100,101,0.25,0.013157894736842105,76,76,76.0,0.013157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_tuna_31k,1,100,101,0.81,0.05,20,20,20.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,5.05,0.227670248696953,1.0
no_exact_TRAIN_DEV_endpoint,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_baseline,1,61,62,0.7049180327868853,0.05263157894736842,19,19,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05,3.1,0.23137821315975915,1.0
no_exact_TRAIN_DEV_endpoint,e1929fc6328dcd891c1dbb4f3685e0a625189b9b0273a3647e6866bcf0702162,00f7983278c23bce02ff7445b90419cd07e0ca8d3b78ab51e0c296e934f7fb41,ipin_optimized,1,61,62,0.9180327868852459,0.16666666666666666,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,6.2,0.3562071871080222,1.0,1.0,1.0,0.05,3.1,0.3562071871080222,1.0
