cohort,reference_model,model,metric,targets,wins,ties,losses
all,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,545,352,22,171
all,ipin_baseline,ipin_tuna_31k,average_precision,545,352,18,175
all,ipin_baseline,ipin_tuna_31k,recall_at_10,545,168,306,71
all,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,545,273,45,227
all,ipin_optimized,ipin_tuna_31k,average_precision,545,260,45,240
all,ipin_optimized,ipin_tuna_31k,recall_at_10,545,92,357,96
all,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,545,176,71,298
all,tuna_retrained,ipin_tuna_31k,average_precision,545,159,68,318
all,tuna_retrained,ipin_tuna_31k,recall_at_10,545,58,374,113
no_exact_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,277,151,14,112
no_exact_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,average_precision,277,148,14,115
no_exact_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,recall_at_10,277,77,151,49
no_exact_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,277,125,27,125
no_exact_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,average_precision,277,119,28,130
no_exact_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,recall_at_10,277,57,160,60
no_exact_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,277,96,32,149
no_exact_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,average_precision,277,94,32,151
no_exact_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,recall_at_10,277,43,178,56
no_exact_any_model_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,P_vs_U_concordance,246,141,27,78
no_exact_any_model_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,average_precision,246,139,27,80
no_exact_any_model_TRAIN_DEV_endpoint,ipin_baseline,ipin_tuna_31k,recall_at_10,246,56,163,27
no_exact_any_model_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,P_vs_U_concordance,246,99,41,106
no_exact_any_model_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,average_precision,246,101,42,103
no_exact_any_model_TRAIN_DEV_endpoint,ipin_optimized,ipin_tuna_31k,recall_at_10,246,44,170,32
no_exact_any_model_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,P_vs_U_concordance,246,80,44,122
no_exact_any_model_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,average_precision,246,81,44,121
no_exact_any_model_TRAIN_DEV_endpoint,tuna_retrained,ipin_tuna_31k,recall_at_10,246,29,177,40
