target,positive_subset,candidate_set,reference_model,P,U,reference_P_vs_U_concordance,selected_31k_P_vs_U_concordance,delta_P_vs_U_concordance,reference_average_precision,selected_31k_average_precision,delta_average_precision,reference_reciprocal_rank,selected_31k_reciprocal_rank,delta_reciprocal_rank,reference_recovered_P_at_5,selected_31k_recovered_P_at_5,delta_recovered_P_at_5,reference_recovered_P_at_10,selected_31k_recovered_P_at_10,delta_recovered_P_at_10,reference_recovered_P_at_20,selected_31k_recovered_P_at_20,delta_recovered_P_at_20
ERN1,all_P,context,ipin_baseline,4,200,0.46,0.78625,0.32625,0.03500575511445077,0.13554376657824932,0.10053801146379855,0.07692307692307693,0.2,0.12307692307692308,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
TP53,all_P,context,ipin_baseline,3,150,0.44222222222222224,0.9622222222222222,0.52,0.023067210567210568,0.3625,0.33943278943278943,0.022727272727272728,0.5,0.4772727272727273,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0
EGFR,all_P,context,ipin_baseline,3,150,0.6266666666666667,0.9955555555555555,0.3688888888888888,0.035685838277301686,0.8666666666666666,0.8309808283893649,0.02702702702702703,1.0,0.972972972972973,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,all_P,context,ipin_baseline,3,150,0.9666666666666667,0.7844444444444445,-0.18222222222222217,0.5054945054945055,0.20417482061317677,-0.3013196848813287,1.0,0.5,-0.5,1.0,1.0,0.0,2.0,1.0,-1.0,3.0,1.0,-2.0
KEAP1,all_P,context,ipin_baseline,3,150,0.5177777777777778,0.7044444444444444,0.18666666666666665,0.12613061156750477,0.04375661375661376,-0.08237399781089101,0.3333333333333333,0.03571428571428571,-0.2976190476190476,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
BRCA1,all_P,context,ipin_baseline,3,150,0.6266666666666667,0.6777777777777778,0.05111111111111111,0.057103762579182066,0.3554527664116705,0.2983490038324884,0.1111111111111111,1.0,0.8888888888888888,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
KRAS,all_P,context,ipin_baseline,3,150,0.62,0.84,0.21999999999999997,0.032706924411993535,0.07647757647757647,0.043770652065582935,0.02040816326530612,0.07692307692307693,0.05651491365777081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
CDK2,all_P,context,ipin_baseline,3,150,0.6155555555555555,0.8288888888888889,0.21333333333333337,0.05290262172284644,0.06956670956670957,0.016664087843863133,0.1,0.047619047619047616,-0.05238095238095239,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0
HIF1A,all_P,context,ipin_baseline,3,150,0.6733333333333333,0.9333333333333333,0.26,0.04613280513110733,0.31226053639846746,0.2661277312673601,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0
CTNNB1,all_P,context,ipin_baseline,3,150,0.8666666666666667,0.78,-0.08666666666666667,0.16386648745519714,0.10317460317460317,-0.060691884280593966,0.3333333333333333,0.2,-0.1333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
TNFRSF1A,all_P,context,ipin_baseline,3,150,0.5755555555555556,0.7266666666666667,0.15111111111111108,0.03830749354005168,0.1660280970625798,0.12772060352252812,0.05,0.25,0.2,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0
BECN1,all_P,context,ipin_baseline,3,150,0.7511111111111111,0.9088888888888889,0.1577777777777778,0.18133255633255632,0.17114695340501793,-0.010185602927538395,0.3333333333333333,0.25,-0.08333333333333331,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0
ERN1,all_P,context,ipin_optimized,4,200,0.49,0.78625,0.29625,0.05789471816628731,0.13554376657824932,0.07764904841196202,0.16666666666666666,0.2,0.033333333333333354,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,all_P,context,ipin_optimized,3,150,0.4,0.9622222222222222,0.5622222222222222,0.020782458282458283,0.3625,0.3417175417175417,0.015873015873015872,0.5,0.48412698412698413,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0
EGFR,all_P,context,ipin_optimized,3,150,0.6666666666666666,0.9955555555555555,0.3288888888888889,0.03683772991107878,0.8666666666666666,0.8298289367555878,0.024390243902439025,1.0,0.975609756097561,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,all_P,context,ipin_optimized,3,150,0.9733333333333334,0.7844444444444445,-0.18888888888888888,0.3277777777777778,0.20417482061317677,-0.12360295716460101,0.25,0.5,0.25,2.0,1.0,-1.0,3.0,1.0,-2.0,3.0,1.0,-2.0
KEAP1,all_P,context,ipin_optimized,3,150,0.5622222222222222,0.7044444444444444,0.14222222222222225,0.1008593396653098,0.04375661375661376,-0.05710272590869604,0.25,0.03571428571428571,-0.2142857142857143,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
BRCA1,all_P,context,ipin_optimized,3,150,0.8155555555555556,0.6777777777777778,-0.13777777777777778,0.08548951048951048,0.3554527664116705,0.26996325592216003,0.125,1.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
KRAS,all_P,context,ipin_optimized,3,150,0.9022222222222223,0.84,-0.06222222222222229,0.1354326676907322,0.07647757647757647,-0.05895509121315573,0.14285714285714285,0.07692307692307693,-0.06593406593406592,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,1.0,-1.0
CDK2,all_P,context,ipin_optimized,3,150,0.8466666666666667,0.8288888888888889,-0.01777777777777778,0.43181818181818177,0.06956670956670957,-0.3622514722514722,1.0,0.047619047619047616,-0.9523809523809523,1.0,0.0,-1.0,2.0,0.0,-2.0,2.0,0.0,-2.0
HIF1A,all_P,context,ipin_optimized,3,150,0.6266666666666667,0.9333333333333333,0.30666666666666664,0.06474594429139884,0.31226053639846746,0.2475145921070686,0.125,0.3333333333333333,0.20833333333333331,0.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,all_P,context,ipin_optimized,3,150,0.5755555555555556,0.78,0.20444444444444443,0.029325380145052277,0.10317460317460317,0.0738492230295509,0.022222222222222223,0.2,0.17777777777777778,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
TNFRSF1A,all_P,context,ipin_optimized,3,150,0.7266666666666667,0.7266666666666667,0.0,0.36272141706924316,0.1660280970625798,-0.19669332000666337,1.0,0.25,-0.75,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
BECN1,all_P,context,ipin_optimized,3,150,0.7977777777777778,0.9088888888888889,0.11111111111111105,0.4776556776556777,0.17114695340501793,-0.3065087242506598,1.0,0.25,-0.75,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,all_P,context,tuna_retrained,4,200,0.57375,0.78625,0.21250000000000002,0.2704905402347004,0.13554376657824932,-0.1349467736564511,1.0,0.2,-0.8,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,all_P,context,tuna_retrained,3,150,0.7555555555555555,0.9622222222222222,0.20666666666666667,0.050555131790829724,0.3625,0.3119448682091703,0.043478260869565216,0.5,0.4565217391304348,0.0,2.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0
EGFR,all_P,context,tuna_retrained,3,150,0.7777777777777778,0.9955555555555555,0.21777777777777774,0.07676256972031618,0.8666666666666666,0.7899040969463504,0.1111111111111111,1.0,0.8888888888888888,0.0,3.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0
BCL2,all_P,context,tuna_retrained,3,150,0.8844444444444445,0.7844444444444445,-0.09999999999999998,0.15108225108225107,0.20417482061317677,0.0530925695309257,0.2,0.5,0.3,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0
KEAP1,all_P,context,tuna_retrained,3,150,0.36666666666666664,0.7044444444444444,0.3377777777777778,0.019984040523193282,0.04375661375661376,0.023772573233420476,0.017543859649122806,0.03571428571428571,0.018170426065162906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,all_P,context,tuna_retrained,3,150,0.9422222222222222,0.6777777777777778,-0.26444444444444437,0.43977591036414565,0.3554527664116705,-0.08432314395247514,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,-2.0
KRAS,all_P,context,tuna_retrained,3,150,0.8577777777777778,0.84,-0.01777777777777778,0.08309806135893091,0.07647757647757647,-0.006620484881354444,0.07142857142857142,0.07692307692307693,0.005494505494505503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
CDK2,all_P,context,tuna_retrained,3,150,0.9044444444444445,0.8288888888888889,-0.0755555555555556,0.15674603174603174,0.06956670956670957,-0.08717932217932217,0.25,0.047619047619047616,-0.20238095238095238,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
HIF1A,all_P,context,tuna_retrained,3,150,0.6377777777777778,0.9333333333333333,0.29555555555555557,0.08678809774700186,0.31226053639846746,0.2254724386514656,0.2,0.3333333333333333,0.1333333333333333,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,all_P,context,tuna_retrained,3,150,0.6022222222222222,0.78,0.1777777777777778,0.039266579018052784,0.10317460317460317,0.06390802415655039,0.058823529411764705,0.2,0.1411764705882353,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
TNFRSF1A,all_P,context,tuna_retrained,3,150,0.5,0.7266666666666667,0.22666666666666668,0.09852890865549092,0.1660280970625798,0.06749918840708886,0.25,0.25,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
BECN1,all_P,context,tuna_retrained,3,150,0.8622222222222222,0.9088888888888889,0.046666666666666634,0.5158730158730158,0.17114695340501793,-0.34472606246799786,1.0,0.25,-0.75,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,all_P,context,tuna_original,4,200,0.5975,0.78625,0.18874999999999997,0.2703113553113553,0.13554376657824932,-0.134767588733106,1.0,0.2,-0.8,1.0,1.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,all_P,context,tuna_original,3,150,0.7844444444444445,0.9622222222222222,0.1777777777777777,0.06659234485321441,0.3625,0.2959076551467856,0.06666666666666667,0.5,0.43333333333333335,0.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0
EGFR,all_P,context,tuna_original,3,150,0.9977777777777778,0.9955555555555555,-0.0022222222222222365,0.9166666666666666,0.8666666666666666,-0.050000000000000044,1.0,1.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
BCL2,all_P,context,tuna_original,3,150,0.7844444444444445,0.7844444444444445,0.0,0.13092105263157894,0.20417482061317677,0.07325376798159783,0.25,0.5,0.25,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,-1.0
KEAP1,all_P,context,tuna_original,3,150,0.6711111111111111,0.7044444444444444,0.033333333333333326,0.13299542834426556,0.04375661375661376,-0.0892388145876518,0.3333333333333333,0.03571428571428571,-0.2976190476190476,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
BRCA1,all_P,context,tuna_original,3,150,0.9333333333333333,0.6777777777777778,-0.25555555555555554,0.18434343434343434,0.3554527664116705,0.17110933206823617,0.16666666666666666,1.0,0.8333333333333334,0.0,1.0,1.0,2.0,1.0,-1.0,2.0,1.0,-1.0
KRAS,all_P,context,tuna_original,3,150,0.9511111111111111,0.84,-0.11111111111111116,0.21031746031746032,0.07647757647757647,-0.13383988383988385,0.16666666666666666,0.07692307692307693,-0.08974358974358973,0.0,0.0,0.0,2.0,0.0,-2.0,3.0,1.0,-2.0
CDK2,all_P,context,tuna_original,3,150,0.44222222222222224,0.8288888888888889,0.38666666666666666,0.02250335065869046,0.06956670956670957,0.04706335890801911,0.01818181818181818,0.047619047619047616,0.029437229437229435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIF1A,all_P,context,tuna_original,3,150,0.5866666666666667,0.9333333333333333,0.3466666666666667,0.35094032969584393,0.31226053639846746,-0.038679793297376475,1.0,0.3333333333333333,-0.6666666666666667,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,all_P,context,tuna_original,3,150,0.6977777777777778,0.78,0.0822222222222222,0.04516215491825247,0.10317460317460317,0.0580124482563507,0.047619047619047616,0.2,0.1523809523809524,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
TNFRSF1A,all_P,context,tuna_original,3,150,0.48444444444444446,0.7266666666666667,0.24222222222222223,0.024513428726911875,0.1660280970625798,0.14151466833566792,0.022222222222222223,0.25,0.22777777777777777,0.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0
BECN1,all_P,context,tuna_original,3,150,0.8133333333333334,0.9088888888888889,0.0955555555555555,0.6781609195402298,0.17114695340501793,-0.5070139661352119,1.0,0.25,-0.75,2.0,1.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,all_P,background,ipin_baseline,4,200,0.49,0.72875,0.23875000000000002,0.05840617715617715,0.15030165912518853,0.09189548196901137,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,all_P,background,ipin_baseline,3,150,0.5888888888888889,0.9977777777777778,0.40888888888888886,0.030984934336075666,0.9166666666666666,0.885681732330591,0.030303030303030304,1.0,0.9696969696969697,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
EGFR,all_P,background,ipin_baseline,3,150,0.6466666666666666,0.9977777777777778,0.35111111111111115,0.03907998454057649,0.9166666666666666,0.8775866821260901,0.03225806451612903,1.0,0.967741935483871,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,all_P,background,ipin_baseline,3,150,0.9533333333333334,0.6622222222222223,-0.2911111111111111,0.26517273576097106,0.06064247921390778,-0.20453025654706328,0.3333333333333333,0.1111111111111111,-0.2222222222222222,1.0,0.0,-1.0,2.0,1.0,-1.0,3.0,1.0,-2.0
KEAP1,all_P,background,ipin_baseline,3,150,0.6355555555555555,0.8177777777777778,0.18222222222222229,0.08667455154740784,0.08209809122588027,-0.004576460321527573,0.2,0.07692307692307693,-0.12307692307692308,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,2.0,1.0
BRCA1,all_P,background,ipin_baseline,3,150,0.7355555555555555,0.8222222222222222,0.08666666666666667,0.0699169110459433,0.3722222222222222,0.3023053111762789,0.125,1.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
KRAS,all_P,background,ipin_baseline,3,150,0.7622222222222222,0.8977777777777778,0.13555555555555554,0.05074786324786325,0.11189931350114415,0.061151450253280906,0.038461538461538464,0.1,0.06153846153846154,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0
CDK2,all_P,background,ipin_baseline,3,150,0.7422222222222222,0.8622222222222222,0.12,0.060072695665916,0.08543123543123543,0.025358539765319432,0.09090909090909091,0.05,-0.04090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
HIF1A,all_P,background,ipin_baseline,3,150,0.7866666666666666,0.9488888888888889,0.16222222222222227,0.07685185185185185,0.3253968253968254,0.24854497354497357,0.125,0.5,0.375,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
CTNNB1,all_P,background,ipin_baseline,3,150,0.9044444444444445,0.8022222222222222,-0.10222222222222233,0.23696969696969694,0.10512119555312556,-0.1318485014165714,0.5,0.2,-0.3,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
TNFRSF1A,all_P,background,ipin_baseline,3,150,0.6444444444444445,0.7644444444444445,0.12,0.0514041514041514,0.11392729134664618,0.06252313994249478,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
BECN1,all_P,background,ipin_baseline,3,150,0.7577777777777778,0.8422222222222222,0.08444444444444443,0.25952380952380955,0.09675438596491226,-0.16276942355889729,0.5,0.125,-0.375,1.0,0.0,-1.0,2.0,1.0,-1.0,2.0,2.0,0.0
ERN1,all_P,background,ipin_optimized,4,200,0.52,0.72875,0.20875,0.045091070001141945,0.15030165912518853,0.10521058912404659,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
TP53,all_P,background,ipin_optimized,3,150,0.5555555555555556,0.9977777777777778,0.4422222222222222,0.027825690437954756,0.9166666666666666,0.8888409762287118,0.0196078431372549,1.0,0.9803921568627451,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
EGFR,all_P,background,ipin_optimized,3,150,0.6,0.9977777777777778,0.3977777777777778,0.03125160078545206,0.9166666666666666,0.8854150658812145,0.018867924528301886,1.0,0.9811320754716981,0.0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.0
BCL2,all_P,background,ipin_optimized,3,150,0.9711111111111111,0.6622222222222223,-0.3088888888888889,0.3055555555555555,0.06064247921390778,-0.24491307634164775,0.25,0.1111111111111111,-0.1388888888888889,1.0,0.0,-1.0,3.0,1.0,-2.0,3.0,1.0,-2.0
KEAP1,all_P,background,ipin_optimized,3,150,0.7111111111111111,0.8177777777777778,0.10666666666666669,0.13824083893012842,0.08209809122588027,-0.05614274770424815,0.3333333333333333,0.07692307692307693,-0.2564102564102564,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,2.0,1.0
BRCA1,all_P,background,ipin_optimized,3,150,0.8977777777777778,0.8222222222222222,-0.0755555555555556,0.1226190476190476,0.3722222222222222,0.24960317460317458,0.125,1.0,0.875,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,-1.0
KRAS,all_P,background,ipin_optimized,3,150,0.9311111111111111,0.8977777777777778,-0.033333333333333326,0.1550925925925926,0.11189931350114415,-0.04319327909144843,0.1111111111111111,0.1,-0.0111111111111111,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,-1.0
CDK2,all_P,background,ipin_optimized,3,150,0.9022222222222223,0.8622222222222222,-0.040000000000000036,0.4410569105691057,0.08543123543123543,-0.35562567513787025,1.0,0.05,-0.95,1.0,0.0,-1.0,2.0,0.0,-2.0,2.0,1.0,-1.0
