target,model,positive_subset,candidate_set,P,U,panel_size,P_vs_U_concordance,average_precision,first_positive_rank_min,first_positive_rank_max,first_positive_rank_expected,reciprocal_rank,recovered_P_at_5,recall_at_5,known_positive_precision_at_5,EF_at_5,NDCG_at_5,target_success_at_5,recovered_P_at_10,recall_at_10,known_positive_precision_at_10,EF_at_10,NDCG_at_10,target_success_at_10,recovered_P_at_20,recall_at_20,known_positive_precision_at_20,EF_at_20,NDCG_at_20,target_success_at_20
ERN1,ipin_baseline,all_P,context,4,200,204,0.46,0.03500575511445077,13,13,13.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.05,2.5500000000000003,0.10253313861822189,1.0
ERN1,ipin_optimized,all_P,context,4,200,204,0.49,0.05789471816628731,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,tuna_retrained,all_P,context,4,200,204,0.57375,0.2704905402347004,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_original,all_P,context,4,200,204,0.5975,0.2703113553113553,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,all_P,context,4,200,204,0.78625,0.13554376657824932,5,5,5.0,0.2,1.0,0.25,0.2,10.200000000000001,0.15101961822780524,1.0,2.0,0.5,0.2,10.200000000000001,0.2741708125981702,1.0,2.0,0.5,0.1,5.1000000000000005,0.2741708125981702,1.0
ERN1,ipin_baseline,all_P,background,4,200,204,0.49,0.05840617715617715,6,6,6.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.13905617951077562,1.0,1.0,0.25,0.05,2.5500000000000003,0.13905617951077562,1.0
ERN1,ipin_optimized,all_P,background,4,200,204,0.52,0.045091070001141945,9,9,9.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.1,5.1000000000000005,0.11751610475642714,1.0,1.0,0.25,0.05,2.5500000000000003,0.11751610475642714,1.0
ERN1,tuna_retrained,all_P,background,4,200,204,0.74125,0.2909296585767174,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_original,all_P,background,4,200,204,0.845,0.30049130763416476,1,1,1.0,1.0,1.0,0.25,0.2,10.200000000000001,0.3903800499921017,1.0,1.0,0.25,0.1,5.1000000000000005,0.3903800499921017,1.0,1.0,0.25,0.05,2.5500000000000003,0.3903800499921017,1.0
ERN1,tuna_selected_31k,all_P,background,4,200,204,0.72875,0.15030165912518853,3,3,3.0,0.3333333333333333,1.0,0.25,0.2,10.200000000000001,0.19519002499605084,1.0,2.0,0.5,0.2,10.200000000000001,0.3080351663449861,1.0,2.0,0.5,0.1,5.1000000000000005,0.3080351663449861,1.0
